Olivine_LIBS_shot01
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV2
Wave;Sample;Dark;Reference;Scope Corrected for Dark
 353.53;  211.600;    0.000;    0.000;211.60000
 353.60;  255.600;    0.000;    0.000;255.60000
 353.66;  204.600;    0.000;    0.000;204.60000
 353.72;  214.600;    0.000;    0.000;214.60000
 353.79;  171.600;    0.000;    0.000;171.60000
 353.85;  222.600;    0.000;    0.000;222.60000
 353.91;  186.600;    0.000;    0.000;186.60000
 353.98;  185.600;    0.000;    0.000;185.60000
 354.04;  198.600;    0.000;    0.000;198.60000
 354.10;  192.600;    0.000;    0.000;192.60000
 354.17;  212.600;    0.000;    0.000;212.60000
 354.23;  206.600;    0.000;    0.000;206.60000
 354.29;  195.600;    0.000;    0.000;195.60000
 354.36;  168.600;    0.000;    0.000;168.60000
 354.42;  187.600;    0.000;    0.000;187.60000
 354.48;  191.600;    0.000;    0.000;191.60000
 354.54;  562.600;    0.000;    0.000;562.60000
 354.61;  592.600;    0.000;    0.000;592.60000
 354.67;  549.600;    0.000;    0.000;549.60000
 354.73;  592.600;    0.000;    0.000;592.60000
 354.80;  602.600;    0.000;    0.000;602.60000
 354.86;  600.600;    0.000;    0.000;600.60000
 354.92;  605.600;    0.000;    0.000;605.60000
 354.99;  565.600;    0.000;    0.000;565.60000
 355.05;  637.600;    0.000;    0.000;637.60000
 355.11;  608.600;    0.000;    0.000;608.60000
 355.18;  637.600;    0.000;    0.000;637.60000
 355.24;  663.600;    0.000;    0.000;663.60000
 355.30;  665.600;    0.000;    0.000;665.60000
 355.36;  683.600;    0.000;    0.000;683.60000
 355.43;  673.600;    0.000;    0.000;673.60000
 355.49;  707.600;    0.000;    0.000;707.60000
 355.55;  616.600;    0.000;    0.000;616.60000
 355.62;  713.600;    0.000;    0.000;713.60000
 355.68;  710.600;    0.000;    0.000;710.60000
 355.74;  733.600;    0.000;    0.000;733.60000
 355.81;  700.600;    0.000;    0.000;700.60000
 355.87;  749.600;    0.000;    0.000;749.60000
 355.93;  703.600;    0.000;    0.000;703.60000
 355.99;  766.600;    0.000;    0.000;766.60000
 356.06;  731.600;    0.000;    0.000;731.60000
 356.12;  743.600;    0.000;    0.000;743.60000
 356.18;  747.600;    0.000;    0.000;747.60000
