Olivine_LIBS_shot01
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave;Sample;Dark;Reference;Scope Corrected for Dark
 450.96;  232.550;    0.000;    0.000;232.55000
 451.10;  256.550;    0.000;    0.000;256.55000
 451.24;  241.550;    0.000;    0.000;241.55000
 451.38;  240.550;    0.000;    0.000;240.55000
 451.52;  223.550;    0.000;    0.000;223.55000
 451.65;  233.550;    0.000;    0.000;233.55000
 451.79;  213.550;    0.000;    0.000;213.55000
 451.93;  233.550;    0.000;    0.000;233.55000
 452.07;  227.550;    0.000;    0.000;227.55000
 452.21;  274.550;    0.000;    0.000;274.55000
 452.35;  265.550;    0.000;    0.000;265.55000
 452.49;  275.550;    0.000;    0.000;275.55000
 452.63;  217.550;    0.000;    0.000;217.55000
 452.76;  250.550;    0.000;    0.000;250.55000
 452.90;  246.550;    0.000;    0.000;246.55000
 453.04;  313.550;    0.000;    0.000;313.55000
 453.18; 3664.550;    0.000;    0.000;3664.55000
 453.32; 3833.550;    0.000;    0.000;3833.55000
 453.46; 3794.550;    0.000;    0.000;3794.55000
 453.60; 3860.550;    0.000;    0.000;3860.55000
 453.73; 3909.550;    0.000;    0.000;3909.55000
 453.87; 3771.550;    0.000;    0.000;3771.55000
 454.01; 3813.550;    0.000;    0.000;3813.55000
 454.15; 3810.550;    0.000;    0.000;3810.55000
 454.29; 3901.550;    0.000;    0.000;3901.55000
 454.43; 3901.550;    0.000;    0.000;3901.55000
 454.57; 3946.550;    0.000;    0.000;3946.55000
 454.70; 3913.550;    0.000;    0.000;3913.55000
 454.84; 3928.550;    0.000;    0.000;3928.55000
 454.98; 4099.550;    0.000;    0.000;4099.55000
 455.12; 4383.550;    0.000;    0.000;4383.55000
 455.26; 4790.550;    0.000;    0.000;4790.55000
 455.40; 4825.550;    0.000;    0.000;4825.55000
 455.54; 4481.550;    0.000;    0.000;4481.55000
 455.67; 4290.550;    0.000;    0.000;4290.55000
 455.81; 4274.550;    0.000;    0.000;4274.55000
