Olivine_LIBS_shot02
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] ;[counts] 

 691.50;  142.375;    0.000;    0.000;142.37500
 691.70;  196.375;    0.000;    0.000;196.37500
 691.90;  141.375;    0.000;    0.000;141.37500
 692.10;  173.375;    0.000;    0.000;173.37500
 692.30;  119.375;    0.000;    0.000;119.37500
 692.50;  190.375;    0.000;    0.000;190.37500
 692.70;  139.375;    0.000;    0.000;139.37500
 692.90;  200.375;    0.000;    0.000;200.37500
 693.10;  122.375;    0.000;    0.000;122.37500
 693.30;  179.375;    0.000;    0.000;179.37500
 693.49;  186.375;    0.000;    0.000;186.37500
 693.69;  169.375;    0.000;    0.000;169.37500
 693.89;  163.375;    0.000;    0.000;163.37500
 694.09;  140.375;    0.000;    0.000;140.37500
 694.29;  167.375;    0.000;    0.000;167.37500
 694.49;  246.375;    0.000;    0.000;246.37500
 694.69;  694.375;    0.000;    0.000;694.37500
 694.89;  737.375;    0.000;    0.000;737.37500
 695.09;  737.375;    0.000;    0.000;737.37500
 695.29;  777.375;    0.000;    0.000;777.37500
 695.49;  732.375;    0.000;    0.000;732.37500
 695.69;  784.375;    0.000;    0.000;784.37500
 695.89;  744.375;    0.000;    0.000;744.37500
 696.09;  802.375;    0.000;    0.000;802.37500
 696.29;  772.375;    0.000;    0.000;772.37500
 696.49;  821.375;    0.000;    0.000;821.37500
 696.69;  805.375;    0.000;    0.000;805.37500
 696.89;  845.375;    0.000;    0.000;845.37500
 697.09;  788.375;    0.000;    0.000;788.37500
 697.29;  801.375;    0.000;    0.000;801.37500
 697.49;  814.375;    0.000;    0.000;814.37500
 697.69;  810.375;    0.000;    0.000;810.37500
 697.89;  752.375;    0.000;    0.000;752.37500
 698.09;  805.375;    0.000;    0.000;805.37500
 698.29;  766.375;    0.000;    0.000;766.37500
 698.49;  740.375;    0.000;    0.000;740.37500
 698.68;  784.375;    0.000;    0.000;784.37500
 698.88;  803.375;    0.000;    0.000;803.37500
 699.08;  844.375;    0.000;    0.000;844.37500
 699.28;  776.375;    0.000;    0.000;776.37500
 699.48;  857.375;    0.000;    0.000;857.37500
 699.68;  817.375;    0.000;    0.000;817.37500
 699.88;  847.375;    0.000;    0.000;847.37500
 700.08;  827.375;    0.000;    0.000;827.37500
 700.28;  807.375;    0.000;    0.000;807.37500
 700.48;  836.375;    0.000;    0.000;836.37500
 700.68;  790.375;    0.000;    0.000;790.37500
 700.88;  855.375;    0.000;    0.000;855.37500
 701.08;  853.375;    0.000;    0.000;853.37500
 701.27;  807.375;    0.000;    0.000;807.37500
 701.47;  827.375;    0.000;    0.000;827.37500
 701.67;  790.375;    0.000;    0.000;790.37500
 701.87;  853.375;    0.000;    0.000;853.37500
 702.07;  756.375;    0.000;    0.000;756.37500
 702.27;  791.375;    0.000;    0.000;791.37500
 702.47;  869.375;    0.000;    0.000;869.37500
 702.67;  798.375;    0.000;    0.000;798.37500
 702.87;  886.375;    0.000;    0.000;886.37500
 703.07;  911.375;    0.000;    0.000;911.37500
 703.27;  883.375;    0.000;    0.000;883.37500
 703.46;  826.375;    0.000;    0.000;826.37500
 703.66;  830.375;    0.000;    0.000;830.37500
 703.86;  900.375;    0.000;    0.000;900.37500
 704.06;  819.375;    0.000;    0.000;819.37500
 704.26;  833.375;    0.000;    0.000;833.37500
 704.46;  852.375;    0.000;    0.000;852.37500
 704.66;  900.375;    0.000;    0.000;900.37500
 704.86;  857.375;    0.000;    0.000;857.37500
 705.06;  723.375;    0.000;    0.000;723.37500
 705.25;  806.375;    0.000;    0.000;806.37500
 705.45;  811.375;    0.000;    0.000;811.37500
 705.65;  855.375;    0.000;    0.000;855.37500
 705.85;  802.375;    0.000;    0.000;802.37500
 706.05;  853.375;    0.000;    0.000;853.37500
 706.25;  864.375;    0.000;    0.000;864.37500
 706.45;  889.375;    0.000;    0.000;889.37500
 706.65;  863.375;    0.000;    0.000;863.37500
