Air_1ms_Shot01
Integration time [ms]:  50.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7324767SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

236.381;  200.850;    0.000;    0.000
236.451;  213.850;    0.000;    0.000
236.520;  175.850;    0.000;    0.000
236.590;  195.850;    0.000;    0.000
236.660;  204.850;    0.000;    0.000
236.730;  201.850;    0.000;    0.000
236.799;  204.850;    0.000;    0.000
236.869;  233.850;    0.000;    0.000
236.939;  175.850;    0.000;    0.000
237.009;  183.850;    0.000;    0.000
237.078;  184.850;    0.000;    0.000
237.148;  175.850;    0.000;    0.000
237.218;  176.850;    0.000;    0.000
237.287;  171.850;    0.000;    0.000
237.357;  181.850;    0.000;    0.000
237.427;  199.850;    0.000;    0.000
237.496;  519.850;    0.000;    0.000
237.566;  437.850;    0.000;    0.000
237.636;  439.850;    0.000;    0.000
237.705;  490.850;    0.000;    0.000
237.775;  499.850;    0.000;    0.000
237.845;  523.850;    0.000;    0.000
237.914;  450.850;    0.000;    0.000
237.984;  547.850;    0.000;    0.000
238.054;  508.850;    0.000;    0.000
238.123;  513.850;    0.000;    0.000
238.193;  515.850;    0.000;    0.000
238.263;  544.850;    0.000;    0.000
238.332;  497.850;    0.000;    0.000
238.402;  511.850;    0.000;    0.000
238.471;  516.850;    0.000;    0.000
238.541;  509.850;    0.000;    0.000
238.611;  567.850;    0.000;    0.000
238.680;  466.850;    0.000;    0.000
238.750;  553.850;    0.000;    0.000
238.819;  561.850;    0.000;    0.000
238.889;  560.850;    0.000;    0.000
238.958;  521.850;    0.000;    0.000
239.028;  554.850;    0.000;    0.000
239.097;  578.850;    0.000;    0.000
239.167;  646.850;    0.000;    0.000
239.237;  595.850;    0.000;    0.000
239.306;  572.850;    0.000;    0.000
239.376;  662.850;    0.000;    0.000
239.445;  606.850;    0.000;    0.000
239.515;  574.850;    0.000;    0.000
239.584;  549.850;    0.000;    0.000
239.654;  605.850;    0.000;    0.000
239.723;  618.850;    0.000;    0.000
239.793;  602.850;    0.000;    0.000
239.862;  634.850;    0.000;    0.000
239.932;  566.850;    0.000;    0.000
240.001;  594.850;    0.000;    0.000
240.070;  642.850;    0.000;    0.000
