Ti_ReferenceA02_shot2
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV2
Wave   ;Sample   ;Dark     ;Reference
353.533;  246.475;    0.000;    0.000
353.597;  223.475;    0.000;    0.000
353.660;  212.475;    0.000;    0.000
353.723;  175.475;    0.000;    0.000
353.786;  184.475;    0.000;    0.000
353.850;  227.475;    0.000;    0.000
353.913;  205.475;    0.000;    0.000
353.976;  214.475;    0.000;    0.000
354.039;  171.475;    0.000;    0.000
354.102;  238.475;    0.000;    0.000
354.166;  221.475;    0.000;    0.000
354.229;  202.475;    0.000;    0.000
354.292;  217.475;    0.000;    0.000
354.355;  229.475;    0.000;    0.000
354.418;  179.475;    0.000;    0.000
354.481;  208.475;    0.000;    0.000
354.545;  893.475;    0.000;    0.000
354.608;  908.475;    0.000;    0.000
354.671;  886.475;    0.000;    0.000
354.734;  879.475;    0.000;    0.000
354.797;  864.475;    0.000;    0.000
354.860;  892.475;    0.000;    0.000
354.923;  892.475;    0.000;    0.000
354.986;  891.475;    0.000;    0.000
355.050;  939.475;    0.000;    0.000
355.113;  942.475;    0.000;    0.000
355.176;  948.475;    0.000;    0.000
355.239;  928.475;    0.000;    0.000
355.302;  961.475;    0.000;    0.000
355.365; 1001.475;    0.000;    0.000
355.428;  983.475;    0.000;    0.000
355.491; 1008.475;    0.000;    0.000
355.554; 1000.475;    0.000;    0.000
355.617; 1162.475;    0.000;    0.000
355.680; 1164.475;    0.000;    0.000
355.743; 1091.475;    0.000;    0.000
355.806; 1050.475;    0.000;    0.000
355.869; 1146.475;    0.000;    0.000
355.932; 1087.475;    0.000;    0.000
355.995; 1128.475;    0.000;    0.000
356.058; 1209.475;    0.000;    0.000
356.121; 1245.475;    0.000;    0.000
356.184; 1255.475;    0.000;    0.000
356.247; 1201.475;    0.000;    0.000
356.310; 1124.475;    0.000;    0.000
356.373; 1176.475;    0.000;    0.000
356.436; 1224.475;    0.000;    0.000
356.498; 1277.475;    0.000;    0.000
356.561; 1256.475;    0.000;    0.000
356.624; 1272.475;    0.000;    0.000
356.687; 1224.475;    0.000;    0.000
356.750; 1170.475;    0.000;    0.000
356.813; 1184.475;    0.000;    0.000
356.876; 1158.475;    0.000;    0.000
356.939; 1138.475;    0.000;    0.000
357.001; 1270.475;    0.000;    0.000
357.064; 1259.475;    0.000;    0.000
357.127; 1216.475;    0.000;    0.000
357.190; 1259.475;    0.000;    0.000
357.253; 1313.475;    0.000;    0.000
357.316; 1419.475;    0.000;    0.000
357.378; 1469.475;    0.000;    0.000
357.441; 1336.475;    0.000;    0.000
357.504; 1217.475;    0.000;    0.000
357.567; 1140.475;    0.000;    0.000
357.629; 1211.475;    0.000;    0.000
357.692; 1218.475;    0.000;    0.000
357.755; 1236.475;    0.000;    0.000
357.818; 1218.475;    0.000;    0.000
357.880; 1198.475;    0.000;    0.000
357.943; 1143.475;    0.000;    0.000
358.006; 1159.475;    0.000;    0.000
358.069; 1242.475;    0.000;    0.000
358.131; 1229.475;    0.000;    0.000
358.194; 1155.475;    0.000;    0.000
358.257; 1181.475;    0.000;    0.000
358.319; 1251.475;    0.000;    0.000
358.382; 1297.475;    0.000;    0.000
358.445; 1218.475;    0.000;    0.000
358.507; 1293.475;    0.000;    0.000
358.570; 1342.475;    0.000;    0.000
358.633; 1401.475;    0.000;    0.000
358.695; 1536.475;    0.000;    0.000
358.758; 1497.475;    0.000;    0.000
358.821; 1394.475;    0.000;    0.000
