Ti_ReferenceA02_shot2
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference
450.961;  214.150;    0.000;    0.000
451.100;  235.150;    0.000;    0.000
451.239;  202.150;    0.000;    0.000
451.377;  253.150;    0.000;    0.000
451.516;  182.150;    0.000;    0.000
451.655;  208.150;    0.000;    0.000
451.794;  215.150;    0.000;    0.000
451.932;  238.150;    0.000;    0.000
452.071;  208.150;    0.000;    0.000
452.210;  222.150;    0.000;    0.000
452.348;  235.150;    0.000;    0.000
452.487;  229.150;    0.000;    0.000
452.626;  220.150;    0.000;    0.000
452.764;  247.150;    0.000;    0.000
452.903;  284.150;    0.000;    0.000
453.042; 1207.150;    0.000;    0.000
453.180;54858.150;    0.000;    0.000
453.319;65262.150;    0.000;    0.000
453.458;65262.150;    0.000;    0.000
453.596;50631.150;    0.000;    0.000
453.735;28563.150;    0.000;    0.000
453.873;19752.150;    0.000;    0.000
454.012;17326.150;    0.000;    0.000
454.150;17774.150;    0.000;    0.000
454.289;21357.150;    0.000;    0.000
454.427;24529.150;    0.000;    0.000
454.566;27199.150;    0.000;    0.000
454.705;41368.150;    0.000;    0.000
454.843;59004.150;    0.000;    0.000
454.981;58942.150;    0.000;    0.000
455.120;46122.150;    0.000;    0.000
455.258;35111.150;    0.000;    0.000
455.397;29827.150;    0.000;    0.000
455.535;26111.150;    0.000;    0.000
455.674;21852.150;    0.000;    0.000
455.812;18986.150;    0.000;    0.000
455.950;19263.150;    0.000;    0.000
456.089;24009.150;    0.000;    0.000
456.227;31583.150;    0.000;    0.000
456.366;34523.150;    0.000;    0.000
456.504;27988.150;    0.000;    0.000
456.642;21379.150;    0.000;    0.000
456.781;21608.150;    0.000;    0.000
456.919;28859.150;    0.000;    0.000
457.057;43479.150;    0.000;    0.000
457.196;51531.150;    0.000;    0.000
457.334;41243.150;    0.000;    0.000
457.472;26149.150;    0.000;    0.000
457.610;20127.150;    0.000;    0.000
457.749;18555.150;    0.000;    0.000
457.887;18099.150;    0.000;    0.000
458.025;17487.150;    0.000;    0.000
458.163;16796.150;    0.000;    0.000
458.301;17009.150;    0.000;    0.000
458.440;17319.150;    0.000;    0.000
458.578;18091.150;    0.000;    0.000
458.716;18577.150;    0.000;    0.000
458.854;19139.150;    0.000;    0.000
458.992;19822.150;    0.000;    0.000
459.130;18895.150;    0.000;    0.000
459.269;18155.150;    0.000;    0.000
459.407;17998.150;    0.000;    0.000
459.545;17451.150;    0.000;    0.000
459.683;17402.150;    0.000;    0.000
459.821;18037.150;    0.000;    0.000
459.959;18285.150;    0.000;    0.000
460.097;17962.150;    0.000;    0.000
460.235;17509.150;    0.000;    0.000
460.373;17542.150;    0.000;    0.000
460.511;17344.150;    0.000;    0.000
460.649;17826.150;    0.000;    0.000
460.787;17998.150;    0.000;    0.000
460.925;18100.150;    0.000;    0.000
461.063;18098.150;    0.000;    0.000
461.201;18113.150;    0.000;    0.000
461.339;18816.150;    0.000;    0.000
461.477;23694.150;    0.000;    0.000
461.615;29793.150;    0.000;    0.000
461.753;31546.150;    0.000;    0.000
461.891;25894.150;    0.000;    0.000
462.029;23307.150;    0.000;    0.000
462.166;26040.150;    0.000;    0.000
462.304;28018.150;    0.000;    0.000
462.442;25190.150;    0.000;    0.000
462.580;21426.150;    0.000;    0.000
462.718;22707.150;    0.000;    0.000
462.856;24845.150;    0.000;    0.000
462.993;24312.150;    0.000;    0.000
463.131;22014.150;    0.000;    0.000
463.269;21130.150;    0.000;    0.000
463.407;21181.150;    0.000;    0.000
463.545;22496.150;    0.000;    0.000
463.682;26657.150;    0.000;    0.000
463.820;33834.150;    0.000;    0.000
463.958;37830.150;    0.000;    0.000
464.095;31986.150;    0.000;    0.000
464.233;23573.150;    0.000;    0.000
464.371;23138.150;    0.000;    0.000
464.509;23630.150;    0.000;    0.000
464.646;22578.150;    0.000;    0.000
464.784;21532.150;    0.000;    0.000
464.921;22482.150;    0.000;    0.000
465.059;22444.150;    0.000;    0.000
465.197;21036.150;    0.000;    0.000
465.334;21334.150;    0.000;    0.000
465.472;24739.150;    0.000;    0.000
465.609;28056.150;    0.000;    0.000
465.747;25339.150;    0.000;    0.000
465.885;20297.150;    0.000;    0.000
466.022;18528.150;    0.000;    0.000
466.160;18451.150;    0.000;    0.000
466.297;18649.150;    0.000;    0.000
466.435;19307.150;    0.000;    0.000
466.572;22704.150;    0.000;    0.000
466.710;27197.150;    0.000;    0.000
466.847;25629.150;    0.000;    0.000
466.985;20224.150;    0.000;    0.000
467.122;18637.150;    0.000;    0.000
467.260;18981.150;    0.000;    0.000
467.397;19902.150;    0.000;    0.000
467.534;20558.150;    0.000;    0.000
467.672;20053.150;    0.000;    0.000
467.809;20144.150;    0.000;    0.000
467.947;23746.150;    0.000;    0.000
468.084;28408.150;    0.000;    0.000
468.221;29310.150;    0.000;    0.000
468.359;23790.150;    0.000;    0.000
468.496;19553.150;    0.000;    0.000
468.633;19478.150;    0.000;    0.000
468.771;20419.150;    0.000;    0.000
468.908;21628.150;    0.000;    0.000
469.045;23934.150;    0.000;    0.000
469.183;23898.150;    0.000;    0.000
469.320;21230.150;    0.000;    0.000
469.457;19489.150;    0.000;    0.000
469.594;20521.150;    0.000;    0.000
469.732;23030.150;    0.000;    0.000
469.869;24716.150;    0.000;    0.000
470.006;22818.150;    0.000;    0.000
470.143;19870.150;    0.000;    0.000
470.280;19130.150;    0.000;    0.000
470.417;19312.150;    0.000;    0.000
470.555;19541.150;    0.000;    0.000
470.692;20698.150;    0.000;    0.000
470.829;22564.150;    0.000;    0.000
470.966;24558.150;    0.000;    0.000
471.103;23479.150;    0.000;    0.000
471.240;20568.150;    0.000;    0.000
471.377;19870.150;    0.000;    0.000
471.514;19927.150;    0.000;    0.000
471.651;19650.150;    0.000;    0.000
471.789;19327.150;    0.000;    0.000
471.926;19835.150;    0.000;    0.000
472.063;22494.150;    0.000;    0.000
472.200;26527.150;    0.000;    0.000
472.337;26180.150;    0.000;    0.000
472.474;21949.150;    0.000;    0.000
472.611;19621.150;    0.000;    0.000
472.748;19238.150;    0.000;    0.000
472.884;19475.150;    0.000;    0.000
473.021;20853.150;    0.000;    0.000
473.158;21338.150;    0.000;    0.000
473.295;21544.150;    0.000;    0.000
473.432;20656.150;    0.000;    0.000
473.569;19537.150;    0.000;    0.000
473.706;18850.150;    0.000;    0.000
473.843;18902.150;    0.000;    0.000
473.980;20173.150;    0.000;    0.000
474.117;24111.150;    0.000;    0.000
474.253;27654.150;    0.000;    0.000
474.390;25198.150;    0.000;    0.000
474.527;20522.150;    0.000;    0.000
474.664;19628.150;    0.000;    0.000
474.801;19611.150;    0.000;    0.000
474.937;19314.150;    0.000;    0.000
475.074;19286.150;    0.000;    0.000
475.211;19174.150;    0.000;    0.000
475.348;19457.150;    0.000;    0.000
475.484;21193.150;    0.000;    0.000
475.621;28788.150;    0.000;    0.000
475.758;42056.150;    0.000;    0.000
475.894;48296.150;    0.000;    0.000
476.031;37566.150;    0.000;    0.000
476.168;25242.150;    0.000;    0.000
476.304;23089.150;    0.000;    0.000
476.441;22643.150;    0.000;    0.000
476.578;22205.150;    0.000;    0.000
476.714;21864.150;    0.000;    0.000
476.851;21468.150;    0.000;    0.000
476.987;21778.150;    0.000;    0.000
477.124;21619.150;    0.000;    0.000
477.261;20990.150;    0.000;    0.000
477.397;21001.150;    0.000;    0.000
477.534;21879.150;    0.000;    0.000
477.670;24288.150;    0.000;    0.000
477.807;27339.150;    0.000;    0.000
477.943;29386.150;    0.000;    0.000
478.080;27424.150;    0.000;    0.000
478.216;24091.150;    0.000;    0.000
478.353;22161.150;    0.000;    0.000
478.489;21725.150;    0.000;    0.000
478.626;21728.150;    0.000;    0.000
478.762;21903.150;    0.000;    0.000
478.898;22287.150;    0.000;    0.000
479.035;23392.150;    0.000;    0.000
479.171;25572.150;    0.000;    0.000
479.308;25967.150;    0.000;    0.000
479.444;25247.150;    0.000;    0.000
479.580;25497.150;    0.000;    0.000
479.717;27431.150;    0.000;    0.000
479.853;29661.150;    0.000;    0.000
479.989;30761.150;    0.000;    0.000
480.126;28349.150;    0.000;    0.000
480.262;29416.150;    0.000;    0.000
480.398;36977.150;    0.000;    0.000
480.535;41950.150;    0.000;    0.000
480.671;37140.150;    0.000;    0.000
480.807;30968.150;    0.000;    0.000
480.943;32387.150;    0.000;    0.000
481.080;35178.150;    0.000;    0.000
481.216;32882.150;    0.000;    0.000
481.352;27269.150;    0.000;    0.000
481.488;25111.150;    0.000;    0.000
481.624;24281.150;    0.000;    0.000
481.761;25064.150;    0.000;    0.000
481.897;28424.150;    0.000;    0.000
482.033;31774.150;    0.000;    0.000
482.169;28921.150;    0.000;    0.000
482.305;23570.150;    0.000;    0.000
482.441;22493.150;    0.000;    0.000
482.577;23091.150;    0.000;    0.000
482.713;23302.150;    0.000;    0.000
482.849;22640.150;    0.000;    0.000
482.985;22350.150;    0.000;    0.000
483.121;22908.150;    0.000;    0.000
483.257;23027.150;    0.000;    0.000
483.394;22846.150;    0.000;    0.000
483.530;23489.150;    0.000;    0.000
483.666;23978.150;    0.000;    0.000
483.801;24387.150;    0.000;    0.000
483.937;30259.150;    0.000;    0.000
484.073;36936.150;    0.000;    0.000
484.209;33200.150;    0.000;    0.000
484.345;25008.150;    0.000;    0.000
484.481;23527.150;    0.000;    0.000
484.617;23993.150;    0.000;    0.000
484.753;26079.150;    0.000;    0.000
484.889;27005.150;    0.000;    0.000
485.025;25745.150;    0.000;    0.000
485.161;24959.150;    0.000;    0.000
485.296;26328.150;    0.000;    0.000
485.432;32629.150;    0.000;    0.000
485.568;42328.150;    0.000;    0.000
485.704;39386.150;    0.000;    0.000
485.840;28127.150;    0.000;    0.000
485.975;23947.150;    0.000;    0.000
486.111;23220.150;    0.000;    0.000
486.247;24557.150;    0.000;    0.000
486.383;26854.150;    0.000;    0.000
486.518;27759.150;    0.000;    0.000
486.654;30963.150;    0.000;    0.000
486.790;39355.150;    0.000;    0.000
486.926;45552.150;    0.000;    0.000
487.061;42376.150;    0.000;    0.000
487.197;34749.150;    0.000;    0.000
487.333;31457.150;    0.000;    0.000
487.468;31921.150;    0.000;    0.000
487.604;28959.150;    0.000;    0.000
487.739;25013.150;    0.000;    0.000
487.875;24380.150;    0.000;    0.000
488.011;26558.150;    0.000;    0.000
488.146;29234.150;    0.000;    0.000
488.282;33399.150;    0.000;    0.000
488.417;41722.150;    0.000;    0.000
488.553;45185.150;    0.000;    0.000
488.688;34324.150;    0.000;    0.000
488.824;24288.150;    0.000;    0.000
488.960;23509.150;    0.000;    0.000
489.095;24112.150;    0.000;    0.000
489.230;24680.150;    0.000;    0.000
489.366;24531.150;    0.000;    0.000
489.501;23961.150;    0.000;    0.000
489.637;23624.150;    0.000;    0.000
489.772;28651.150;    0.000;    0.000
489.908;39293.150;    0.000;    0.000
490.043;43313.150;    0.000;    0.000
490.179;33792.150;    0.000;    0.000
490.314;25315.150;    0.000;    0.000
490.449;24771.150;    0.000;    0.000
490.585;24120.150;    0.000;    0.000
490.720;24994.150;    0.000;    0.000
490.855;27675.150;    0.000;    0.000
490.991;32235.150;    0.000;    0.000
491.126;39025.150;    0.000;    0.000
491.261;43157.150;    0.000;    0.000
491.396;43386.150;    0.000;    0.000
491.532;34697.150;    0.000;    0.000
491.667;26069.150;    0.000;    0.000
491.802;26184.150;    0.000;    0.000
491.937;30890.150;    0.000;    0.000
492.073;35222.150;    0.000;    0.000
492.208;33442.150;    0.000;    0.000
492.343;28412.150;    0.000;    0.000
492.478;25831.150;    0.000;    0.000
492.613;27298.150;    0.000;    0.000
492.749;30394.150;    0.000;    0.000
492.884;31086.150;    0.000;    0.000
493.019;26659.150;    0.000;    0.000
493.154;22761.150;    0.000;    0.000
493.289;22464.150;    0.000;    0.000
493.424;22776.150;    0.000;    0.000
493.559;23498.150;    0.000;    0.000
493.694;26071.150;    0.000;    0.000
493.829;28562.150;    0.000;    0.000
493.964;26605.150;    0.000;    0.000
494.099;24109.150;    0.000;    0.000
494.234;23572.150;    0.000;    0.000
494.369;22855.150;    0.000;    0.000
494.504;22262.150;    0.000;    0.000
494.639;22670.150;    0.000;    0.000
494.774;23412.150;    0.000;    0.000
494.909;22957.150;    0.000;    0.000
495.044;22017.150;    0.000;    0.000
495.179;21616.150;    0.000;    0.000
495.314;22020.150;    0.000;    0.000
495.449;23271.150;    0.000;    0.000
495.584;23962.150;    0.000;    0.000
495.719;24920.150;    0.000;    0.000
495.854;25651.150;    0.000;    0.000
495.988;25139.150;    0.000;    0.000
496.123;24553.150;    0.000;    0.000
496.258;24952.150;    0.000;    0.000
496.393;26457.150;    0.000;    0.000
496.528;27041.150;    0.000;    0.000
496.663;26973.150;    0.000;    0.000
496.797;27476.150;    0.000;    0.000
496.932;27525.150;    0.000;    0.000
497.067;26756.150;    0.000;    0.000
497.202;27936.150;    0.000;    0.000
497.336;31228.150;    0.000;    0.000
497.471;35017.150;    0.000;    0.000
497.606;36492.150;    0.000;    0.000
497.740;37461.150;    0.000;    0.000
497.875;42109.150;    0.000;    0.000
498.010;61349.150;    0.000;    0.000
498.144;65262.150;    0.000;    0.000
498.279;65262.150;    0.000;    0.000
498.414;46424.150;    0.000;    0.000
498.548;33404.150;    0.000;    0.000
498.683;33914.150;    0.000;    0.000
498.817;42926.150;    0.000;    0.000
498.952;65262.150;    0.000;    0.000
499.087;65262.150;    0.000;    0.000
499.221;65262.150;    0.000;    0.000
499.356;46300.150;    0.000;    0.000
499.490;39118.150;    0.000;    0.000
499.625;42843.150;    0.000;    0.000
499.759;57551.150;    0.000;    0.000
499.894;65262.150;    0.000;    0.000
500.028;65262.150;    0.000;    0.000
500.162;64838.150;    0.000;    0.000
500.297;48287.150;    0.000;    0.000
500.431;46663.150;    0.000;    0.000
500.566;60094.150;    0.000;    0.000
500.700;65262.150;    0.000;    0.000
500.835;65262.150;    0.000;    0.000
500.969;49743.150;    0.000;    0.000
501.103;45477.150;    0.000;    0.000
501.238;59120.150;    0.000;    0.000
501.372;65262.150;    0.000;    0.000
501.506;65262.150;    0.000;    0.000
501.641;61439.150;    0.000;    0.000
501.775;46720.150;    0.000;    0.000
501.909;47953.150;    0.000;    0.000
502.043;53819.150;    0.000;    0.000
502.178;54025.150;    0.000;    0.000
502.312;57881.150;    0.000;    0.000
502.446;62835.150;    0.000;    0.000
502.580;57436.150;    0.000;    0.000
502.715;41069.150;    0.000;    0.000
502.849;30338.150;    0.000;    0.000
502.983;28134.150;    0.000;    0.000
503.117;27291.150;    0.000;    0.000
503.251;27759.150;    0.000;    0.000
503.385;36438.150;    0.000;    0.000
503.520;63062.150;    0.000;    0.000
503.654;65262.150;    0.000;    0.000
503.788;65262.150;    0.000;    0.000
503.922;64019.150;    0.000;    0.000
504.056;51632.150;    0.000;    0.000
504.190;35288.150;    0.000;    0.000
504.324;29042.150;    0.000;    0.000
504.458;28191.150;    0.000;    0.000
504.592;25789.150;    0.000;    0.000
504.726;24145.150;    0.000;    0.000
504.860;23391.150;    0.000;    0.000
504.994;22766.150;    0.000;    0.000
505.128;24511.150;    0.000;    0.000
505.262;27082.150;    0.000;    0.000
505.396;26194.150;    0.000;    0.000
505.530;22663.150;    0.000;    0.000
505.664;21138.150;    0.000;    0.000
505.798;20951.150;    0.000;    0.000
505.932;20944.150;    0.000;    0.000
506.066;22284.150;    0.000;    0.000
506.199;26507.150;    0.000;    0.000
506.333;35226.150;    0.000;    0.000
506.467;43763.150;    0.000;    0.000
506.601;37091.150;    0.000;    0.000
506.735;25635.150;    0.000;    0.000
506.869;24423.150;    0.000;    0.000
507.002;25972.150;    0.000;    0.000
507.136;27465.150;    0.000;    0.000
507.270;26047.150;    0.000;    0.000
507.404;21977.150;    0.000;    0.000
507.537;19439.150;    0.000;    0.000
507.671;18965.150;    0.000;    0.000
507.805;18686.150;    0.000;    0.000
507.939;18377.150;    0.000;    0.000
508.072;18276.150;    0.000;    0.000
508.206;17987.150;    0.000;    0.000
508.340;18514.150;    0.000;    0.000
508.473;19818.150;    0.000;    0.000
508.607;22166.150;    0.000;    0.000
508.740;22403.150;    0.000;    0.000
508.874;19801.150;    0.000;    0.000
509.008;17780.150;    0.000;    0.000
509.141;17450.150;    0.000;    0.000
509.275;17328.150;    0.000;    0.000
509.408;17149.150;    0.000;    0.000
509.542;17510.150;    0.000;    0.000
509.675;17427.150;    0.000;    0.000
509.809;17402.150;    0.000;    0.000
509.942;17493.150;    0.000;    0.000
