Ti_ReferenceA02_shot2
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
691.496;  147.525;    0.000;    0.000
691.696;  173.525;    0.000;    0.000
691.896;  159.525;    0.000;    0.000
692.096;  151.525;    0.000;    0.000
692.296;   94.525;    0.000;    0.000
692.496;  215.525;    0.000;    0.000
692.695;  152.525;    0.000;    0.000
692.895;  157.525;    0.000;    0.000
693.095;  115.525;    0.000;    0.000
693.295;  151.525;    0.000;    0.000
693.495;  171.525;    0.000;    0.000
693.695;  166.525;    0.000;    0.000
693.894;  170.525;    0.000;    0.000
694.094;  179.525;    0.000;    0.000
694.294;  165.525;    0.000;    0.000
694.494;  671.525;    0.000;    0.000
694.693; 5467.525;    0.000;    0.000
694.893; 5927.525;    0.000;    0.000
695.093; 5809.525;    0.000;    0.000
695.293; 6018.525;    0.000;    0.000
695.492; 6067.525;    0.000;    0.000
695.692; 5993.525;    0.000;    0.000
695.891; 6095.525;    0.000;    0.000
696.091; 6244.525;    0.000;    0.000
696.291; 6097.525;    0.000;    0.000
696.490; 6231.525;    0.000;    0.000
696.690; 5968.525;    0.000;    0.000
696.889; 6051.525;    0.000;    0.000
697.089; 5992.525;    0.000;    0.000
697.288; 6028.525;    0.000;    0.000
697.488; 5939.525;    0.000;    0.000
697.687; 5888.525;    0.000;    0.000
697.887; 5973.525;    0.000;    0.000
698.086; 6122.525;    0.000;    0.000
698.286; 6026.525;    0.000;    0.000
698.485; 6119.525;    0.000;    0.000
698.684; 6072.525;    0.000;    0.000
698.884; 6198.525;    0.000;    0.000
699.083; 6275.525;    0.000;    0.000
699.282; 6161.525;    0.000;    0.000
699.482; 6529.525;    0.000;    0.000
699.681; 7098.525;    0.000;    0.000
699.880; 6931.525;    0.000;    0.000
700.080; 6779.525;    0.000;    0.000
700.279; 6630.525;    0.000;    0.000
700.478; 7056.525;    0.000;    0.000
700.677; 6839.525;    0.000;    0.000
700.877; 6759.525;    0.000;    0.000
701.076; 6591.525;    0.000;    0.000
701.275; 6333.525;    0.000;    0.000
701.474; 6292.525;    0.000;    0.000
701.673; 6147.525;    0.000;    0.000
701.872; 6167.525;    0.000;    0.000
702.071; 6171.525;    0.000;    0.000
702.271; 6186.525;    0.000;    0.000
702.470; 6290.525;    0.000;    0.000
702.669; 6301.525;    0.000;    0.000
702.868; 6261.525;    0.000;    0.000
703.067; 6421.525;    0.000;    0.000
703.266; 6359.525;    0.000;    0.000
703.465; 6551.525;    0.000;    0.000
703.664; 7374.525;    0.000;    0.000
703.863; 8092.525;    0.000;    0.000
704.062; 7570.525;    0.000;    0.000
704.260; 6869.525;    0.000;    0.000
704.459; 6745.525;    0.000;    0.000
704.658; 6523.525;    0.000;    0.000
704.857; 6656.525;    0.000;    0.000
705.056; 7067.525;    0.000;    0.000
705.255; 7526.525;    0.000;    0.000
705.454; 8356.525;    0.000;    0.000
705.652; 8401.525;    0.000;    0.000
705.851; 7936.525;    0.000;    0.000
706.050; 8043.525;    0.000;    0.000
706.249; 8241.525;    0.000;    0.000
706.447; 8276.525;    0.000;    0.000
706.646; 8370.525;    0.000;    0.000
706.845; 8658.525;    0.000;    0.000
707.043; 8409.525;    0.000;    0.000
707.242; 7892.525;    0.000;    0.000
707.441; 7852.525;    0.000;    0.000
707.639; 8013.525;    0.000;    0.000
707.838; 7729.525;    0.000;    0.000
708.037; 7800.525;    0.000;    0.000
708.235; 7820.525;    0.000;    0.000
708.434; 7602.525;    0.000;    0.000
708.632; 8608.525;    0.000;    0.000
708.831; 9526.525;    0.000;    0.000
709.029; 9418.525;    0.000;    0.000
709.228; 9026.525;    0.000;    0.000
709.426; 9201.525;    0.000;    0.000
709.625; 9306.525;    0.000;    0.000
709.823; 9139.525;    0.000;    0.000
710.022; 9201.525;    0.000;    0.000
710.220; 9293.525;    0.000;    0.000
710.418; 9532.525;    0.000;    0.000
710.617; 9271.525;    0.000;    0.000
710.815; 9659.525;    0.000;    0.000
711.013; 9802.525;    0.000;    0.000
711.212; 9720.525;    0.000;    0.000
711.410; 9910.525;    0.000;    0.000
711.608; 9793.525;    0.000;    0.000
711.807; 9805.525;    0.000;    0.000
712.005; 9579.525;    0.000;    0.000
712.203; 9550.525;    0.000;    0.000
712.401;10575.525;    0.000;    0.000
712.599;12118.525;    0.000;    0.000
712.798;11700.525;    0.000;    0.000
712.996;11579.525;    0.000;    0.000
713.194;11841.525;    0.000;    0.000
713.392;11543.525;    0.000;    0.000
713.590;11513.525;    0.000;    0.000
713.788;11936.525;    0.000;    0.000
713.986;12359.525;    0.000;    0.000
714.184;11378.525;    0.000;    0.000
714.382;11363.525;    0.000;    0.000
714.580;11156.525;    0.000;    0.000
714.778;11424.525;    0.000;    0.000
714.976;11413.525;    0.000;    0.000
715.174;10697.525;    0.000;    0.000
715.372;10909.525;    0.000;    0.000
715.570;11056.525;    0.000;    0.000
715.768;11510.525;    0.000;    0.000
715.966;11928.525;    0.000;    0.000
716.164;11438.525;    0.000;    0.000
716.362;11234.525;    0.000;    0.000
716.560;11076.525;    0.000;    0.000
716.758;11021.525;    0.000;    0.000
716.955;10894.525;    0.000;    0.000
717.153;10797.525;    0.000;    0.000
717.351;10679.525;    0.000;    0.000
717.549;10712.525;    0.000;    0.000
717.746;10556.525;    0.000;    0.000
717.944;10541.525;    0.000;    0.000
718.142;10462.525;    0.000;    0.000
718.340;10171.525;    0.000;    0.000
718.537;10392.525;    0.000;    0.000
718.735;11612.525;    0.000;    0.000
718.933;12640.525;    0.000;    0.000
719.130;11981.525;    0.000;    0.000
719.328;10473.525;    0.000;    0.000
719.525;10374.525;    0.000;    0.000
719.723;10790.525;    0.000;    0.000
719.920;10926.525;    0.000;    0.000
720.118;10840.525;    0.000;    0.000
720.316;11058.525;    0.000;    0.000
720.513;11001.525;    0.000;    0.000
720.711;14031.525;    0.000;    0.000
720.908;19055.525;    0.000;    0.000
721.105;16968.525;    0.000;    0.000
721.303;12215.525;    0.000;    0.000
721.500;13178.525;    0.000;    0.000
721.698;12973.525;    0.000;    0.000
721.895;10961.525;    0.000;    0.000
722.092;10334.525;    0.000;    0.000
722.290;10193.525;    0.000;    0.000
722.487;10097.525;    0.000;    0.000
722.684;10084.525;    0.000;    0.000
722.882;10070.525;    0.000;    0.000
723.079;10057.525;    0.000;    0.000
723.276;10220.525;    0.000;    0.000
723.473;10142.525;    0.000;    0.000
723.671;10030.525;    0.000;    0.000
723.868;10093.525;    0.000;    0.000
724.065;10212.525;    0.000;    0.000
724.262;12304.525;    0.000;    0.000
724.459;15741.525;    0.000;    0.000
724.656;13735.525;    0.000;    0.000
724.854;10776.525;    0.000;    0.000
725.051;14284.525;    0.000;    0.000
