UV1,UV2,VIS,NIR
398.225,400.75,3879.7,1489.25
355.225,405.75,4058.7,1514.25
333.225,359.75,3994.7,1546.25
399.225,419.75,4100.7,1646.25
326.225,396.75,4088.7,1638.25
357.225,407.75,4100.7,1622.25
350.225,367.75,4141.7,1693.25
383.225,428.75,4169.7,1753.25
308.225,418.75,4264.7,1633.25
333.225,403.75,4224.7,1663.25
371.225,406.75,4296.7,1611.25
367.225,422.75,4369.7,1704.25
350.225,439.75,4409.7,1646.25
374.225,426.75,4354.7,1656.25
381.225,400.75,4408.7,1687.25
376.225,468.75,4472.7,1689.25
358.225,460.75,4429.7,1694.25
363.225,430.75,4617.7,1711.25
319.225,442.75,4551.7,1612.25
357.225,415.75,4486.7,1707.25
362.225,419.75,4682.7,1692.25
349.225,479.75,4707.7,1719.25
348.225,376.75,4715.7,1699.25
326.225,424.75,4838.7,1748.25
433.225,448.75,4877.7,1729.25
349.225,438.75,4947.7,1748.25
349.225,448.75,4850.7,1839.25
356.225,421.75,4778.7,1819.25
369.225,445.75,4753.7,1760.25
365.225,445.75,4825.7,1724.25
345.225,460.75,4868.7,1716.25
351.225,461.75,4821.7,1805.25
384.225,419.75,5045.7,1857.25
347.225,437.75,4953.7,1702.25
327.225,477.75,5221.7,1842.25
381.225,429.75,5242.7,1692.25
322.225,419.75,5341.7,1780.25
374.225,478.75,5437.7,1788.25
356.225,423.75,5331.7,1837.25
378.225,459.75,5629.7,1831.25
339.225,447.75,5599.7,1842.25
359.225,454.75,5679.7,1790.25
345.225,492.75,5643.7,1820.25
370.225,432.75,5736.7,1852.25
357.225,498.75,5789.7,1867.25
400.225,442.75,5852.7,1807.25
348.225,450.75,5866.7,1845.25
357.225,419.75,5964.7,1788.25
323.225,469.75,6064.7,1852.25
381.225,456.75,6075.7,1813.25
348.225,466.75,6130.7,1823.25
356.225,456.75,6051.7,1804.25
373.225,492.75,6134.7,1824.25
378.225,497.75,6264.7,1838.25
385.225,431.75,6228.7,1774.25
310.225,488.75,6369.7,1821.25
344.225,509.75,6308.7,1880.25
373.225,503.75,6299.7,1930.25
361.225,443.75,6368.7,1921.25
333.225,490.75,6456.7,1869.25
337.225,459.75,6549.7,1854.25
380.225,489.75,6480.7,1912.25
329.225,468.75,6570.7,1897.25
359.225,492.75,6636.7,1788.25
387.225,470.75,6714.7,1924.25
397.225,466.75,6747.7,1897.25
382.225,505.75,6770.7,1870.25
381.225,475.75,6995.7,1920.25
358.225,431.75,7090.7,1906.25
344.225,468.75,7057.7,1924.25
335.225,498.75,7184.7,1916.25
369.225,499.75,7145.7,1907.25
341.225,492.75,7150.7,1908.25
379.225,432.75,7107.7,1875.25
348.225,469.75,7057.7,1994.25
378.225,482.75,7050.7,1970.25
