Olivine_1s
Integration time [ms]: 1000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7320751SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

466.185;   79.000; 1974.000;    0.000
466.317;   64.000; 1812.000;    0.000
466.449;   62.000; 1770.000;    0.000
466.582;   60.000; 1832.000;    0.000
466.714;   81.000; 1878.000;    0.000
466.847;   71.000; 2039.000;    0.000
466.979;  101.000; 3108.000;    0.000
467.112;   52.000; 1168.000;    0.000
467.244;   71.000; 2159.000;    0.000
467.376;   68.000; 1794.000;    0.000
467.509;   68.000; 1757.000;    0.000
467.641;   64.000; 2154.000;    0.000
467.773;   53.000; 1530.000;    0.000
467.906;   64.000; 2197.000;    0.000
468.038;   93.000; 2737.000;    0.000
468.170;   80.000; 1954.000;    0.000
468.302;   71.000; 1784.000;    0.000
468.435;   53.000; 1452.000;    0.000
468.567;   75.000; 2281.000;    0.000
468.699;   88.000; 2178.000;    0.000
468.831;   83.000; 2284.000;    0.000
468.964;   79.000; 2641.000;    0.000
469.096;   83.000; 2307.000;    0.000
469.228;   78.000; 2043.000;    0.000
469.360;   84.000; 2698.000;    0.000
469.492;   90.000; 2822.000;    0.000
469.624;   64.000; 1710.000;    0.000
469.756;   93.000; 2836.000;    0.000
469.888;   74.000; 2485.000;    0.000
470.021;   76.000; 1915.000;    0.000
470.153;   62.000; 1897.000;    0.000
470.285;   84.000; 2659.000;    0.000
470.417;   83.000; 2303.000;    0.000
470.549;   74.000; 2473.000;    0.000
470.681;   77.000; 2179.000;    0.000
470.813;   99.000; 3051.000;    0.000
470.945;  110.000; 3778.000;    0.000
471.077;   76.000; 2113.000;    0.000
471.208;   90.000; 2888.000;    0.000
471.340;   94.000; 2313.000;    0.000
471.472;   79.000; 2489.000;    0.000
471.604;   74.000; 2208.000;    0.000
471.736;   87.000; 2563.000;    0.000
471.868;   77.000; 2294.000;    0.000
472.000;  175.000; 6359.000;    0.000
472.132;   75.000; 2197.000;    0.000
472.263;   64.000; 1672.000;    0.000
472.395;   84.000; 2601.000;    0.000
472.527;   72.000; 2198.000;    0.000
472.659;   93.000; 2407.000;    0.000
472.790;   72.000; 1993.000;    0.000
