Olivine_8s
Integration time [ms]: 8000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7320751SP
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] ;[counts] 

 466.18;  525.000;  413.000;    0.000;112.00000
 466.32;  465.000;  353.000;    0.000;112.00000
 466.45;  466.000;  343.000;    0.000;123.00000
 466.58;  495.000;  376.000;    0.000;119.00000
 466.71;  491.000;  374.000;    0.000;117.00000
 466.85;  504.000;  404.000;    0.000;100.00000
 466.98;  738.000;  620.000;    0.000;118.00000
 467.11;  363.000;  232.000;    0.000;131.00000
 467.24;  565.000;  437.000;    0.000;128.00000
 467.38;  490.000;  352.000;    0.000;138.00000
 467.51;  461.000;  353.000;    0.000;108.00000
 467.64;  560.000;  427.000;    0.000;133.00000
 467.77;  428.000;  298.000;    0.000;130.00000
 467.91;  565.000;  468.000;    0.000;97.00000
 468.04;  651.000;  551.000;    0.000;100.00000
 468.17;  514.000;  404.000;    0.000;110.00000
 468.30;  465.000;  337.000;    0.000;128.00000
 468.43;  399.000;  288.000;    0.000;111.00000
 468.57;  578.000;  485.000;    0.000;93.00000
 468.70;  579.000;  418.000;    0.000;161.00000
 468.83;  561.000;  469.000;    0.000;92.00000
 468.96;  651.000;  535.000;    0.000;116.00000
 469.10;  603.000;  464.000;    0.000;139.00000
 469.23;  516.000;  396.000;    0.000;120.00000
 469.36;  687.000;  536.000;    0.000;151.00000
 469.49;  685.000;  566.000;    0.000;119.00000
 469.62;  471.000;  361.000;    0.000;110.00000
 469.76;  689.000;  562.000;    0.000;127.00000
 469.89;  595.000;  516.000;    0.000;79.00000
 470.02;  514.000;  383.000;    0.000;131.00000
 470.15;  488.000;  372.000;    0.000;116.00000
 470.28;  634.000;  535.000;    0.000;99.00000
 470.42;  559.000;  475.000;    0.000;84.00000
 470.55;  572.000;  505.000;    0.000;67.00000
 470.68;  577.000;  428.000;    0.000;149.00000
 470.81;  714.000;  614.000;    0.000;100.00000
 470.94;  897.000;  749.000;    0.000;148.00000
 471.08;  527.000;  402.000;    0.000;125.00000
 471.21;  678.000;  576.000;    0.000;102.00000
 471.34;  603.000;  454.000;    0.000;149.00000
 471.47;  624.000;  509.000;    0.000;115.00000
 471.60;  569.000;  457.000;    0.000;112.00000
 471.74;  624.000;  522.000;    0.000;102.00000
 471.87;  563.000;  470.000;    0.000;93.00000
 472.00; 1391.000; 1241.000;    0.000;150.00000
 472.13;  546.000;  448.000;    0.000;98.00000
 472.26;  427.000;  331.000;    0.000;96.00000
 472.40;  639.000;  522.000;    0.000;117.00000
 472.53;  530.000;  432.000;    0.000;98.00000
 472.66;  592.000;  484.000;    0.000;108.00000
 472.79;  545.000;  424.000;    0.000;121.00000
 472.92;  748.000;  614.000;    0.000;134.00000
 473.05;  544.000;  450.000;    0.000;94.00000
 473.19;  621.000;  527.000;    0.000;94.00000
 473.32;  644.000;  522.000;    0.000;122.00000
 473.45;  569.000;  457.000;    0.000;112.00000
 473.58;  571.000;  450.000;    0.000;121.00000
 473.71;  645.000;  526.000;    0.000;119.00000
 473.84;  658.000;  554.000;    0.000;104.00000
 473.98;  716.000;  595.000;    0.000;121.00000
 474.11;  658.000;  532.000;    0.000;126.00000
 474.24;  704.000;  600.000;    0.000;104.00000
 474.37;  673.000;  594.000;    0.000;79.00000
 474.50;  564.000;  435.000;    0.000;129.00000
 474.63;  796.000;  660.000;    0.000;136.00000
 474.76;  574.000;  461.000;    0.000;113.00000
 474.90;  604.000;  506.000;    0.000;98.00000
 475.03;  583.000;  464.000;    0.000;119.00000
 475.16;  675.000;  579.000;    0.000;96.00000
 475.29;  603.000;  491.000;    0.000;112.00000
 475.42;  616.000;  517.000;    0.000;99.00000
 475.55;  577.000;  471.000;    0.000;106.00000
 475.69;  580.000;  429.000;    0.000;151.00000
 475.82;  647.000;  553.000;    0.000;94.00000
 475.95;  621.000;  529.000;    0.000;92.00000
 476.08;  590.000;  505.000;    0.000;85.00000
 476.21;  597.000;  517.000;    0.000;80.00000
