Olivine_LIBS_shot01
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV1
Wave;Sample;Dark;Reference;Scope Corrected for Dark
 236.38;  166.950;    0.000;    0.000;166.95000
 236.45;  207.950;    0.000;    0.000;207.95000
 236.52;  178.950;    0.000;    0.000;178.95000
 236.59;  191.950;    0.000;    0.000;191.95000
 236.66;  190.950;    0.000;    0.000;190.95000
 236.73;  205.950;    0.000;    0.000;205.95000
 236.80;  208.950;    0.000;    0.000;208.95000
 236.87;  173.950;    0.000;    0.000;173.95000
 236.94;  158.950;    0.000;    0.000;158.95000
 237.01;  179.950;    0.000;    0.000;179.95000
 237.08;  185.950;    0.000;    0.000;185.95000
 237.15;  166.950;    0.000;    0.000;166.95000
 237.22;  187.950;    0.000;    0.000;187.95000
 237.29;  223.950;    0.000;    0.000;223.95000
 237.36;  192.950;    0.000;    0.000;192.95000
 237.43;  147.950;    0.000;    0.000;147.95000
 237.50; 1259.950;    0.000;    0.000;1259.95000
 237.57; 1284.950;    0.000;    0.000;1284.95000
 237.64; 1180.950;    0.000;    0.000;1180.95000
 237.71; 1274.950;    0.000;    0.000;1274.95000
 237.78; 1178.950;    0.000;    0.000;1178.95000
 237.84; 1262.950;    0.000;    0.000;1262.95000
 237.91; 1374.950;    0.000;    0.000;1374.95000
 237.98; 1450.950;    0.000;    0.000;1450.95000
 238.05; 1505.950;    0.000;    0.000;1505.95000
 238.12; 2345.950;    0.000;    0.000;2345.95000
 238.19; 2369.950;    0.000;    0.000;2369.95000
 238.26; 1819.950;    0.000;    0.000;1819.95000
 238.33; 1515.950;    0.000;    0.000;1515.95000
 238.40; 1467.950;    0.000;    0.000;1467.95000
 238.47; 1423.950;    0.000;    0.000;1423.95000
 238.54; 1467.950;    0.000;    0.000;1467.95000
 238.61; 1304.950;    0.000;    0.000;1304.95000
 238.68; 1396.950;    0.000;    0.000;1396.95000
 238.75; 1628.950;    0.000;    0.000;1628.95000
 238.82; 1910.950;    0.000;    0.000;1910.95000
 238.89; 1670.950;    0.000;    0.000;1670.95000
 238.96; 1500.950;    0.000;    0.000;1500.95000
 239.03; 1424.950;    0.000;    0.000;1424.95000
 239.10; 1432.950;    0.000;    0.000;1432.95000
 239.17; 1511.950;    0.000;    0.000;1511.95000
