Olivine_LIBS_shot01
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave;Sample;Dark;Reference;Scope Corrected for Dark
 691.50;  158.250;    0.000;    0.000;158.25000
 691.70;  180.250;    0.000;    0.000;180.25000
 691.90;  119.250;    0.000;    0.000;119.25000
 692.10;  209.250;    0.000;    0.000;209.25000
 692.30;  123.250;    0.000;    0.000;123.25000
 692.50;  198.250;    0.000;    0.000;198.25000
 692.70;  171.250;    0.000;    0.000;171.25000
 692.90;  192.250;    0.000;    0.000;192.25000
 693.10;  153.250;    0.000;    0.000;153.25000
 693.30;  190.250;    0.000;    0.000;190.25000
 693.49;  182.250;    0.000;    0.000;182.25000
 693.69;  178.250;    0.000;    0.000;178.25000
 693.89;  149.250;    0.000;    0.000;149.25000
 694.09;  167.250;    0.000;    0.000;167.25000
 694.29;  138.250;    0.000;    0.000;138.25000
 694.49;  210.250;    0.000;    0.000;210.25000
 694.69;  658.250;    0.000;    0.000;658.25000
 694.89;  777.250;    0.000;    0.000;777.25000
 695.09;  694.250;    0.000;    0.000;694.25000
 695.29;  744.250;    0.000;    0.000;744.25000
 695.49;  798.250;    0.000;    0.000;798.25000
 695.69;  702.250;    0.000;    0.000;702.25000
 695.89;  731.250;    0.000;    0.000;731.25000
 696.09;  784.250;    0.000;    0.000;784.25000
 696.29;  775.250;    0.000;    0.000;775.25000
 696.49;  850.250;    0.000;    0.000;850.25000
 696.69;  778.250;    0.000;    0.000;778.25000
 696.89;  800.250;    0.000;    0.000;800.25000
 697.09;  735.250;    0.000;    0.000;735.25000
 697.29;  810.250;    0.000;    0.000;810.25000
 697.49;  754.250;    0.000;    0.000;754.25000
 697.69;  780.250;    0.000;    0.000;780.25000
 697.89;  743.250;    0.000;    0.000;743.25000
 698.09;  798.250;    0.000;    0.000;798.25000
 698.29;  734.250;    0.000;    0.000;734.25000
 698.49;  776.250;    0.000;    0.000;776.25000
 698.68;  765.250;    0.000;    0.000;765.25000
 698.88;  794.250;    0.000;    0.000;794.25000
 699.08;  752.250;    0.000;    0.000;752.25000
 699.28;  718.250;    0.000;    0.000;718.25000
 699.48;  757.250;    0.000;    0.000;757.25000
 699.68;  775.250;    0.000;    0.000;775.25000
 699.88;  774.250;    0.000;    0.000;774.25000
 700.08;  805.250;    0.000;    0.000;805.25000
 700.28;  722.250;    0.000;    0.000;722.25000
 700.48;  803.250;    0.000;    0.000;803.25000
 700.68;  792.250;    0.000;    0.000;792.25000
 700.88;  824.250;    0.000;    0.000;824.25000
 701.08;  811.250;    0.000;    0.000;811.25000
 701.27;  802.250;    0.000;    0.000;802.25000
 701.47;  800.250;    0.000;    0.000;800.25000
 701.67;  757.250;    0.000;    0.000;757.25000
 701.87;  775.250;    0.000;    0.000;775.25000
 702.07;  802.250;    0.000;    0.000;802.25000
 702.27;  772.250;    0.000;    0.000;772.25000
 702.47;  809.250;    0.000;    0.000;809.25000
 702.67;  791.250;    0.000;    0.000;791.25000
 702.87;  826.250;    0.000;    0.000;826.25000
 703.07;  862.250;    0.000;    0.000;862.25000
 703.27;  829.250;    0.000;    0.000;829.25000
 703.46;  809.250;    0.000;    0.000;809.25000
 703.66;  854.250;    0.000;    0.000;854.25000
 703.86;  838.250;    0.000;    0.000;838.25000
 704.06;  806.250;    0.000;    0.000;806.25000
 704.26;  793.250;    0.000;    0.000;793.25000
 704.46;  837.250;    0.000;    0.000;837.25000
 704.66;  792.250;    0.000;    0.000;792.25000
 704.86;  856.250;    0.000;    0.000;856.25000
 705.06;  800.250;    0.000;    0.000;800.25000
 705.25;  803.250;    0.000;    0.000;803.25000
 705.45;  841.250;    0.000;    0.000;841.25000
 705.65;  775.250;    0.000;    0.000;775.25000
 705.85;  833.250;    0.000;    0.000;833.25000
 706.05;  895.250;    0.000;    0.000;895.25000
 706.25;  824.250;    0.000;    0.000;824.25000
 706.45;  919.250;    0.000;    0.000;919.25000
 706.65;  772.250;    0.000;    0.000;772.25000
 706.84;  847.250;    0.000;    0.000;847.25000
 707.04;  832.250;    0.000;    0.000;832.25000
 707.24;  811.250;    0.000;    0.000;811.25000
 707.44;  866.250;    0.000;    0.000;866.25000
 707.64;  875.250;    0.000;    0.000;875.25000
 707.84;  818.250;    0.000;    0.000;818.25000
 708.04;  857.250;    0.000;    0.000;857.25000
 708.24;  802.250;    0.000;    0.000;802.25000
 708.43;  886.250;    0.000;    0.000;886.25000
 708.63;  862.250;    0.000;    0.000;862.25000
 708.83;  886.250;    0.000;    0.000;886.25000
 709.03;  867.250;    0.000;    0.000;867.25000
 709.23;  852.250;    0.000;    0.000;852.25000
 709.43;  840.250;    0.000;    0.000;840.25000
 709.62;  922.250;    0.000;    0.000;922.25000
 709.82;  880.250;    0.000;    0.000;880.25000
 710.02;  814.250;    0.000;    0.000;814.25000
 710.22;  879.250;    0.000;    0.000;879.25000
 710.42;  867.250;    0.000;    0.000;867.25000
 710.62;  894.250;    0.000;    0.000;894.25000
 710.82;  811.250;    0.000;    0.000;811.25000
 711.01;  886.250;    0.000;    0.000;886.25000
 711.21;  858.250;    0.000;    0.000;858.25000
 711.41;  894.250;    0.000;    0.000;894.25000
 711.61;  838.250;    0.000;    0.000;838.25000
 711.81;  880.250;    0.000;    0.000;880.25000
 712.00;  882.250;    0.000;    0.000;882.25000
 712.20;  836.250;    0.000;    0.000;836.25000
 712.40;  862.250;    0.000;    0.000;862.25000
 712.60;  932.250;    0.000;    0.000;932.25000
 712.80;  877.250;    0.000;    0.000;877.25000
 713.00;  790.250;    0.000;    0.000;790.25000
 713.19;  897.250;    0.000;    0.000;897.25000
 713.39;  828.250;    0.000;    0.000;828.25000
 713.59;  851.250;    0.000;    0.000;851.25000
 713.79;  915.250;    0.000;    0.000;915.25000
 713.99;  928.250;    0.000;    0.000;928.25000
 714.18;  913.250;    0.000;    0.000;913.25000
 714.38;  923.250;    0.000;    0.000;923.25000
 714.58;  944.250;    0.000;    0.000;944.25000
 714.78; 1142.250;    0.000;    0.000;1142.25000
 714.98; 1089.250;    0.000;    0.000;1089.25000
 715.17;  957.250;    0.000;    0.000;957.25000
 715.37; 1004.250;    0.000;    0.000;1004.25000
 715.57; 1001.250;    0.000;    0.000;1001.25000
 715.77; 1028.250;    0.000;    0.000;1028.25000
 715.97; 1033.250;    0.000;    0.000;1033.25000
 716.16; 1059.250;    0.000;    0.000;1059.25000
 716.36; 1017.250;    0.000;    0.000;1017.25000
 716.56;  963.250;    0.000;    0.000;963.25000
 716.76;  995.250;    0.000;    0.000;995.25000
 716.96;  935.250;    0.000;    0.000;935.25000
 717.15;  976.250;    0.000;    0.000;976.25000
 717.35;  953.250;    0.000;    0.000;953.25000
 717.55;  992.250;    0.000;    0.000;992.25000
 717.75;  964.250;    0.000;    0.000;964.25000
 717.94;  956.250;    0.000;    0.000;956.25000
 718.14;  927.250;    0.000;    0.000;927.25000
 718.34;  945.250;    0.000;    0.000;945.25000
 718.54;  955.250;    0.000;    0.000;955.25000
 718.73; 1041.250;    0.000;    0.000;1041.25000
 718.93;  949.250;    0.000;    0.000;949.25000
 719.13;  978.250;    0.000;    0.000;978.25000
 719.33;  967.250;    0.000;    0.000;967.25000
 719.53; 1016.250;    0.000;    0.000;1016.25000
 719.72;  947.250;    0.000;    0.000;947.25000
 719.92; 1037.250;    0.000;    0.000;1037.25000
 720.12; 1056.250;    0.000;    0.000;1056.25000
 720.32; 1128.250;    0.000;    0.000;1128.25000
 720.51;  991.250;    0.000;    0.000;991.25000
 720.71; 1024.250;    0.000;    0.000;1024.25000
 720.91;  995.250;    0.000;    0.000;995.25000
 721.11; 1013.250;    0.000;    0.000;1013.25000
 721.30; 1023.250;    0.000;    0.000;1023.25000
 721.50;  986.250;    0.000;    0.000;986.25000
 721.70;  931.250;    0.000;    0.000;931.25000
 721.90;  982.250;    0.000;    0.000;982.25000
 722.09;  933.250;    0.000;    0.000;933.25000
 722.29; 1008.250;    0.000;    0.000;1008.25000
 722.49; 1014.250;    0.000;    0.000;1014.25000
