Olivine_LIBS_shot02
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] ;[counts] 

 236.38;  156.675;    0.000;    0.000;156.67500
 236.45;  172.675;    0.000;    0.000;172.67500
 236.52;  178.675;    0.000;    0.000;178.67500
 236.59;  190.675;    0.000;    0.000;190.67500
 236.66;  170.675;    0.000;    0.000;170.67500
 236.73;  218.675;    0.000;    0.000;218.67500
 236.80;  208.675;    0.000;    0.000;208.67500
 236.87;  149.675;    0.000;    0.000;149.67500
 236.94;  161.675;    0.000;    0.000;161.67500
 237.01;  197.675;    0.000;    0.000;197.67500
 237.08;  195.675;    0.000;    0.000;195.67500
 237.15;  166.675;    0.000;    0.000;166.67500
 237.22;  181.675;    0.000;    0.000;181.67500
 237.29;  161.675;    0.000;    0.000;161.67500
 237.36;  181.675;    0.000;    0.000;181.67500
 237.43;  210.675;    0.000;    0.000;210.67500
 237.50; 1833.675;    0.000;    0.000;1833.67500
 237.57; 1731.675;    0.000;    0.000;1731.67500
 237.64; 1699.675;    0.000;    0.000;1699.67500
 237.71; 1795.675;    0.000;    0.000;1795.67500
 237.78; 1723.675;    0.000;    0.000;1723.67500
 237.84; 1779.675;    0.000;    0.000;1779.67500
 237.91; 1928.675;    0.000;    0.000;1928.67500
 237.98; 2008.675;    0.000;    0.000;2008.67500
 238.05; 2290.675;    0.000;    0.000;2290.67500
 238.12; 3446.675;    0.000;    0.000;3446.67500
 238.19; 3366.675;    0.000;    0.000;3366.67500
 238.26; 2632.675;    0.000;    0.000;2632.67500
 238.33; 2094.675;    0.000;    0.000;2094.67500
 238.40; 2055.675;    0.000;    0.000;2055.67500
 238.47; 1983.675;    0.000;    0.000;1983.67500
 238.54; 1909.675;    0.000;    0.000;1909.67500
 238.61; 1830.675;    0.000;    0.000;1830.67500
 238.68; 1987.675;    0.000;    0.000;1987.67500
 238.75; 2192.675;    0.000;    0.000;2192.67500
 238.82; 2682.675;    0.000;    0.000;2682.67500
 238.89; 2391.675;    0.000;    0.000;2391.67500
 238.96; 1971.675;    0.000;    0.000;1971.67500
 239.03; 1964.675;    0.000;    0.000;1964.67500
 239.10; 1970.675;    0.000;    0.000;1970.67500
 239.17; 2009.675;    0.000;    0.000;2009.67500
 239.24; 2050.675;    0.000;    0.000;2050.67500
 239.31; 2012.675;    0.000;    0.000;2012.67500
 239.38; 2216.675;    0.000;    0.000;2216.67500
 239.45; 3019.675;    0.000;    0.000;3019.67500
 239.51; 4575.675;    0.000;    0.000;4575.67500
 239.58; 3749.675;    0.000;    0.000;3749.67500
 239.65; 2466.675;    0.000;    0.000;2466.67500
 239.72; 2258.675;    0.000;    0.000;2258.67500
 239.79; 2346.675;    0.000;    0.000;2346.67500
 239.86; 3172.675;    0.000;    0.000;3172.67500
 239.93; 3013.675;    0.000;    0.000;3013.67500
 240.00; 2543.675;    0.000;    0.000;2543.67500
 240.07; 2359.675;    0.000;    0.000;2359.67500
 240.14; 2173.675;    0.000;    0.000;2173.67500
 240.21; 2304.675;    0.000;    0.000;2304.67500
 240.28; 2369.675;    0.000;    0.000;2369.67500
 240.35; 2764.675;    0.000;    0.000;2764.67500
 240.42; 4144.675;    0.000;    0.000;4144.67500
 240.49; 4071.675;    0.000;    0.000;4071.67500
 240.56; 3178.675;    0.000;    0.000;3178.67500
 240.63; 3437.675;    0.000;    0.000;3437.67500
 240.70; 2866.675;    0.000;    0.000;2866.67500
 240.76; 2426.675;    0.000;    0.000;2426.67500
 240.83; 2330.675;    0.000;    0.000;2330.67500
 240.90; 2441.675;    0.000;    0.000;2441.67500
 240.97; 3429.675;    0.000;    0.000;3429.67500
 241.04; 4123.675;    0.000;    0.000;4123.67500
 241.11; 3221.675;    0.000;    0.000;3221.67500
 241.18; 2573.675;    0.000;    0.000;2573.67500
 241.25; 2909.675;    0.000;    0.000;2909.67500
 241.32; 2915.675;    0.000;    0.000;2915.67500
