Olivine_LIBS_shot02
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] ;[counts] 

 450.96;  226.075;    0.000;    0.000;226.07500
 451.10;  222.075;    0.000;    0.000;222.07500
 451.24;  234.075;    0.000;    0.000;234.07500
 451.38;  236.075;    0.000;    0.000;236.07500
 451.52;  209.075;    0.000;    0.000;209.07500
 451.65;  247.075;    0.000;    0.000;247.07500
 451.79;  223.075;    0.000;    0.000;223.07500
 451.93;  253.075;    0.000;    0.000;253.07500
 452.07;  250.075;    0.000;    0.000;250.07500
 452.21;  234.075;    0.000;    0.000;234.07500
 452.35;  239.075;    0.000;    0.000;239.07500
 452.49;  255.075;    0.000;    0.000;255.07500
 452.63;  258.075;    0.000;    0.000;258.07500
 452.76;  219.075;    0.000;    0.000;219.07500
 452.90;  217.075;    0.000;    0.000;217.07500
 453.04;  305.075;    0.000;    0.000;305.07500
 453.18; 4231.075;    0.000;    0.000;4231.07500
 453.32; 4413.075;    0.000;    0.000;4413.07500
 453.46; 4363.075;    0.000;    0.000;4363.07500
 453.60; 4354.075;    0.000;    0.000;4354.07500
 453.73; 4302.075;    0.000;    0.000;4302.07500
 453.87; 4333.075;    0.000;    0.000;4333.07500
 454.01; 4376.075;    0.000;    0.000;4376.07500
 454.15; 4329.075;    0.000;    0.000;4329.07500
 454.29; 4403.075;    0.000;    0.000;4403.07500
 454.43; 4473.075;    0.000;    0.000;4473.07500
 454.57; 4512.075;    0.000;    0.000;4512.07500
 454.70; 4586.075;    0.000;    0.000;4586.07500
 454.84; 4616.075;    0.000;    0.000;4616.07500
 454.98; 4847.075;    0.000;    0.000;4847.07500
 455.12; 5074.075;    0.000;    0.000;5074.07500
 455.26; 5658.075;    0.000;    0.000;5658.07500
 455.40; 5613.075;    0.000;    0.000;5613.07500
 455.54; 5190.075;    0.000;    0.000;5190.07500
 455.67; 4903.075;    0.000;    0.000;4903.07500
 455.81; 4859.075;    0.000;    0.000;4859.07500
 455.95; 4905.075;    0.000;    0.000;4905.07500
 456.09; 4952.075;    0.000;    0.000;4952.07500
 456.23; 4783.075;    0.000;    0.000;4783.07500
 456.37; 4963.075;    0.000;    0.000;4963.07500
 456.50; 5109.075;    0.000;    0.000;5109.07500
 456.64; 5138.075;    0.000;    0.000;5138.07500
 456.78; 5116.075;    0.000;    0.000;5116.07500
 456.92; 5101.075;    0.000;    0.000;5101.07500
 457.06; 4997.075;    0.000;    0.000;4997.07500
 457.20; 5120.075;    0.000;    0.000;5120.07500
 457.33; 5177.075;    0.000;    0.000;5177.07500
 457.47; 5142.075;    0.000;    0.000;5142.07500
 457.61; 5378.075;    0.000;    0.000;5378.07500
 457.75; 5386.075;    0.000;    0.000;5386.07500
 457.89; 5458.075;    0.000;    0.000;5458.07500
 458.03; 5416.075;    0.000;    0.000;5416.07500
 458.16; 5571.075;    0.000;    0.000;5571.07500
 458.30; 5621.075;    0.000;    0.000;5621.07500
 458.44; 5629.075;    0.000;    0.000;5629.07500
 458.58; 5723.075;    0.000;    0.000;5723.07500
 458.72; 5886.075;    0.000;    0.000;5886.07500
 458.85; 6077.075;    0.000;    0.000;6077.07500
 458.99; 6044.075;    0.000;    0.000;6044.07500
 459.13; 5976.075;    0.000;    0.000;5976.07500
 459.27; 6107.075;    0.000;    0.000;6107.07500
 459.41; 6217.075;    0.000;    0.000;6217.07500
 459.54; 6262.075;    0.000;    0.000;6262.07500
 459.68; 6342.075;    0.000;    0.000;6342.07500
 459.82; 6388.075;    0.000;    0.000;6388.07500
 459.96; 6547.075;    0.000;    0.000;6547.07500
 460.10; 6676.075;    0.000;    0.000;6676.07500
 460.24; 6783.075;    0.000;    0.000;6783.07500
 460.37; 6771.075;    0.000;    0.000;6771.07500
 460.51; 6896.075;    0.000;    0.000;6896.07500
 460.65; 7037.075;    0.000;    0.000;7037.07500
 460.79; 6884.075;    0.000;    0.000;6884.07500
