Air_1ms_Shot01
Integration time [ms]:  50.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7324769SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

450.961;  205.375;    0.000;    0.000
451.100;  231.375;    0.000;    0.000
451.239;  211.375;    0.000;    0.000
451.377;  262.375;    0.000;    0.000
451.516;  225.375;    0.000;    0.000
451.655;  250.375;    0.000;    0.000
451.794;  241.375;    0.000;    0.000
451.932;  227.375;    0.000;    0.000
452.071;  266.375;    0.000;    0.000
452.210;  224.375;    0.000;    0.000
452.348;  238.375;    0.000;    0.000
452.487;  222.375;    0.000;    0.000
452.626;  233.375;    0.000;    0.000
452.764;  230.375;    0.000;    0.000
452.903;  251.375;    0.000;    0.000
453.042;  292.375;    0.000;    0.000
453.180; 3956.375;    0.000;    0.000
453.319; 3904.375;    0.000;    0.000
453.458; 3804.375;    0.000;    0.000
453.596; 3939.375;    0.000;    0.000
453.735; 3811.375;    0.000;    0.000
453.873; 3969.375;    0.000;    0.000
454.012; 3847.375;    0.000;    0.000
454.150; 3859.375;    0.000;    0.000
454.289; 4045.375;    0.000;    0.000
454.427; 4005.375;    0.000;    0.000
454.566; 3960.375;    0.000;    0.000
454.705; 3895.375;    0.000;    0.000
454.843; 3837.375;    0.000;    0.000
454.981; 3900.375;    0.000;    0.000
455.120; 3862.375;    0.000;    0.000
455.258; 4015.375;    0.000;    0.000
455.397; 3991.375;    0.000;    0.000
455.535; 3986.375;    0.000;    0.000
455.674; 3975.375;    0.000;    0.000
455.812; 4002.375;    0.000;    0.000
455.950; 4007.375;    0.000;    0.000
456.089; 4031.375;    0.000;    0.000
456.227; 4128.375;    0.000;    0.000
456.366; 4225.375;    0.000;    0.000
456.504; 4194.375;    0.000;    0.000
456.642; 4157.375;    0.000;    0.000
456.781; 4125.375;    0.000;    0.000
456.919; 4067.375;    0.000;    0.000
457.057; 4050.375;    0.000;    0.000
457.196; 4114.375;    0.000;    0.000
457.334; 4190.375;    0.000;    0.000
457.472; 4276.375;    0.000;    0.000
457.610; 4305.375;    0.000;    0.000
457.749; 4392.375;    0.000;    0.000
457.887; 4438.375;    0.000;    0.000
458.025; 4494.375;    0.000;    0.000
