Ti_ReferenceA02_shot1
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

450.961;  189.250;    0.000;    0.000
451.100;  239.250;    0.000;    0.000
451.239;  224.250;    0.000;    0.000
451.377;  234.250;    0.000;    0.000
451.516;  196.250;    0.000;    0.000
451.655;  217.250;    0.000;    0.000
451.794;  228.250;    0.000;    0.000
451.932;  245.250;    0.000;    0.000
452.071;  216.250;    0.000;    0.000
452.210;  223.250;    0.000;    0.000
452.348;  259.250;    0.000;    0.000
452.487;  199.250;    0.000;    0.000
452.626;  235.250;    0.000;    0.000
452.764;  221.250;    0.000;    0.000
452.903;  252.250;    0.000;    0.000
453.042;  492.250;    0.000;    0.000
453.180;14010.250;    0.000;    0.000
453.319;18050.250;    0.000;    0.000
453.458;18043.250;    0.000;    0.000
453.596;13863.250;    0.000;    0.000
453.735;10023.250;    0.000;    0.000
453.873; 8594.250;    0.000;    0.000
454.012; 8046.250;    0.000;    0.000
454.150; 8192.250;    0.000;    0.000
454.289; 8982.250;    0.000;    0.000
454.427; 9462.250;    0.000;    0.000
454.566; 9622.250;    0.000;    0.000
454.705;12040.250;    0.000;    0.000
454.843;14823.250;    0.000;    0.000
454.981;14912.250;    0.000;    0.000
455.120;12832.250;    0.000;    0.000
455.258;11462.250;    0.000;    0.000
455.397;10779.250;    0.000;    0.000
455.535;10282.250;    0.000;    0.000
455.674; 9501.250;    0.000;    0.000
455.812; 9115.250;    0.000;    0.000
455.950; 9302.250;    0.000;    0.000
456.089; 9830.250;    0.000;    0.000
456.227;10702.250;    0.000;    0.000
456.366;11423.250;    0.000;    0.000
456.504;10410.250;    0.000;    0.000
456.642; 9728.250;    0.000;    0.000
456.781; 9604.250;    0.000;    0.000
456.919;10504.250;    0.000;    0.000
457.057;12704.250;    0.000;    0.000
457.196;13902.250;    0.000;    0.000
457.334;12509.250;    0.000;    0.000
457.472;10461.250;    0.000;    0.000
457.610; 9639.250;    0.000;    0.000
457.749; 9607.250;    0.000;    0.000
457.887; 9788.250;    0.000;    0.000
458.025; 9963.250;    0.000;    0.000
458.163; 9949.250;    0.000;    0.000
