Ti_ReferenceA02_shot1
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

691.496;  172.400;    0.000;    0.000
691.696;  159.400;    0.000;    0.000
691.896;  117.400;    0.000;    0.000
692.096;  169.400;    0.000;    0.000
692.296;  122.400;    0.000;    0.000
692.496;  162.400;    0.000;    0.000
692.695;  112.400;    0.000;    0.000
692.895;  177.400;    0.000;    0.000
693.095;  149.400;    0.000;    0.000
693.295;  181.400;    0.000;    0.000
693.495;  187.400;    0.000;    0.000
693.695;  156.400;    0.000;    0.000
693.894;  161.400;    0.000;    0.000
694.094;  177.400;    0.000;    0.000
694.294;  131.400;    0.000;    0.000
694.494;  418.400;    0.000;    0.000
694.693; 2976.400;    0.000;    0.000
694.893; 3257.400;    0.000;    0.000
695.093; 3293.400;    0.000;    0.000
695.293; 3362.400;    0.000;    0.000
695.492; 3373.400;    0.000;    0.000
695.692; 3350.400;    0.000;    0.000
695.891; 3301.400;    0.000;    0.000
696.091; 3397.400;    0.000;    0.000
696.291; 3369.400;    0.000;    0.000
696.490; 3425.400;    0.000;    0.000
696.690; 3309.400;    0.000;    0.000
696.889; 3423.400;    0.000;    0.000
697.089; 3381.400;    0.000;    0.000
697.288; 3343.400;    0.000;    0.000
697.488; 3423.400;    0.000;    0.000
697.687; 3477.400;    0.000;    0.000
697.887; 3430.400;    0.000;    0.000
698.086; 3381.400;    0.000;    0.000
698.286; 3420.400;    0.000;    0.000
698.485; 3490.400;    0.000;    0.000
698.684; 3463.400;    0.000;    0.000
698.884; 3391.400;    0.000;    0.000
699.083; 3465.400;    0.000;    0.000
699.282; 3534.400;    0.000;    0.000
699.482; 3471.400;    0.000;    0.000
699.681; 3598.400;    0.000;    0.000
699.880; 3660.400;    0.000;    0.000
700.080; 3579.400;    0.000;    0.000
700.279; 3559.400;    0.000;    0.000
700.478; 3728.400;    0.000;    0.000
700.677; 3619.400;    0.000;    0.000
700.877; 3656.400;    0.000;    0.000
701.076; 3644.400;    0.000;    0.000
701.275; 3626.400;    0.000;    0.000
701.474; 3500.400;    0.000;    0.000
701.673; 3522.400;    0.000;    0.000
