Ti_ReferenceA02_shot2
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV1
Wave   ;Sample   ;Dark     ;Reference
236.381;  104.975;    0.000;    0.000
236.451;  198.975;    0.000;    0.000
236.520;  188.975;    0.000;    0.000
236.590;  210.975;    0.000;    0.000
236.660;  195.975;    0.000;    0.000
236.730;  201.975;    0.000;    0.000
236.799;  184.975;    0.000;    0.000
236.869;  183.975;    0.000;    0.000
236.939;  184.975;    0.000;    0.000
237.009;  177.975;    0.000;    0.000
237.078;  184.975;    0.000;    0.000
237.148;  195.975;    0.000;    0.000
237.218;  167.975;    0.000;    0.000
237.287;  191.975;    0.000;    0.000
237.357;  180.975;    0.000;    0.000
237.427;  185.975;    0.000;    0.000
237.496; 1681.975;    0.000;    0.000
237.566; 1703.975;    0.000;    0.000
237.636; 1655.975;    0.000;    0.000
237.705; 1641.975;    0.000;    0.000
237.775; 1606.975;    0.000;    0.000
237.845; 1600.975;    0.000;    0.000
237.914; 1575.975;    0.000;    0.000
237.984; 1609.975;    0.000;    0.000
238.054; 1558.975;    0.000;    0.000
238.123; 1588.975;    0.000;    0.000
238.193; 1651.975;    0.000;    0.000
238.263; 1575.975;    0.000;    0.000
238.332; 1604.975;    0.000;    0.000
238.402; 1638.975;    0.000;    0.000
238.471; 1599.975;    0.000;    0.000
238.541; 1623.975;    0.000;    0.000
238.611; 1629.975;    0.000;    0.000
238.680; 1601.975;    0.000;    0.000
238.750; 1628.975;    0.000;    0.000
238.819; 1601.975;    0.000;    0.000
238.889; 1693.975;    0.000;    0.000
238.958; 1616.975;    0.000;    0.000
239.028; 1588.975;    0.000;    0.000
239.097; 1513.975;    0.000;    0.000
239.167; 1564.975;    0.000;    0.000
239.237; 1566.975;    0.000;    0.000
239.306; 1539.975;    0.000;    0.000
239.376; 1533.975;    0.000;    0.000
239.445; 1596.975;    0.000;    0.000
239.515; 1545.975;    0.000;    0.000
239.584; 1556.975;    0.000;    0.000
239.654; 1545.975;    0.000;    0.000
239.723; 1520.975;    0.000;    0.000
239.793; 1471.975;    0.000;    0.000
239.862; 1498.975;    0.000;    0.000
239.932; 1507.975;    0.000;    0.000
240.001; 1574.975;    0.000;    0.000
240.070; 1561.975;    0.000;    0.000
240.140; 1509.975;    0.000;    0.000
240.209; 1452.975;    0.000;    0.000
240.279; 1461.975;    0.000;    0.000
240.348; 1506.975;    0.000;    0.000
240.418; 1474.975;    0.000;    0.000
240.487; 1514.975;    0.000;    0.000
240.556; 1475.975;    0.000;    0.000
240.626; 1506.975;    0.000;    0.000
240.695; 1542.975;    0.000;    0.000
240.765; 1500.975;    0.000;    0.000
240.834; 1468.975;    0.000;    0.000
240.903; 1463.975;    0.000;    0.000
240.973; 1456.975;    0.000;    0.000
241.042; 1448.975;    0.000;    0.000
241.112; 1387.975;    0.000;    0.000
241.181; 1459.975;    0.000;    0.000
241.250; 1387.975;    0.000;    0.000
241.320; 1417.975;    0.000;    0.000
241.389; 1453.975;    0.000;    0.000
241.458; 1417.975;    0.000;    0.000
241.528; 1435.975;    0.000;    0.000
241.597; 1425.975;    0.000;    0.000
241.666; 1324.975;    0.000;    0.000
241.736; 1440.975;    0.000;    0.000
241.805; 1330.975;    0.000;    0.000
241.874; 1361.975;    0.000;    0.000
241.943; 1332.975;    0.000;    0.000
242.013; 1401.975;    0.000;    0.000
242.082; 1383.975;    0.000;    0.000
242.151; 1338.975;    0.000;    0.000
242.221; 1350.975;    0.000;    0.000
242.290; 1361.975;    0.000;    0.000
242.359; 1296.975;    0.000;    0.000
242.428; 1383.975;    0.000;    0.000
242.498; 1298.975;    0.000;    0.000
242.567; 1298.975;    0.000;    0.000
242.636; 1330.975;    0.000;    0.000
242.705; 1341.975;    0.000;    0.000
242.774; 1297.975;    0.000;    0.000
242.844; 1288.975;    0.000;    0.000
242.913; 1276.975;    0.000;    0.000
242.982; 1308.975;    0.000;    0.000
243.051; 1356.975;    0.000;    0.000
243.120; 1278.975;    0.000;    0.000
243.190; 1215.975;    0.000;    0.000
243.259; 1293.975;    0.000;    0.000
243.328; 1253.975;    0.000;    0.000
243.397; 1251.975;    0.000;    0.000
243.466; 1234.975;    0.000;    0.000
243.535; 1197.975;    0.000;    0.000
243.605; 1220.975;    0.000;    0.000
243.674; 1244.975;    0.000;    0.000
243.743; 1273.975;    0.000;    0.000
243.812; 1252.975;    0.000;    0.000
243.881; 1252.975;    0.000;    0.000
243.950; 1235.975;    0.000;    0.000
244.019; 1249.975;    0.000;    0.000
244.088; 1244.975;    0.000;    0.000
244.158; 1259.975;    0.000;    0.000
244.227; 1213.975;    0.000;    0.000
244.296; 1233.975;    0.000;    0.000
244.365; 1248.975;    0.000;    0.000
244.434; 1183.975;    0.000;    0.000
244.503; 1211.975;    0.000;    0.000
244.572; 1178.975;    0.000;    0.000
244.641; 1152.975;    0.000;    0.000
244.710; 1209.975;    0.000;    0.000
244.779; 1171.975;    0.000;    0.000
244.848; 1193.975;    0.000;    0.000
244.917; 1234.975;    0.000;    0.000
244.986; 1185.975;    0.000;    0.000
245.055; 1174.975;    0.000;    0.000
245.124; 1161.975;    0.000;    0.000
245.193; 1160.975;    0.000;    0.000
245.262; 1158.975;    0.000;    0.000
245.331; 1174.975;    0.000;    0.000
245.400; 1110.975;    0.000;    0.000
245.469; 1200.975;    0.000;    0.000
245.538; 1155.975;    0.000;    0.000
245.607; 1174.975;    0.000;    0.000
245.676; 1106.975;    0.000;    0.000
245.745; 1170.975;    0.000;    0.000
245.814; 1155.975;    0.000;    0.000
245.883; 1153.975;    0.000;    0.000
245.952; 1140.975;    0.000;    0.000
246.021; 1176.975;    0.000;    0.000
246.090; 1152.975;    0.000;    0.000
246.159; 1161.975;    0.000;    0.000
246.227; 1176.975;    0.000;    0.000
246.296; 1103.975;    0.000;    0.000
246.365; 1095.975;    0.000;    0.000
246.434; 1225.975;    0.000;    0.000
246.503; 1100.975;    0.000;    0.000
246.572; 1197.975;    0.000;    0.000
246.641; 1201.975;    0.000;    0.000
246.710; 1159.975;    0.000;    0.000
246.779; 1114.975;    0.000;    0.000
246.847; 1057.975;    0.000;    0.000
246.916; 1068.975;    0.000;    0.000
246.985; 1128.975;    0.000;    0.000
247.054; 1047.975;    0.000;    0.000
247.123; 1090.975;    0.000;    0.000
247.192; 1032.975;    0.000;    0.000
247.260; 1083.975;    0.000;    0.000
247.329; 1079.975;    0.000;    0.000
247.398; 1081.975;    0.000;    0.000
247.467; 1080.975;    0.000;    0.000
247.536; 1061.975;    0.000;    0.000
247.604; 1071.975;    0.000;    0.000
247.673;  935.975;    0.000;    0.000
247.742; 1022.975;    0.000;    0.000
247.811; 1065.975;    0.000;    0.000
247.879; 1040.975;    0.000;    0.000
247.948; 1043.975;    0.000;    0.000
248.017; 1021.975;    0.000;    0.000
248.086; 1028.975;    0.000;    0.000
248.154; 1026.975;    0.000;    0.000
248.223; 1033.975;    0.000;    0.000
248.292; 1009.975;    0.000;    0.000
248.360; 1090.975;    0.000;    0.000
248.429;  949.975;    0.000;    0.000
248.498;  968.975;    0.000;    0.000
248.567;  968.975;    0.000;    0.000
248.635; 1056.975;    0.000;    0.000
248.704;  982.975;    0.000;    0.000
248.773;  986.975;    0.000;    0.000
248.841;  971.975;    0.000;    0.000
248.910; 1007.975;    0.000;    0.000
248.979;  989.975;    0.000;    0.000
249.047;  960.975;    0.000;    0.000
249.116;  996.975;    0.000;    0.000
249.185; 1001.975;    0.000;    0.000
249.253;  981.975;    0.000;    0.000
249.322; 1052.975;    0.000;    0.000
249.390;  873.975;    0.000;    0.000
249.459;  975.975;    0.000;    0.000
249.528;  938.975;    0.000;    0.000
249.596;  926.975;    0.000;    0.000
249.665;  927.975;    0.000;    0.000
249.733;  918.975;    0.000;    0.000
249.802;  911.975;    0.000;    0.000
249.871;  958.975;    0.000;    0.000
249.939;  870.975;    0.000;    0.000
250.008;  839.975;    0.000;    0.000
250.076;  928.975;    0.000;    0.000
250.145;  911.975;    0.000;    0.000
250.213;  916.975;    0.000;    0.000
250.282;  948.975;    0.000;    0.000
250.350;  881.975;    0.000;    0.000
250.419;  971.975;    0.000;    0.000
250.487;  905.975;    0.000;    0.000
250.556;  901.975;    0.000;    0.000
250.624;  865.975;    0.000;    0.000
250.693;  878.975;    0.000;    0.000
250.761;  927.975;    0.000;    0.000
250.830;  906.975;    0.000;    0.000
250.898;  846.975;    0.000;    0.000
250.967;  848.975;    0.000;    0.000
251.035;  840.975;    0.000;    0.000
251.104;  841.975;    0.000;    0.000
251.172;  846.975;    0.000;    0.000
251.241;  846.975;    0.000;    0.000
251.309;  843.975;    0.000;    0.000
251.378;  863.975;    0.000;    0.000
251.446;  770.975;    0.000;    0.000
251.514;  858.975;    0.000;    0.000
251.583;  852.975;    0.000;    0.000
251.651;  815.975;    0.000;    0.000
251.720;  789.975;    0.000;    0.000
251.788;  866.975;    0.000;    0.000
251.856;  836.975;    0.000;    0.000
251.925;  821.975;    0.000;    0.000
251.993;  811.975;    0.000;    0.000
252.062;  810.975;    0.000;    0.000
252.130;  768.975;    0.000;    0.000
252.198;  809.975;    0.000;    0.000
252.267;  796.975;    0.000;    0.000
252.335;  801.975;    0.000;    0.000
252.403;  774.975;    0.000;    0.000
252.472;  769.975;    0.000;    0.000
252.540;  784.975;    0.000;    0.000
252.608;  837.975;    0.000;    0.000
252.677;  752.975;    0.000;    0.000
252.745;  780.975;    0.000;    0.000
252.813;  812.975;    0.000;    0.000
252.881;  723.975;    0.000;    0.000
252.950;  746.975;    0.000;    0.000
253.018;  755.975;    0.000;    0.000
253.086;  729.975;    0.000;    0.000
253.155;  783.975;    0.000;    0.000
253.223;  733.975;    0.000;    0.000
253.291;  764.975;    0.000;    0.000
253.359;  773.975;    0.000;    0.000
253.427;  806.975;    0.000;    0.000
253.496;  715.975;    0.000;    0.000
253.564;  708.975;    0.000;    0.000
253.632;  763.975;    0.000;    0.000
253.700;  736.975;    0.000;    0.000
253.769;  740.975;    0.000;    0.000
253.837;  771.975;    0.000;    0.000
253.905;  761.975;    0.000;    0.000
253.973;  727.975;    0.000;    0.000
254.041;  743.975;    0.000;    0.000
254.110;  709.975;    0.000;    0.000
254.178;  719.975;    0.000;    0.000
254.246;  682.975;    0.000;    0.000
254.314;  707.975;    0.000;    0.000
254.382;  685.975;    0.000;    0.000
254.450;  700.975;    0.000;    0.000
254.518;  701.975;    0.000;    0.000
254.587;  664.975;    0.000;    0.000
254.655;  699.975;    0.000;    0.000
254.723;  676.975;    0.000;    0.000
254.791;  715.975;    0.000;    0.000
254.859;  684.975;    0.000;    0.000
254.927;  733.975;    0.000;    0.000
254.995;  637.975;    0.000;    0.000
255.063;  687.975;    0.000;    0.000
255.131;  611.975;    0.000;    0.000
255.199;  645.975;    0.000;    0.000
255.267;  698.975;    0.000;    0.000
255.336;  614.975;    0.000;    0.000
255.404;  663.975;    0.000;    0.000
255.472;  641.975;    0.000;    0.000
255.540;  642.975;    0.000;    0.000
255.608;  718.975;    0.000;    0.000
255.676;  670.975;    0.000;    0.000
255.744;  655.975;    0.000;    0.000
255.812;  632.975;    0.000;    0.000
255.880;  668.975;    0.000;    0.000
255.948;  696.975;    0.000;    0.000
256.016;  668.975;    0.000;    0.000
256.084;  715.975;    0.000;    0.000
256.152;  709.975;    0.000;    0.000
256.220;  751.975;    0.000;    0.000
256.288;  777.975;    0.000;    0.000
256.356;  841.975;    0.000;    0.000
256.424;  791.975;    0.000;    0.000
256.491;  800.975;    0.000;    0.000
256.559;  769.975;    0.000;    0.000
256.627;  760.975;    0.000;    0.000
256.695;  734.975;    0.000;    0.000
256.763;  819.975;    0.000;    0.000
256.831;  759.975;    0.000;    0.000
256.899;  744.975;    0.000;    0.000
256.967;  709.975;    0.000;    0.000
257.035;  758.975;    0.000;    0.000
257.103;  823.975;    0.000;    0.000
257.171;  685.975;    0.000;    0.000
257.238;  707.975;    0.000;    0.000
257.306;  720.975;    0.000;    0.000
257.374;  680.975;    0.000;    0.000
257.442;  733.975;    0.000;    0.000
257.510;  726.975;    0.000;    0.000
257.578;  709.975;    0.000;    0.000
257.646;  691.975;    0.000;    0.000
257.713;  717.975;    0.000;    0.000
257.781;  688.975;    0.000;    0.000
257.849;  690.975;    0.000;    0.000
257.917;  638.975;    0.000;    0.000
257.985;  719.975;    0.000;    0.000
258.052;  782.975;    0.000;    0.000
