
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

450.961;  178.700;    0.000;    0.000
451.100;  213.700;    0.000;    0.000
451.239;  206.700;    0.000;    0.000
451.377;  250.700;    0.000;    0.000
451.516;  221.700;    0.000;    0.000
451.655;  227.700;    0.000;    0.000
451.794;  235.700;    0.000;    0.000
451.932;  231.700;    0.000;    0.000
452.071;  227.700;    0.000;    0.000
452.210;  251.700;    0.000;    0.000
452.348;  210.700;    0.000;    0.000
452.487;  238.700;    0.000;    0.000
452.626;  236.700;    0.000;    0.000
452.764;  216.700;    0.000;    0.000
452.903;  220.700;    0.000;    0.000
453.042;  303.700;    0.000;    0.000
453.180; 3879.700;    0.000;    0.000
453.319; 4058.700;    0.000;    0.000
453.458; 3994.700;    0.000;    0.000
453.596; 4100.700;    0.000;    0.000
453.735; 4088.700;    0.000;    0.000
453.873; 4100.700;    0.000;    0.000
454.012; 4141.700;    0.000;    0.000
454.150; 4169.700;    0.000;    0.000
454.289; 4264.700;    0.000;    0.000
454.427; 4224.700;    0.000;    0.000
454.566; 4296.700;    0.000;    0.000
454.704; 4369.700;    0.000;    0.000
454.843; 4409.700;    0.000;    0.000
454.981; 4354.700;    0.000;    0.000
455.120; 4408.700;    0.000;    0.000
455.258; 4472.700;    0.000;    0.000
455.397; 4429.700;    0.000;    0.000
455.535; 4617.700;    0.000;    0.000
455.674; 4551.700;    0.000;    0.000
455.812; 4486.700;    0.000;    0.000
455.951; 4682.700;    0.000;    0.000
456.089; 4707.700;    0.000;    0.000
456.227; 4715.700;    0.000;    0.000
456.366; 4838.700;    0.000;    0.000
456.504; 4877.700;    0.000;    0.000
456.642; 4947.700;    0.000;    0.000
456.781; 4850.700;    0.000;    0.000
456.919; 4778.700;    0.000;    0.000
457.057; 4753.700;    0.000;    0.000
457.196; 4825.700;    0.000;    0.000
457.334; 4868.700;    0.000;    0.000
457.472; 4821.700;    0.000;    0.000
457.610; 5045.700;    0.000;    0.000
457.749; 4953.700;    0.000;    0.000
457.887; 5221.700;    0.000;    0.000
458.025; 5242.700;    0.000;    0.000
