
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV1
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

236.381;  162.450;    0.000;    0.000
236.451;  168.450;    0.000;    0.000
236.520;  181.450;    0.000;    0.000
236.590;  207.450;    0.000;    0.000
236.660;  170.450;    0.000;    0.000
236.730;  192.450;    0.000;    0.000
236.799;  197.450;    0.000;    0.000
236.869;  151.450;    0.000;    0.000
236.939;  152.450;    0.000;    0.000
237.009;  158.450;    0.000;    0.000
237.078;  179.450;    0.000;    0.000
237.148;  173.450;    0.000;    0.000
237.218;  206.450;    0.000;    0.000
237.287;  161.450;    0.000;    0.000
237.357;  170.450;    0.000;    0.000
237.427;  150.450;    0.000;    0.000
237.496;  473.450;    0.000;    0.000
237.566;  398.450;    0.000;    0.000
237.636;  387.450;    0.000;    0.000
237.705;  420.450;    0.000;    0.000
237.775;  338.450;    0.000;    0.000
237.845;  397.450;    0.000;    0.000
237.914;  410.450;    0.000;    0.000
237.984;  408.450;    0.000;    0.000
238.054;  351.450;    0.000;    0.000
238.123;  400.450;    0.000;    0.000
238.193;  363.450;    0.000;    0.000
238.263;  420.450;    0.000;    0.000
238.332;  391.450;    0.000;    0.000
238.402;  408.450;    0.000;    0.000
238.471;  385.450;    0.000;    0.000
238.541;  330.450;    0.000;    0.000
238.611;  377.450;    0.000;    0.000
238.680;  376.450;    0.000;    0.000
238.750;  389.450;    0.000;    0.000
238.819;  395.450;    0.000;    0.000
238.889;  406.450;    0.000;    0.000
238.958;  401.450;    0.000;    0.000
239.028;  401.450;    0.000;    0.000
239.097;  365.450;    0.000;    0.000
239.167;  436.450;    0.000;    0.000
239.237;  396.450;    0.000;    0.000
239.306;  385.450;    0.000;    0.000
239.376;  391.450;    0.000;    0.000
239.445;  407.450;    0.000;    0.000
239.515;  395.450;    0.000;    0.000
239.584;  403.450;    0.000;    0.000
239.654;  363.450;    0.000;    0.000
239.723;  394.450;    0.000;    0.000
239.793;  366.450;    0.000;    0.000
239.862;  378.450;    0.000;    0.000
239.932;  382.450;    0.000;    0.000
240.001;  364.450;    0.000;    0.000
240.070;  384.450;    0.000;    0.000
