
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

691.496;   52.525;    0.000;    0.000
691.696;  109.525;    0.000;    0.000
691.896;   73.525;    0.000;    0.000
692.096;  117.525;    0.000;    0.000
692.296;   58.525;    0.000;    0.000
692.496;  144.525;    0.000;    0.000
692.695;   47.525;    0.000;    0.000
692.895;   83.525;    0.000;    0.000
693.095;   65.525;    0.000;    0.000
693.295;  137.525;    0.000;    0.000
693.495;  110.525;    0.000;    0.000
693.695;   70.525;    0.000;    0.000
693.894;   64.525;    0.000;    0.000
694.094;   97.525;    0.000;    0.000
694.294;   83.525;    0.000;    0.000
694.494;  247.525;    0.000;    0.000
694.693; 1593.525;    0.000;    0.000
694.893; 1800.525;    0.000;    0.000
695.093; 1865.525;    0.000;    0.000
695.293; 1806.525;    0.000;    0.000
695.492; 1842.525;    0.000;    0.000
695.692; 1881.525;    0.000;    0.000
695.891; 1838.525;    0.000;    0.000
696.091; 1947.525;    0.000;    0.000
696.291; 1897.525;    0.000;    0.000
696.490; 1857.525;    0.000;    0.000
696.690; 1907.525;    0.000;    0.000
696.889; 1897.525;    0.000;    0.000
697.089; 1954.525;    0.000;    0.000
697.288; 1961.525;    0.000;    0.000
697.488; 1889.525;    0.000;    0.000
697.687; 1946.525;    0.000;    0.000
697.887; 1877.525;    0.000;    0.000
698.086; 1875.525;    0.000;    0.000
698.286; 1897.525;    0.000;    0.000
698.485; 1923.525;    0.000;    0.000
698.684; 1957.525;    0.000;    0.000
698.884; 1963.525;    0.000;    0.000
699.083; 1916.525;    0.000;    0.000
699.282; 2015.525;    0.000;    0.000
699.482; 1962.525;    0.000;    0.000
699.681; 1927.525;    0.000;    0.000
699.880; 1982.525;    0.000;    0.000
700.080; 2084.525;    0.000;    0.000
700.279; 1920.525;    0.000;    0.000
700.478; 2041.525;    0.000;    0.000
700.677; 2020.525;    0.000;    0.000
700.877; 2079.525;    0.000;    0.000
701.076; 1940.525;    0.000;    0.000
701.275; 1996.525;    0.000;    0.000
701.474; 1895.525;    0.000;    0.000
701.673; 2014.525;    0.000;    0.000
