Pellet_position2_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV1
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

236.381;  116.075;    0.000;    0.000
236.451;  185.075;    0.000;    0.000
236.520;  185.075;    0.000;    0.000
236.590;  203.075;    0.000;    0.000
236.660;  179.075;    0.000;    0.000
236.730;  200.075;    0.000;    0.000
236.799;  203.075;    0.000;    0.000
236.869;  183.075;    0.000;    0.000
236.939;  188.075;    0.000;    0.000
237.009;  198.075;    0.000;    0.000
237.078;  162.075;    0.000;    0.000
237.148;  180.075;    0.000;    0.000
237.218;  170.075;    0.000;    0.000
237.287;  176.075;    0.000;    0.000
237.357;  219.075;    0.000;    0.000
237.427;  179.075;    0.000;    0.000
237.496;  396.075;    0.000;    0.000
237.566;  389.075;    0.000;    0.000
237.636;  370.075;    0.000;    0.000
237.705;  438.075;    0.000;    0.000
237.775;  358.075;    0.000;    0.000
237.845;  408.075;    0.000;    0.000
237.914;  397.075;    0.000;    0.000
237.984;  375.075;    0.000;    0.000
238.054;  359.075;    0.000;    0.000
238.123;  423.075;    0.000;    0.000
238.193;  386.075;    0.000;    0.000
238.263;  381.075;    0.000;    0.000
238.332;  388.075;    0.000;    0.000
238.402;  424.075;    0.000;    0.000
238.471;  408.075;    0.000;    0.000
238.541;  357.075;    0.000;    0.000
238.611;  361.075;    0.000;    0.000
238.680;  380.075;    0.000;    0.000
238.750;  352.075;    0.000;    0.000
238.819;  378.075;    0.000;    0.000
238.889;  367.075;    0.000;    0.000
238.958;  385.075;    0.000;    0.000
239.028;  404.075;    0.000;    0.000
239.097;  390.075;    0.000;    0.000
239.167;  385.075;    0.000;    0.000
239.237;  382.075;    0.000;    0.000
239.306;  387.075;    0.000;    0.000
239.376;  410.075;    0.000;    0.000
239.445;  415.075;    0.000;    0.000
239.515;  437.075;    0.000;    0.000
239.584;  339.075;    0.000;    0.000
239.654;  414.075;    0.000;    0.000
239.723;  389.075;    0.000;    0.000
239.793;  406.075;    0.000;    0.000
239.862;  359.075;    0.000;    0.000
239.932;  362.075;    0.000;    0.000
240.001;  393.075;    0.000;    0.000
240.070;  369.075;    0.000;    0.000
