Pellet_position2_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

691.496;   44.275;    0.000;    0.000
691.696;   95.275;    0.000;    0.000
691.896;   16.275;    0.000;    0.000
692.096;   85.275;    0.000;    0.000
692.296;    5.275;    0.000;    0.000
692.496;   22.275;    0.000;    0.000
692.695;    7.275;    0.000;    0.000
692.895;   80.275;    0.000;    0.000
693.095;   32.275;    0.000;    0.000
693.295;   64.275;    0.000;    0.000
693.495;   51.275;    0.000;    0.000
693.695;   51.275;    0.000;    0.000
693.894;   66.275;    0.000;    0.000
694.094;   64.275;    0.000;    0.000
694.294;   48.275;    0.000;    0.000
694.494;  197.275;    0.000;    0.000
694.693; 1697.275;    0.000;    0.000
694.893; 1819.275;    0.000;    0.000
695.093; 1768.275;    0.000;    0.000
695.293; 1788.275;    0.000;    0.000
695.492; 1780.275;    0.000;    0.000
695.692; 1850.275;    0.000;    0.000
695.891; 1779.275;    0.000;    0.000
696.091; 1846.275;    0.000;    0.000
696.291; 1720.275;    0.000;    0.000
696.490; 1866.275;    0.000;    0.000
696.690; 1861.275;    0.000;    0.000
696.889; 1825.275;    0.000;    0.000
697.089; 1857.275;    0.000;    0.000
697.288; 1978.275;    0.000;    0.000
697.488; 1869.275;    0.000;    0.000
697.687; 1856.275;    0.000;    0.000
697.887; 1908.275;    0.000;    0.000
698.086; 1932.275;    0.000;    0.000
698.286; 1825.275;    0.000;    0.000
698.485; 1872.275;    0.000;    0.000
698.684; 1956.275;    0.000;    0.000
698.884; 1940.275;    0.000;    0.000
699.083; 1890.275;    0.000;    0.000
699.282; 1900.275;    0.000;    0.000
699.482; 1966.275;    0.000;    0.000
699.681; 1918.275;    0.000;    0.000
699.880; 1948.275;    0.000;    0.000
700.080; 1873.275;    0.000;    0.000
700.279; 1932.275;    0.000;    0.000
700.478; 1989.275;    0.000;    0.000
700.677; 1961.275;    0.000;    0.000
700.877; 2006.275;    0.000;    0.000
701.076; 1956.275;    0.000;    0.000
701.275; 2002.275;    0.000;    0.000
701.474; 1948.275;    0.000;    0.000
701.673; 1908.275;    0.000;    0.000
