
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

691.496;   58.900;    0.000;    0.000
691.696;   80.900;    0.000;    0.000
691.896;   12.900;    0.000;    0.000
692.096;   86.900;    0.000;    0.000
692.296;    9.900;    0.000;    0.000
692.496;   68.900;    0.000;    0.000
692.695;   27.900;    0.000;    0.000
692.895;   95.900;    0.000;    0.000
693.095;   10.900;    0.000;    0.000
693.295;   66.900;    0.000;    0.000
693.495;   47.900;    0.000;    0.000
693.695;   33.900;    0.000;    0.000
693.894;   39.900;    0.000;    0.000
694.094;   90.900;    0.000;    0.000
694.294;   42.900;    0.000;    0.000
694.494;  163.900;    0.000;    0.000
694.693; 1052.900;    0.000;    0.000
694.893; 1123.900;    0.000;    0.000
695.093; 1212.900;    0.000;    0.000
695.293; 1194.900;    0.000;    0.000
695.492; 1209.900;    0.000;    0.000
695.692; 1231.900;    0.000;    0.000
695.891; 1141.900;    0.000;    0.000
696.091; 1251.900;    0.000;    0.000
696.291; 1286.900;    0.000;    0.000
696.490; 1218.900;    0.000;    0.000
696.690; 1207.900;    0.000;    0.000
696.889; 1318.900;    0.000;    0.000
697.089; 1183.900;    0.000;    0.000
697.288; 1260.900;    0.000;    0.000
697.488; 1276.900;    0.000;    0.000
697.687; 1307.900;    0.000;    0.000
697.887; 1202.900;    0.000;    0.000
698.086; 1317.900;    0.000;    0.000
698.286; 1187.900;    0.000;    0.000
698.485; 1303.900;    0.000;    0.000
698.684; 1233.900;    0.000;    0.000
698.884; 1254.900;    0.000;    0.000
699.083; 1276.900;    0.000;    0.000
699.282; 1291.900;    0.000;    0.000
699.482; 1257.900;    0.000;    0.000
699.681; 1272.900;    0.000;    0.000
699.880; 1248.900;    0.000;    0.000
700.080; 1341.900;    0.000;    0.000
700.279; 1277.900;    0.000;    0.000
700.478; 1352.900;    0.000;    0.000
700.677; 1239.900;    0.000;    0.000
700.877; 1313.900;    0.000;    0.000
701.076; 1270.900;    0.000;    0.000
701.275; 1254.900;    0.000;    0.000
701.474; 1343.900;    0.000;    0.000
701.673; 1229.900;    0.000;    0.000
