
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV1
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

236.381;  155.400;    0.000;    0.000
236.451;  184.400;    0.000;    0.000
236.520;  154.400;    0.000;    0.000
236.590;  221.400;    0.000;    0.000
236.660;  190.400;    0.000;    0.000
236.730;  205.400;    0.000;    0.000
236.799;  168.400;    0.000;    0.000
236.869;  165.400;    0.000;    0.000
236.939;  170.400;    0.000;    0.000
237.009;  187.400;    0.000;    0.000
237.078;  152.400;    0.000;    0.000
237.148;  168.400;    0.000;    0.000
237.218;  170.400;    0.000;    0.000
237.287;  219.400;    0.000;    0.000
237.357;  155.400;    0.000;    0.000
237.427;  182.400;    0.000;    0.000
237.496;  396.400;    0.000;    0.000
237.566;  365.400;    0.000;    0.000
237.636;  331.400;    0.000;    0.000
237.705;  363.400;    0.000;    0.000
237.775;  339.400;    0.000;    0.000
237.845;  350.400;    0.000;    0.000
237.914;  348.400;    0.000;    0.000
237.984;  377.400;    0.000;    0.000
238.054;  329.400;    0.000;    0.000
238.123;  353.400;    0.000;    0.000
238.193;  365.400;    0.000;    0.000
238.263;  404.400;    0.000;    0.000
238.332;  354.400;    0.000;    0.000
238.402;  360.400;    0.000;    0.000
238.471;  328.400;    0.000;    0.000
238.541;  368.400;    0.000;    0.000
238.611;  338.400;    0.000;    0.000
238.680;  361.400;    0.000;    0.000
238.750;  374.400;    0.000;    0.000
238.819;  324.400;    0.000;    0.000
238.889;  348.400;    0.000;    0.000
238.958;  355.400;    0.000;    0.000
239.028;  392.400;    0.000;    0.000
239.097;  385.400;    0.000;    0.000
239.167;  390.400;    0.000;    0.000
239.237;  360.400;    0.000;    0.000
239.306;  365.400;    0.000;    0.000
239.376;  354.400;    0.000;    0.000
239.445;  388.400;    0.000;    0.000
239.515;  361.400;    0.000;    0.000
239.584;  340.400;    0.000;    0.000
239.654;  358.400;    0.000;    0.000
239.723;  371.400;    0.000;    0.000
239.793;  326.400;    0.000;    0.000
239.862;  332.400;    0.000;    0.000
239.932;  354.400;    0.000;    0.000
240.001;  343.400;    0.000;    0.000
240.070;  361.400;    0.000;    0.000
