Pellet-T1_position3_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

691.496;   60.050;    0.000;    0.000
691.696;   67.050;    0.000;    0.000
691.896;   38.050;    0.000;    0.000
692.096;   59.050;    0.000;    0.000
692.296;   17.050;    0.000;    0.000
692.496;  103.050;    0.000;    0.000
692.695;   28.050;    0.000;    0.000
692.895;   64.050;    0.000;    0.000
693.095;   62.050;    0.000;    0.000
693.295;   59.050;    0.000;    0.000
693.495;   92.050;    0.000;    0.000
693.695;   67.050;    0.000;    0.000
693.894;   59.050;    0.000;    0.000
694.094;   70.050;    0.000;    0.000
694.294;   50.050;    0.000;    0.000
694.494;  215.050;    0.000;    0.000
694.693; 1380.050;    0.000;    0.000
694.893; 1470.050;    0.000;    0.000
695.093; 1516.050;    0.000;    0.000
695.293; 1590.050;    0.000;    0.000
695.492; 1602.050;    0.000;    0.000
695.692; 1633.050;    0.000;    0.000
695.891; 1582.050;    0.000;    0.000
696.091; 1667.050;    0.000;    0.000
696.291; 1650.050;    0.000;    0.000
696.490; 1614.050;    0.000;    0.000
696.690; 1595.050;    0.000;    0.000
696.889; 1632.050;    0.000;    0.000
697.089; 1714.050;    0.000;    0.000
697.288; 1604.050;    0.000;    0.000
697.488; 1664.050;    0.000;    0.000
697.687; 1586.050;    0.000;    0.000
697.887; 1685.050;    0.000;    0.000
698.086; 1728.050;    0.000;    0.000
698.286; 1661.050;    0.000;    0.000
698.485; 1639.050;    0.000;    0.000
698.684; 1604.050;    0.000;    0.000
698.884; 1685.050;    0.000;    0.000
699.083; 1591.050;    0.000;    0.000
699.282; 1661.050;    0.000;    0.000
699.482; 1646.050;    0.000;    0.000
699.681; 1679.050;    0.000;    0.000
699.880; 1717.050;    0.000;    0.000
700.080; 1736.050;    0.000;    0.000
700.279; 1629.050;    0.000;    0.000
700.478; 1644.050;    0.000;    0.000
700.677; 1666.050;    0.000;    0.000
700.877; 1721.050;    0.000;    0.000
701.076; 1773.050;    0.000;    0.000
701.275; 1747.050;    0.000;    0.000
701.474; 1697.050;    0.000;    0.000
701.673; 1750.050;    0.000;    0.000
