Pellet-T3_position2_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV2
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

353.533;  221.300;    0.000;    0.000
353.597;  254.300;    0.000;    0.000
353.660;  206.300;    0.000;    0.000
353.723;  221.300;    0.000;    0.000
353.786;  185.300;    0.000;    0.000
353.850;  235.300;    0.000;    0.000
353.913;  193.300;    0.000;    0.000
353.976;  183.300;    0.000;    0.000
354.039;  183.300;    0.000;    0.000
354.102;  213.300;    0.000;    0.000
354.166;  216.300;    0.000;    0.000
354.229;  181.300;    0.000;    0.000
354.292;  182.300;    0.000;    0.000
354.355;  200.300;    0.000;    0.000
354.418;  207.300;    0.000;    0.000
354.481;  210.300;    0.000;    0.000
354.545;  509.300;    0.000;    0.000
354.608;  507.300;    0.000;    0.000
354.671;  524.300;    0.000;    0.000
354.734;  504.300;    0.000;    0.000
354.797;  535.300;    0.000;    0.000
354.860;  517.300;    0.000;    0.000
354.923;  490.300;    0.000;    0.000
354.986;  512.300;    0.000;    0.000
355.050;  528.300;    0.000;    0.000
355.113;  508.300;    0.000;    0.000
355.176;  563.300;    0.000;    0.000
355.239;  565.300;    0.000;    0.000
355.302;  572.300;    0.000;    0.000
355.365;  546.300;    0.000;    0.000
355.428;  548.300;    0.000;    0.000
355.491;  620.300;    0.000;    0.000
355.554;  559.300;    0.000;    0.000
355.617;  566.300;    0.000;    0.000
355.680;  571.300;    0.000;    0.000
355.743;  560.300;    0.000;    0.000
355.806;  574.300;    0.000;    0.000
355.869;  700.300;    0.000;    0.000
355.932;  517.300;    0.000;    0.000
355.995;  608.300;    0.000;    0.000
356.058;  650.300;    0.000;    0.000
356.121;  617.300;    0.000;    0.000
356.184;  612.300;    0.000;    0.000
356.247;  585.300;    0.000;    0.000
356.310;  590.300;    0.000;    0.000
356.373;  631.300;    0.000;    0.000
356.436;  573.300;    0.000;    0.000
356.498;  582.300;    0.000;    0.000
356.561;  539.300;    0.000;    0.000
356.624;  593.300;    0.000;    0.000
356.687;  616.300;    0.000;    0.000
356.750;  613.300;    0.000;    0.000
356.813;  629.300;    0.000;    0.000
