Pellet-T3_position2_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

450.961;  204.525;    0.000;    0.000
451.100;  216.525;    0.000;    0.000
451.239;  217.525;    0.000;    0.000
451.377;  263.525;    0.000;    0.000
451.516;  187.525;    0.000;    0.000
451.655;  199.525;    0.000;    0.000
451.794;  209.525;    0.000;    0.000
451.932;  228.525;    0.000;    0.000
452.071;  225.525;    0.000;    0.000
452.210;  215.525;    0.000;    0.000
452.348;  209.525;    0.000;    0.000
452.487;  210.525;    0.000;    0.000
452.626;  195.525;    0.000;    0.000
452.764;  226.525;    0.000;    0.000
452.903;  211.525;    0.000;    0.000
453.042;  360.525;    0.000;    0.000
453.180; 5992.525;    0.000;    0.000
453.319; 6013.525;    0.000;    0.000
453.458; 6160.525;    0.000;    0.000
453.596; 6099.525;    0.000;    0.000
453.735; 6271.525;    0.000;    0.000
453.873; 6319.525;    0.000;    0.000
454.012; 6226.525;    0.000;    0.000
454.150; 6441.525;    0.000;    0.000
454.289; 6431.525;    0.000;    0.000
454.427; 6513.525;    0.000;    0.000
454.566; 6565.525;    0.000;    0.000
454.705; 6724.525;    0.000;    0.000
454.843; 6680.525;    0.000;    0.000
454.981; 6949.525;    0.000;    0.000
455.120; 6752.525;    0.000;    0.000
455.258; 6844.525;    0.000;    0.000
455.397; 7059.525;    0.000;    0.000
455.535; 6977.525;    0.000;    0.000
455.674; 6954.525;    0.000;    0.000
455.812; 7265.525;    0.000;    0.000
455.950; 7027.525;    0.000;    0.000
456.089; 7253.525;    0.000;    0.000
456.227; 7176.525;    0.000;    0.000
456.366; 7360.525;    0.000;    0.000
456.504; 7546.525;    0.000;    0.000
456.642; 7517.525;    0.000;    0.000
456.781; 7412.525;    0.000;    0.000
456.919; 7185.525;    0.000;    0.000
457.057; 7267.525;    0.000;    0.000
457.196; 7180.525;    0.000;    0.000
457.334; 7334.525;    0.000;    0.000
457.472; 7365.525;    0.000;    0.000
457.610; 7478.525;    0.000;    0.000
457.749; 7693.525;    0.000;    0.000
457.887; 7971.525;    0.000;    0.000
458.025; 8102.525;    0.000;    0.000
