
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

450.961;  180.150;    0.000;    0.000
451.100;  191.150;    0.000;    0.000
451.239;  217.150;    0.000;    0.000
451.377;  211.150;    0.000;    0.000
451.516;  192.150;    0.000;    0.000
451.655;  211.150;    0.000;    0.000
451.794;  206.150;    0.000;    0.000
451.932;  243.150;    0.000;    0.000
452.071;  192.150;    0.000;    0.000
452.210;  267.150;    0.000;    0.000
452.348;  202.150;    0.000;    0.000
452.487;  234.150;    0.000;    0.000
452.626;  216.150;    0.000;    0.000
452.764;  221.150;    0.000;    0.000
452.903;  210.150;    0.000;    0.000
453.042;  296.150;    0.000;    0.000
453.180; 5608.150;    0.000;    0.000
453.319; 5729.150;    0.000;    0.000
453.458; 5833.150;    0.000;    0.000
453.596; 5774.150;    0.000;    0.000
453.735; 5991.150;    0.000;    0.000
453.873; 5995.150;    0.000;    0.000
454.012; 5921.150;    0.000;    0.000
454.150; 5995.150;    0.000;    0.000
454.289; 6150.150;    0.000;    0.000
454.427; 6198.150;    0.000;    0.000
454.566; 6326.150;    0.000;    0.000
454.704; 6395.150;    0.000;    0.000
454.843; 6268.150;    0.000;    0.000
454.981; 6430.150;    0.000;    0.000
455.120; 6370.150;    0.000;    0.000
455.258; 6528.150;    0.000;    0.000
455.397; 6648.150;    0.000;    0.000
455.535; 6615.150;    0.000;    0.000
455.674; 6686.150;    0.000;    0.000
455.812; 6690.150;    0.000;    0.000
455.951; 6869.150;    0.000;    0.000
456.089; 6949.150;    0.000;    0.000
456.227; 6944.150;    0.000;    0.000
456.366; 6946.150;    0.000;    0.000
456.504; 7080.150;    0.000;    0.000
456.642; 7151.150;    0.000;    0.000
456.781; 7027.150;    0.000;    0.000
456.919; 6859.150;    0.000;    0.000
457.057; 6822.150;    0.000;    0.000
457.196; 7041.150;    0.000;    0.000
457.334; 6992.150;    0.000;    0.000
457.472; 7282.150;    0.000;    0.000
457.610; 7212.150;    0.000;    0.000
457.749; 7308.150;    0.000;    0.000
457.887; 7699.150;    0.000;    0.000
458.025; 7917.150;    0.000;    0.000
