
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

691.496;  128.675;    0.000;    0.000
691.696;  184.675;    0.000;    0.000
691.896;  124.675;    0.000;    0.000
692.096;  185.675;    0.000;    0.000
692.296;  128.675;    0.000;    0.000
692.496;  173.675;    0.000;    0.000
692.695;  143.675;    0.000;    0.000
692.895;  193.675;    0.000;    0.000
693.095;  153.675;    0.000;    0.000
693.295;  175.675;    0.000;    0.000
693.495;  163.675;    0.000;    0.000
693.695;  138.675;    0.000;    0.000
693.894;  155.675;    0.000;    0.000
694.094;  149.675;    0.000;    0.000
694.294;  152.675;    0.000;    0.000
694.494;  218.675;    0.000;    0.000
694.693;  714.675;    0.000;    0.000
694.893;  798.675;    0.000;    0.000
695.093;  807.675;    0.000;    0.000
695.293;  855.675;    0.000;    0.000
695.492;  834.675;    0.000;    0.000
695.692;  828.675;    0.000;    0.000
695.891;  846.675;    0.000;    0.000
696.091;  980.675;    0.000;    0.000
696.291;  902.675;    0.000;    0.000
696.490;  840.675;    0.000;    0.000
696.690;  873.675;    0.000;    0.000
696.889;  848.675;    0.000;    0.000
697.089;  863.675;    0.000;    0.000
697.288;  872.675;    0.000;    0.000
697.488;  897.675;    0.000;    0.000
697.687;  817.675;    0.000;    0.000
697.887;  871.675;    0.000;    0.000
698.086;  846.675;    0.000;    0.000
698.286;  845.675;    0.000;    0.000
698.485;  835.675;    0.000;    0.000
698.684;  903.675;    0.000;    0.000
698.884;  832.675;    0.000;    0.000
699.083;  870.675;    0.000;    0.000
699.282;  907.675;    0.000;    0.000
699.482;  920.675;    0.000;    0.000
699.681;  888.675;    0.000;    0.000
699.880;  937.675;    0.000;    0.000
700.080;  882.675;    0.000;    0.000
700.279;  832.675;    0.000;    0.000
700.478;  899.675;    0.000;    0.000
700.677;  815.675;    0.000;    0.000
700.877;  887.675;    0.000;    0.000
701.076;  908.675;    0.000;    0.000
701.275;  943.675;    0.000;    0.000
701.474;  886.675;    0.000;    0.000
701.673;  836.675;    0.000;    0.000
701.872;  892.675;    0.000;    0.000
702.071;  951.675;    0.000;    0.000
