
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

450.961;  222.025;    0.000;    0.000
451.100;  186.025;    0.000;    0.000
451.239;  186.025;    0.000;    0.000
451.377;  223.025;    0.000;    0.000
451.516;  186.025;    0.000;    0.000
451.655;  221.025;    0.000;    0.000
451.794;  215.025;    0.000;    0.000
451.932;  229.025;    0.000;    0.000
452.071;  201.025;    0.000;    0.000
452.210;  235.025;    0.000;    0.000
452.348;  206.025;    0.000;    0.000
452.487;  185.025;    0.000;    0.000
452.626;  214.025;    0.000;    0.000
452.764;  240.025;    0.000;    0.000
452.903;  191.025;    0.000;    0.000
453.042;  257.025;    0.000;    0.000
453.180; 2830.025;    0.000;    0.000
453.319; 3359.025;    0.000;    0.000
453.458; 3164.025;    0.000;    0.000
453.596; 2653.025;    0.000;    0.000
453.735; 2292.025;    0.000;    0.000
453.873; 2083.025;    0.000;    0.000
454.012; 2005.025;    0.000;    0.000
454.150; 2010.025;    0.000;    0.000
454.289; 2180.025;    0.000;    0.000
454.427; 2174.025;    0.000;    0.000
454.566; 2215.025;    0.000;    0.000
454.704; 2436.025;    0.000;    0.000
454.843; 2723.025;    0.000;    0.000
454.981; 2768.025;    0.000;    0.000
455.120; 2519.025;    0.000;    0.000
455.258; 2447.025;    0.000;    0.000
455.397; 2444.025;    0.000;    0.000
455.535; 2387.025;    0.000;    0.000
455.674; 2202.025;    0.000;    0.000
455.812; 2241.025;    0.000;    0.000
455.951; 2233.025;    0.000;    0.000
456.089; 2228.025;    0.000;    0.000
456.227; 2405.025;    0.000;    0.000
456.366; 2451.025;    0.000;    0.000
456.504; 2334.025;    0.000;    0.000
456.642; 2308.025;    0.000;    0.000
456.781; 2224.025;    0.000;    0.000
456.919; 2328.025;    0.000;    0.000
457.057; 2471.025;    0.000;    0.000
457.196; 2625.025;    0.000;    0.000
457.334; 2520.025;    0.000;    0.000
457.472; 2344.025;    0.000;    0.000
457.610; 2342.025;    0.000;    0.000
457.749; 2319.025;    0.000;    0.000
457.887; 2402.025;    0.000;    0.000
458.025; 2440.025;    0.000;    0.000
