
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV2
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

353.533;  236.125;    0.000;    0.000
353.597;  257.125;    0.000;    0.000
353.660;  208.125;    0.000;    0.000
353.723;  181.125;    0.000;    0.000
353.786;  233.125;    0.000;    0.000
353.850;  211.125;    0.000;    0.000
353.913;  198.125;    0.000;    0.000
353.976;  223.125;    0.000;    0.000
354.039;  198.125;    0.000;    0.000
354.102;  230.125;    0.000;    0.000
354.166;  219.125;    0.000;    0.000
354.229;  220.125;    0.000;    0.000
354.292;  203.125;    0.000;    0.000
354.355;  214.125;    0.000;    0.000
354.418;  200.125;    0.000;    0.000
354.481;  213.125;    0.000;    0.000
354.545;  275.125;    0.000;    0.000
354.608;  305.125;    0.000;    0.000
354.671;  242.125;    0.000;    0.000
354.734;  279.125;    0.000;    0.000
354.797;  260.125;    0.000;    0.000
354.860;  261.125;    0.000;    0.000
354.923;  236.125;    0.000;    0.000
354.986;  256.125;    0.000;    0.000
355.050;  277.125;    0.000;    0.000
355.113;  299.125;    0.000;    0.000
355.176;  286.125;    0.000;    0.000
355.239;  289.125;    0.000;    0.000
355.302;  257.125;    0.000;    0.000
355.365;  280.125;    0.000;    0.000
355.428;  323.125;    0.000;    0.000
355.491;  330.125;    0.000;    0.000
355.554;  270.125;    0.000;    0.000
355.617;  264.125;    0.000;    0.000
355.680;  259.125;    0.000;    0.000
355.743;  255.125;    0.000;    0.000
355.806;  262.125;    0.000;    0.000
355.869;  356.125;    0.000;    0.000
355.932;  255.125;    0.000;    0.000
355.995;  275.125;    0.000;    0.000
356.058;  265.125;    0.000;    0.000
356.121;  306.125;    0.000;    0.000
356.184;  303.125;    0.000;    0.000
356.247;  289.125;    0.000;    0.000
356.310;  277.125;    0.000;    0.000
356.373;  286.125;    0.000;    0.000
356.436;  302.125;    0.000;    0.000
356.498;  313.125;    0.000;    0.000
356.561;  304.125;    0.000;    0.000
356.624;  290.125;    0.000;    0.000
356.687;  280.125;    0.000;    0.000
356.750;  292.125;    0.000;    0.000
356.813;  272.125;    0.000;    0.000
356.876;  281.125;    0.000;    0.000
