Olivino_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV2
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

353.533;  201.925;    0.000;    0.000
353.597;  260.925;    0.000;    0.000
353.660;  204.925;    0.000;    0.000
353.723;  227.925;    0.000;    0.000
353.786;  194.925;    0.000;    0.000
353.850;  235.925;    0.000;    0.000
353.913;  211.925;    0.000;    0.000
353.976;  199.925;    0.000;    0.000
354.039;  190.925;    0.000;    0.000
354.102;  246.925;    0.000;    0.000
354.166;  238.925;    0.000;    0.000
354.229;  210.925;    0.000;    0.000
354.292;  194.925;    0.000;    0.000
354.355;  206.925;    0.000;    0.000
354.418;  188.925;    0.000;    0.000
354.481;  220.925;    0.000;    0.000
354.545;  286.925;    0.000;    0.000
354.608;  268.925;    0.000;    0.000
354.671;  254.925;    0.000;    0.000
354.734;  275.925;    0.000;    0.000
354.797;  241.925;    0.000;    0.000
354.860;  256.925;    0.000;    0.000
354.923;  247.925;    0.000;    0.000
354.986;  244.925;    0.000;    0.000
355.050;  266.925;    0.000;    0.000
355.113;  275.925;    0.000;    0.000
355.176;  299.925;    0.000;    0.000
355.239;  294.925;    0.000;    0.000
355.302;  293.925;    0.000;    0.000
355.365;  284.925;    0.000;    0.000
355.428;  276.925;    0.000;    0.000
355.491;  308.925;    0.000;    0.000
355.554;  240.925;    0.000;    0.000
355.617;  313.925;    0.000;    0.000
355.680;  245.925;    0.000;    0.000
355.743;  257.925;    0.000;    0.000
355.806;  271.925;    0.000;    0.000
355.869;  299.925;    0.000;    0.000
355.932;  273.925;    0.000;    0.000
355.995;  325.925;    0.000;    0.000
356.058;  247.925;    0.000;    0.000
356.121;  276.925;    0.000;    0.000
356.184;  272.925;    0.000;    0.000
356.247;  275.925;    0.000;    0.000
356.310;  245.925;    0.000;    0.000
356.373;  296.925;    0.000;    0.000
356.436;  279.925;    0.000;    0.000
356.498;  285.925;    0.000;    0.000
356.561;  322.925;    0.000;    0.000
356.624;  273.925;    0.000;    0.000
356.687;  275.925;    0.000;    0.000
356.750;  294.925;    0.000;    0.000
356.813;  279.925;    0.000;    0.000
356.876;  280.925;    0.000;    0.000
