Olivino_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

450.961;  201.375;    0.000;    0.000
451.100;  232.375;    0.000;    0.000
451.239;  180.375;    0.000;    0.000
451.377;  229.375;    0.000;    0.000
451.516;  186.375;    0.000;    0.000
451.655;  228.375;    0.000;    0.000
451.794;  246.375;    0.000;    0.000
451.932;  216.375;    0.000;    0.000
452.071;  214.375;    0.000;    0.000
452.210;  269.375;    0.000;    0.000
452.348;  206.375;    0.000;    0.000
452.487;  211.375;    0.000;    0.000
452.626;  216.375;    0.000;    0.000
452.764;  217.375;    0.000;    0.000
452.903;  226.375;    0.000;    0.000
453.042;  263.375;    0.000;    0.000
453.180; 2293.375;    0.000;    0.000
453.319; 2574.375;    0.000;    0.000
453.458; 2508.375;    0.000;    0.000
453.596; 2221.375;    0.000;    0.000
453.735; 2127.375;    0.000;    0.000
453.873; 2086.375;    0.000;    0.000
454.012; 2063.375;    0.000;    0.000
454.150; 2104.375;    0.000;    0.000
454.289; 2158.375;    0.000;    0.000
454.427; 2031.375;    0.000;    0.000
454.566; 2117.375;    0.000;    0.000
454.705; 2291.375;    0.000;    0.000
454.843; 2308.375;    0.000;    0.000
454.981; 2293.375;    0.000;    0.000
455.120; 2225.375;    0.000;    0.000
455.258; 2332.375;    0.000;    0.000
455.397; 2177.375;    0.000;    0.000
455.535; 2170.375;    0.000;    0.000
455.674; 2222.375;    0.000;    0.000
455.812; 2184.375;    0.000;    0.000
455.950; 2190.375;    0.000;    0.000
456.089; 2180.375;    0.000;    0.000
456.227; 2203.375;    0.000;    0.000
456.366; 2327.375;    0.000;    0.000
456.504; 2316.375;    0.000;    0.000
456.642; 2215.375;    0.000;    0.000
456.781; 2194.375;    0.000;    0.000
456.919; 2249.375;    0.000;    0.000
457.057; 2257.375;    0.000;    0.000
457.196; 2288.375;    0.000;    0.000
457.334; 2227.375;    0.000;    0.000
457.472; 2239.375;    0.000;    0.000
457.610; 2202.375;    0.000;    0.000
457.749; 2314.375;    0.000;    0.000
457.887; 2352.375;    0.000;    0.000
458.025; 2439.375;    0.000;    0.000
