Olivino_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

691.496;  122.050;    0.000;    0.000
691.696;  165.050;    0.000;    0.000
691.896;  130.050;    0.000;    0.000
692.096;  115.050;    0.000;    0.000
692.296;  118.050;    0.000;    0.000
692.496;  186.050;    0.000;    0.000
692.695;  128.050;    0.000;    0.000
692.895;  182.050;    0.000;    0.000
693.095;  129.050;    0.000;    0.000
693.295;  186.050;    0.000;    0.000
693.495;  142.050;    0.000;    0.000
693.695;  145.050;    0.000;    0.000
693.894;  150.050;    0.000;    0.000
694.094;  160.050;    0.000;    0.000
694.294;   98.050;    0.000;    0.000
694.494;  220.050;    0.000;    0.000
694.693;  648.050;    0.000;    0.000
694.893;  704.050;    0.000;    0.000
695.093;  679.050;    0.000;    0.000
695.293;  756.050;    0.000;    0.000
695.492;  675.050;    0.000;    0.000
695.692;  727.050;    0.000;    0.000
695.891;  725.050;    0.000;    0.000
696.091;  755.050;    0.000;    0.000
696.291;  697.050;    0.000;    0.000
696.490;  715.050;    0.000;    0.000
696.690;  781.050;    0.000;    0.000
696.889;  766.050;    0.000;    0.000
697.089;  709.050;    0.000;    0.000
697.288;  750.050;    0.000;    0.000
697.488;  757.050;    0.000;    0.000
697.687;  708.050;    0.000;    0.000
697.887;  694.050;    0.000;    0.000
698.086;  766.050;    0.000;    0.000
698.286;  730.050;    0.000;    0.000
698.485;  724.050;    0.000;    0.000
698.684;  745.050;    0.000;    0.000
698.884;  712.050;    0.000;    0.000
699.083;  706.050;    0.000;    0.000
699.282;  724.050;    0.000;    0.000
699.482;  753.050;    0.000;    0.000
699.681;  770.050;    0.000;    0.000
699.880;  729.050;    0.000;    0.000
700.080;  746.050;    0.000;    0.000
700.279;  683.050;    0.000;    0.000
700.478;  782.050;    0.000;    0.000
700.677;  736.050;    0.000;    0.000
700.877;  756.050;    0.000;    0.000
701.076;  768.050;    0.000;    0.000
701.275;  773.050;    0.000;    0.000
701.474;  788.050;    0.000;    0.000
701.673;  769.050;    0.000;    0.000
701.872;  785.050;    0.000;    0.000
702.071;  755.050;    0.000;    0.000
