
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

450.961;  174.475;    0.000;    0.000
451.100;  257.475;    0.000;    0.000
451.239;  215.475;    0.000;    0.000
451.377;  233.475;    0.000;    0.000
451.516;  176.475;    0.000;    0.000
451.655;  207.475;    0.000;    0.000
451.794;  218.475;    0.000;    0.000
451.932;  249.475;    0.000;    0.000
452.071;  238.475;    0.000;    0.000
452.210;  212.475;    0.000;    0.000
452.348;  191.475;    0.000;    0.000
452.487;  247.475;    0.000;    0.000
452.626;  204.475;    0.000;    0.000
452.764;  223.475;    0.000;    0.000
452.903;  220.475;    0.000;    0.000
453.042;  237.475;    0.000;    0.000
453.180; 2123.475;    0.000;    0.000
453.319; 2208.475;    0.000;    0.000
453.458; 2093.475;    0.000;    0.000
453.596; 2058.475;    0.000;    0.000
453.735; 1936.475;    0.000;    0.000
453.873; 1969.475;    0.000;    0.000
454.012; 2006.475;    0.000;    0.000
454.150; 1984.475;    0.000;    0.000
454.289; 1989.475;    0.000;    0.000
454.427; 1964.475;    0.000;    0.000
454.566; 2002.475;    0.000;    0.000
454.704; 2063.475;    0.000;    0.000
454.843; 2108.475;    0.000;    0.000
454.981; 2170.475;    0.000;    0.000
455.120; 2050.475;    0.000;    0.000
455.258; 2173.475;    0.000;    0.000
455.397; 2157.475;    0.000;    0.000
455.535; 2102.475;    0.000;    0.000
455.674; 2007.475;    0.000;    0.000
455.812; 2075.475;    0.000;    0.000
455.951; 2152.475;    0.000;    0.000
456.089; 2118.475;    0.000;    0.000
456.227; 2067.475;    0.000;    0.000
456.366; 2163.475;    0.000;    0.000
456.504; 2251.475;    0.000;    0.000
456.642; 2210.475;    0.000;    0.000
456.781; 2067.475;    0.000;    0.000
456.919; 2083.475;    0.000;    0.000
457.057; 2115.475;    0.000;    0.000
457.196; 2143.475;    0.000;    0.000
457.334; 2079.475;    0.000;    0.000
457.472; 2129.475;    0.000;    0.000
457.610; 2121.475;    0.000;    0.000
457.749; 2157.475;    0.000;    0.000
457.887; 2167.475;    0.000;    0.000
458.025; 2251.475;    0.000;    0.000
