
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

691.496;  132.525;    0.000;    0.000
691.696;  176.525;    0.000;    0.000
691.896;  121.525;    0.000;    0.000
692.096;  145.525;    0.000;    0.000
692.296;   87.525;    0.000;    0.000
692.496;  146.525;    0.000;    0.000
692.695;  122.525;    0.000;    0.000
692.895;  165.525;    0.000;    0.000
693.095;  153.525;    0.000;    0.000
693.295;  184.525;    0.000;    0.000
693.495;  143.525;    0.000;    0.000
693.695;  139.525;    0.000;    0.000
693.894;  189.525;    0.000;    0.000
694.094;  135.525;    0.000;    0.000
694.294;  154.525;    0.000;    0.000
694.494;  158.525;    0.000;    0.000
694.693;  688.525;    0.000;    0.000
694.893;  739.525;    0.000;    0.000
695.093;  690.525;    0.000;    0.000
695.293;  715.525;    0.000;    0.000
695.492;  657.525;    0.000;    0.000
695.692;  702.525;    0.000;    0.000
695.891;  710.525;    0.000;    0.000
696.091;  733.525;    0.000;    0.000
696.291;  704.525;    0.000;    0.000
696.490;  689.525;    0.000;    0.000
696.690;  687.525;    0.000;    0.000
696.889;  739.525;    0.000;    0.000
697.089;  691.525;    0.000;    0.000
697.288;  714.525;    0.000;    0.000
697.488;  783.525;    0.000;    0.000
697.687;  770.525;    0.000;    0.000
697.887;  674.525;    0.000;    0.000
698.086;  726.525;    0.000;    0.000
698.286;  745.525;    0.000;    0.000
698.485;  688.525;    0.000;    0.000
698.684;  677.525;    0.000;    0.000
698.884;  795.525;    0.000;    0.000
699.083;  747.525;    0.000;    0.000
699.282;  733.525;    0.000;    0.000
699.482;  744.525;    0.000;    0.000
699.681;  727.525;    0.000;    0.000
699.880;  782.525;    0.000;    0.000
700.080;  804.525;    0.000;    0.000
700.279;  673.525;    0.000;    0.000
700.478;  768.525;    0.000;    0.000
700.677;  738.525;    0.000;    0.000
700.877;  783.525;    0.000;    0.000
701.076;  846.525;    0.000;    0.000
701.275;  723.525;    0.000;    0.000
701.474;  738.525;    0.000;    0.000
701.673;  713.525;    0.000;    0.000
701.872;  756.525;    0.000;    0.000
702.071;  669.525;    0.000;    0.000
