
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV2
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

353.533;  220.550;    0.000;    0.000
353.597;  255.550;    0.000;    0.000
353.660;  222.550;    0.000;    0.000
353.723;  214.550;    0.000;    0.000
353.786;  195.550;    0.000;    0.000
353.850;  227.550;    0.000;    0.000
353.913;  203.550;    0.000;    0.000
353.976;  214.550;    0.000;    0.000
354.039;  196.550;    0.000;    0.000
354.102;  253.550;    0.000;    0.000
354.166;  229.550;    0.000;    0.000
354.229;  183.550;    0.000;    0.000
354.292;  208.550;    0.000;    0.000
354.355;  217.550;    0.000;    0.000
354.418;  176.550;    0.000;    0.000
354.481;  218.550;    0.000;    0.000
354.545;  315.550;    0.000;    0.000
354.608;  271.550;    0.000;    0.000
354.671;  282.550;    0.000;    0.000
354.734;  319.550;    0.000;    0.000
354.797;  290.550;    0.000;    0.000
354.860;  325.550;    0.000;    0.000
354.923;  299.550;    0.000;    0.000
354.986;  296.550;    0.000;    0.000
355.050;  275.550;    0.000;    0.000
355.113;  288.550;    0.000;    0.000
355.176;  338.550;    0.000;    0.000
355.239;  303.550;    0.000;    0.000
355.302;  319.550;    0.000;    0.000
355.365;  331.550;    0.000;    0.000
355.428;  277.550;    0.000;    0.000
355.491;  332.550;    0.000;    0.000
355.554;  293.550;    0.000;    0.000
355.617;  305.550;    0.000;    0.000
355.680;  323.550;    0.000;    0.000
355.743;  294.550;    0.000;    0.000
355.806;  273.550;    0.000;    0.000
355.869;  308.550;    0.000;    0.000
355.932;  312.550;    0.000;    0.000
355.995;  309.550;    0.000;    0.000
356.058;  306.550;    0.000;    0.000
356.121;  318.550;    0.000;    0.000
356.184;  291.550;    0.000;    0.000
356.247;  277.550;    0.000;    0.000
356.310;  274.550;    0.000;    0.000
356.373;  348.550;    0.000;    0.000
356.436;  304.550;    0.000;    0.000
356.498;  333.550;    0.000;    0.000
356.561;  368.550;    0.000;    0.000
356.624;  314.550;    0.000;    0.000
356.687;  317.550;    0.000;    0.000
356.750;  315.550;    0.000;    0.000
356.813;  336.550;    0.000;    0.000
356.876;  341.550;    0.000;    0.000
