Olivino_position2_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV2
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

353.533;  221.975;    0.000;    0.000
353.597;  234.975;    0.000;    0.000
353.660;  221.975;    0.000;    0.000
353.723;  218.975;    0.000;    0.000
353.786;  194.975;    0.000;    0.000
353.850;  231.975;    0.000;    0.000
353.913;  222.975;    0.000;    0.000
353.976;  225.975;    0.000;    0.000
354.039;  176.975;    0.000;    0.000
354.102;  204.975;    0.000;    0.000
354.166;  212.975;    0.000;    0.000
354.229;  206.975;    0.000;    0.000
354.292;  193.975;    0.000;    0.000
354.355;  219.975;    0.000;    0.000
354.418;  193.975;    0.000;    0.000
354.481;  209.975;    0.000;    0.000
354.545;  304.975;    0.000;    0.000
354.608;  289.975;    0.000;    0.000
354.671;  284.975;    0.000;    0.000
354.734;  287.975;    0.000;    0.000
354.797;  299.975;    0.000;    0.000
354.860;  301.975;    0.000;    0.000
354.923;  277.975;    0.000;    0.000
354.986;  297.975;    0.000;    0.000
355.050;  278.975;    0.000;    0.000
355.113;  278.975;    0.000;    0.000
355.176;  313.975;    0.000;    0.000
355.239;  319.975;    0.000;    0.000
355.302;  309.975;    0.000;    0.000
355.365;  306.975;    0.000;    0.000
355.428;  318.975;    0.000;    0.000
355.491;  351.975;    0.000;    0.000
355.554;  288.975;    0.000;    0.000
355.617;  311.975;    0.000;    0.000
355.680;  312.975;    0.000;    0.000
355.743;  282.975;    0.000;    0.000
355.806;  302.975;    0.000;    0.000
355.869;  345.975;    0.000;    0.000
355.932;  270.975;    0.000;    0.000
355.995;  357.975;    0.000;    0.000
356.058;  304.975;    0.000;    0.000
356.121;  330.975;    0.000;    0.000
356.184;  303.975;    0.000;    0.000
356.247;  316.975;    0.000;    0.000
356.310;  287.975;    0.000;    0.000
356.373;  291.975;    0.000;    0.000
356.436;  346.975;    0.000;    0.000
356.498;  310.975;    0.000;    0.000
356.561;  313.975;    0.000;    0.000
356.624;  328.975;    0.000;    0.000
356.687;  334.975;    0.000;    0.000
356.750;  354.975;    0.000;    0.000
356.813;  372.975;    0.000;    0.000
356.876;  359.975;    0.000;    0.000
