Olivino_position2_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

450.961;  167.300;    0.000;    0.000
451.100;  233.300;    0.000;    0.000
451.239;  232.300;    0.000;    0.000
451.377;  235.300;    0.000;    0.000
451.516;  216.300;    0.000;    0.000
451.655;  207.300;    0.000;    0.000
451.794;  220.300;    0.000;    0.000
451.932;  234.300;    0.000;    0.000
452.071;  209.300;    0.000;    0.000
452.210;  218.300;    0.000;    0.000
452.348;  211.300;    0.000;    0.000
452.487;  218.300;    0.000;    0.000
452.626;  197.300;    0.000;    0.000
452.764;  222.300;    0.000;    0.000
452.903;  219.300;    0.000;    0.000
453.042;  253.300;    0.000;    0.000
453.180; 2709.300;    0.000;    0.000
453.319; 2880.300;    0.000;    0.000
453.458; 2781.300;    0.000;    0.000
453.596; 2807.300;    0.000;    0.000
453.735; 2718.300;    0.000;    0.000
453.873; 2584.300;    0.000;    0.000
454.012; 2544.300;    0.000;    0.000
454.150; 2728.300;    0.000;    0.000
454.289; 2655.300;    0.000;    0.000
454.427; 2755.300;    0.000;    0.000
454.566; 2746.300;    0.000;    0.000
454.705; 2804.300;    0.000;    0.000
454.843; 2836.300;    0.000;    0.000
454.981; 2869.300;    0.000;    0.000
455.120; 2813.300;    0.000;    0.000
455.258; 2905.300;    0.000;    0.000
455.397; 2818.300;    0.000;    0.000
455.535; 2872.300;    0.000;    0.000
455.674; 2796.300;    0.000;    0.000
455.812; 2794.300;    0.000;    0.000
455.950; 2902.300;    0.000;    0.000
456.089; 2855.300;    0.000;    0.000
456.227; 2836.300;    0.000;    0.000
456.366; 3004.300;    0.000;    0.000
456.504; 2895.300;    0.000;    0.000
456.642; 3009.300;    0.000;    0.000
456.781; 2877.300;    0.000;    0.000
456.919; 2818.300;    0.000;    0.000
457.057; 2808.300;    0.000;    0.000
457.196; 2817.300;    0.000;    0.000
457.334; 2988.300;    0.000;    0.000
457.472; 2852.300;    0.000;    0.000
457.610; 2801.300;    0.000;    0.000
457.749; 2868.300;    0.000;    0.000
457.887; 3016.300;    0.000;    0.000
458.025; 3016.300;    0.000;    0.000
