Olivino_position2_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

691.496;  161.325;    0.000;    0.000
691.696;  156.325;    0.000;    0.000
691.896;  133.325;    0.000;    0.000
692.096;  142.325;    0.000;    0.000
692.296;   98.325;    0.000;    0.000
692.496;  156.325;    0.000;    0.000
692.695;  135.325;    0.000;    0.000
692.895;  186.325;    0.000;    0.000
693.095;   86.325;    0.000;    0.000
693.295;  208.325;    0.000;    0.000
693.495;  151.325;    0.000;    0.000
693.695;  155.325;    0.000;    0.000
693.894;  158.325;    0.000;    0.000
694.094;  146.325;    0.000;    0.000
694.294;  121.325;    0.000;    0.000
694.494;  187.325;    0.000;    0.000
694.693;  801.325;    0.000;    0.000
694.893;  886.325;    0.000;    0.000
695.093;  870.325;    0.000;    0.000
695.293;  890.325;    0.000;    0.000
695.492;  911.325;    0.000;    0.000
695.692;  934.325;    0.000;    0.000
695.891;  936.325;    0.000;    0.000
696.091;  936.325;    0.000;    0.000
696.291;  938.325;    0.000;    0.000
696.490;  981.325;    0.000;    0.000
696.690;  984.325;    0.000;    0.000
696.889;  915.325;    0.000;    0.000
697.089;  883.325;    0.000;    0.000
697.288;  958.325;    0.000;    0.000
697.488;  932.325;    0.000;    0.000
697.687;  933.325;    0.000;    0.000
697.887;  967.325;    0.000;    0.000
698.086;  971.325;    0.000;    0.000
698.286;  948.325;    0.000;    0.000
698.485;  871.325;    0.000;    0.000
698.684;  908.325;    0.000;    0.000
698.884;  979.325;    0.000;    0.000
699.083;  913.325;    0.000;    0.000
699.282;  985.325;    0.000;    0.000
699.482;  987.325;    0.000;    0.000
699.681;  937.325;    0.000;    0.000
699.880;  983.325;    0.000;    0.000
700.080;  974.325;    0.000;    0.000
700.279;  952.325;    0.000;    0.000
700.478; 1009.325;    0.000;    0.000
700.677; 1002.325;    0.000;    0.000
700.877; 1027.325;    0.000;    0.000
701.076;  994.325;    0.000;    0.000
701.275; 1031.325;    0.000;    0.000
701.474;  992.325;    0.000;    0.000
701.673;  972.325;    0.000;    0.000
701.872; 1025.325;    0.000;    0.000
