
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

450.961;  189.625;    0.000;    0.000
451.100;  211.625;    0.000;    0.000
451.239;  196.625;    0.000;    0.000
451.377;  220.625;    0.000;    0.000
451.516;  204.625;    0.000;    0.000
451.655;  211.625;    0.000;    0.000
451.794;  198.625;    0.000;    0.000
451.932;  214.625;    0.000;    0.000
452.071;  222.625;    0.000;    0.000
452.210;  218.625;    0.000;    0.000
452.348;  194.625;    0.000;    0.000
452.487;  179.625;    0.000;    0.000
452.626;  193.625;    0.000;    0.000
452.764;  207.625;    0.000;    0.000
452.903;  217.625;    0.000;    0.000
453.042;  259.625;    0.000;    0.000
453.180; 4726.625;    0.000;    0.000
453.319; 4881.625;    0.000;    0.000
453.458; 4910.625;    0.000;    0.000
453.596; 4783.625;    0.000;    0.000
453.735; 4686.625;    0.000;    0.000
453.873; 4613.625;    0.000;    0.000
454.012; 4685.625;    0.000;    0.000
454.150; 4811.625;    0.000;    0.000
454.289; 4796.625;    0.000;    0.000
454.427; 4829.625;    0.000;    0.000
454.566; 5123.625;    0.000;    0.000
454.704; 5087.625;    0.000;    0.000
454.843; 5174.625;    0.000;    0.000
454.981; 5246.625;    0.000;    0.000
455.120; 5253.625;    0.000;    0.000
455.258; 5284.625;    0.000;    0.000
455.397; 5292.625;    0.000;    0.000
455.535; 5333.625;    0.000;    0.000
455.674; 5387.625;    0.000;    0.000
455.812; 5349.625;    0.000;    0.000
455.951; 5454.625;    0.000;    0.000
456.089; 5578.625;    0.000;    0.000
456.227; 5613.625;    0.000;    0.000
456.366; 5672.625;    0.000;    0.000
456.504; 5709.625;    0.000;    0.000
456.642; 5749.625;    0.000;    0.000
456.781; 5647.625;    0.000;    0.000
456.919; 5707.625;    0.000;    0.000
457.057; 5714.625;    0.000;    0.000
457.196; 5809.625;    0.000;    0.000
457.334; 5793.625;    0.000;    0.000
457.472; 5876.625;    0.000;    0.000
457.610; 6080.625;    0.000;    0.000
457.749; 6743.625;    0.000;    0.000
457.887; 7203.625;    0.000;    0.000
458.025; 7589.625;    0.000;    0.000
