Yeso_posicion1_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV2
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

353.533;  230.550;    0.000;    0.000
353.597;  226.550;    0.000;    0.000
353.660;  199.550;    0.000;    0.000
353.723;  213.550;    0.000;    0.000
353.786;  205.550;    0.000;    0.000
353.850;  245.550;    0.000;    0.000
353.913;  207.550;    0.000;    0.000
353.976;  200.550;    0.000;    0.000
354.039;  177.550;    0.000;    0.000
354.102;  205.550;    0.000;    0.000
354.166;  217.550;    0.000;    0.000
354.229;  222.550;    0.000;    0.000
354.292;  198.550;    0.000;    0.000
354.355;  215.550;    0.000;    0.000
354.418;  189.550;    0.000;    0.000
354.481;  221.550;    0.000;    0.000
354.545;  359.550;    0.000;    0.000
354.608;  323.550;    0.000;    0.000
354.671;  306.550;    0.000;    0.000
354.734;  317.550;    0.000;    0.000
354.797;  341.550;    0.000;    0.000
354.860;  386.550;    0.000;    0.000
354.923;  368.550;    0.000;    0.000
354.986;  339.550;    0.000;    0.000
355.050;  309.550;    0.000;    0.000
355.113;  375.550;    0.000;    0.000
355.176;  379.550;    0.000;    0.000
355.239;  358.550;    0.000;    0.000
355.302;  342.550;    0.000;    0.000
355.365;  393.550;    0.000;    0.000
355.428;  356.550;    0.000;    0.000
355.491;  406.550;    0.000;    0.000
355.554;  341.550;    0.000;    0.000
355.617;  339.550;    0.000;    0.000
355.680;  339.550;    0.000;    0.000
355.743;  354.550;    0.000;    0.000
355.806;  395.550;    0.000;    0.000
355.869;  387.550;    0.000;    0.000
355.932;  344.550;    0.000;    0.000
355.995;  398.550;    0.000;    0.000
356.058;  363.550;    0.000;    0.000
356.121;  394.550;    0.000;    0.000
356.184;  386.550;    0.000;    0.000
356.247;  392.550;    0.000;    0.000
356.310;  393.550;    0.000;    0.000
356.373;  386.550;    0.000;    0.000
356.436;  383.550;    0.000;    0.000
356.498;  375.550;    0.000;    0.000
356.561;  328.550;    0.000;    0.000
356.624;  367.550;    0.000;    0.000
356.687;  417.550;    0.000;    0.000
356.750;  382.550;    0.000;    0.000
356.813;  362.550;    0.000;    0.000
