Yeso_posicion1_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

691.496;  121.600;    0.000;    0.000
691.696;  123.600;    0.000;    0.000
691.896;   96.600;    0.000;    0.000
692.096;  150.600;    0.000;    0.000
692.296;   56.600;    0.000;    0.000
692.496;  151.600;    0.000;    0.000
692.695;   90.600;    0.000;    0.000
692.895;  154.600;    0.000;    0.000
693.095;   71.600;    0.000;    0.000
693.295;  136.600;    0.000;    0.000
693.495;  132.600;    0.000;    0.000
693.695;   71.600;    0.000;    0.000
693.894;  139.600;    0.000;    0.000
694.094;  122.600;    0.000;    0.000
694.294;  108.600;    0.000;    0.000
694.494;  182.600;    0.000;    0.000
694.693;  960.600;    0.000;    0.000
694.893; 1010.600;    0.000;    0.000
695.093; 1019.600;    0.000;    0.000
695.293; 1018.600;    0.000;    0.000
695.492;  977.600;    0.000;    0.000
695.692;  966.600;    0.000;    0.000
695.891; 1045.600;    0.000;    0.000
696.091; 1044.600;    0.000;    0.000
696.291; 1043.600;    0.000;    0.000
696.490; 1103.600;    0.000;    0.000
696.690; 1007.600;    0.000;    0.000
696.889; 1051.600;    0.000;    0.000
697.089; 1080.600;    0.000;    0.000
697.288; 1114.600;    0.000;    0.000
697.488; 1084.600;    0.000;    0.000
697.687; 1014.600;    0.000;    0.000
697.887; 1086.600;    0.000;    0.000
698.086; 1072.600;    0.000;    0.000
698.286; 1047.600;    0.000;    0.000
698.485; 1082.600;    0.000;    0.000
698.684; 1019.600;    0.000;    0.000
698.884; 1085.600;    0.000;    0.000
699.083; 1066.600;    0.000;    0.000
699.282; 1098.600;    0.000;    0.000
699.482; 1121.600;    0.000;    0.000
699.681; 1054.600;    0.000;    0.000
699.880; 1079.600;    0.000;    0.000
700.080; 1133.600;    0.000;    0.000
700.279; 1059.600;    0.000;    0.000
700.478; 1113.600;    0.000;    0.000
700.677; 1117.600;    0.000;    0.000
700.877; 1166.600;    0.000;    0.000
701.076; 1095.600;    0.000;    0.000
701.275; 1112.600;    0.000;    0.000
701.474; 1123.600;    0.000;    0.000
701.673; 1081.600;    0.000;    0.000
