
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

691.496;  134.450;    0.000;    0.000
691.696;  162.450;    0.000;    0.000
691.896;  128.450;    0.000;    0.000
692.096;  159.450;    0.000;    0.000
692.296;  116.450;    0.000;    0.000
692.496;  164.450;    0.000;    0.000
692.695;  106.450;    0.000;    0.000
692.895;  143.450;    0.000;    0.000
693.095;  123.450;    0.000;    0.000
693.295;  161.450;    0.000;    0.000
693.495;  165.450;    0.000;    0.000
693.695;  126.450;    0.000;    0.000
693.894;  165.450;    0.000;    0.000
694.094;  137.450;    0.000;    0.000
694.294;  112.450;    0.000;    0.000
694.494;  342.450;    0.000;    0.000
694.693; 2442.450;    0.000;    0.000
694.893; 2682.450;    0.000;    0.000
695.093; 2706.450;    0.000;    0.000
695.293; 2787.450;    0.000;    0.000
695.492; 2744.450;    0.000;    0.000
695.692; 2750.450;    0.000;    0.000
695.891; 2790.450;    0.000;    0.000
696.091; 2896.450;    0.000;    0.000
696.291; 2831.450;    0.000;    0.000
696.490; 2987.450;    0.000;    0.000
696.690; 2852.450;    0.000;    0.000
696.889; 2870.450;    0.000;    0.000
697.089; 2875.450;    0.000;    0.000
697.288; 2893.450;    0.000;    0.000
697.488; 2945.450;    0.000;    0.000
697.687; 2941.450;    0.000;    0.000
697.887; 2848.450;    0.000;    0.000
698.086; 2855.450;    0.000;    0.000
698.286; 2978.450;    0.000;    0.000
698.485; 3058.450;    0.000;    0.000
698.684; 2916.450;    0.000;    0.000
698.884; 3069.450;    0.000;    0.000
699.083; 2989.450;    0.000;    0.000
699.282; 2864.450;    0.000;    0.000
699.482; 2902.450;    0.000;    0.000
699.681; 2995.450;    0.000;    0.000
699.880; 3100.450;    0.000;    0.000
700.080; 3078.450;    0.000;    0.000
700.279; 2935.450;    0.000;    0.000
700.478; 2982.450;    0.000;    0.000
700.677; 2947.450;    0.000;    0.000
700.877; 3103.450;    0.000;    0.000
701.076; 3138.450;    0.000;    0.000
701.275; 3067.450;    0.000;    0.000
701.474; 3018.450;    0.000;    0.000
701.673; 3111.450;    0.000;    0.000
