
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV2
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

353.533;  224.175;    0.000;    0.000
353.597;  208.175;    0.000;    0.000
353.660;  226.175;    0.000;    0.000
353.723;  231.175;    0.000;    0.000
353.786;  178.175;    0.000;    0.000
353.850;  218.175;    0.000;    0.000
353.913;  178.175;    0.000;    0.000
353.976;  251.175;    0.000;    0.000
354.039;  207.175;    0.000;    0.000
354.102;  191.175;    0.000;    0.000
354.166;  237.175;    0.000;    0.000
354.229;  233.175;    0.000;    0.000
354.292;  207.175;    0.000;    0.000
354.355;  231.175;    0.000;    0.000
354.418;  213.175;    0.000;    0.000
354.481;  210.175;    0.000;    0.000
354.545;  460.175;    0.000;    0.000
354.608;  511.175;    0.000;    0.000
354.671;  451.175;    0.000;    0.000
354.734;  462.175;    0.000;    0.000
354.797;  493.175;    0.000;    0.000
354.860;  498.175;    0.000;    0.000
354.923;  455.175;    0.000;    0.000
354.986;  509.175;    0.000;    0.000
355.050;  505.175;    0.000;    0.000
355.113;  496.175;    0.000;    0.000
355.176;  509.175;    0.000;    0.000
355.239;  515.175;    0.000;    0.000
355.302;  490.175;    0.000;    0.000
355.365;  514.175;    0.000;    0.000
355.428;  530.175;    0.000;    0.000
355.491;  566.175;    0.000;    0.000
355.554;  513.175;    0.000;    0.000
355.617;  557.175;    0.000;    0.000
355.680;  523.175;    0.000;    0.000
355.743;  517.175;    0.000;    0.000
355.806;  531.175;    0.000;    0.000
355.869;  526.175;    0.000;    0.000
355.932;  540.175;    0.000;    0.000
355.995;  553.175;    0.000;    0.000
356.058;  566.175;    0.000;    0.000
356.121;  581.175;    0.000;    0.000
356.184;  569.175;    0.000;    0.000
356.247;  602.175;    0.000;    0.000
356.310;  554.175;    0.000;    0.000
356.373;  563.175;    0.000;    0.000
356.436;  556.175;    0.000;    0.000
356.498;  572.175;    0.000;    0.000
356.561;  575.175;    0.000;    0.000
356.624;  561.175;    0.000;    0.000
356.687;  577.175;    0.000;    0.000
356.750;  564.175;    0.000;    0.000
356.813;  534.175;    0.000;    0.000
356.876;  527.175;    0.000;    0.000
