Yeso_posicion2_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

450.961;  182.125;    0.000;    0.000
451.100;  233.125;    0.000;    0.000
451.239;  181.125;    0.000;    0.000
451.377;  245.125;    0.000;    0.000
451.516;  209.125;    0.000;    0.000
451.655;  208.125;    0.000;    0.000
451.794;  188.125;    0.000;    0.000
451.932;  234.125;    0.000;    0.000
452.071;  236.125;    0.000;    0.000
452.210;  196.125;    0.000;    0.000
452.348;  201.125;    0.000;    0.000
452.487;  241.125;    0.000;    0.000
452.626;  206.125;    0.000;    0.000
452.764;  219.125;    0.000;    0.000
452.903;  239.125;    0.000;    0.000
453.042;  264.125;    0.000;    0.000
453.180; 3552.125;    0.000;    0.000
453.319; 3614.125;    0.000;    0.000
453.458; 3651.125;    0.000;    0.000
453.596; 3685.125;    0.000;    0.000
453.735; 3719.125;    0.000;    0.000
453.873; 3721.125;    0.000;    0.000
454.012; 3676.125;    0.000;    0.000
454.150; 3783.125;    0.000;    0.000
454.289; 3800.125;    0.000;    0.000
454.427; 3789.125;    0.000;    0.000
454.566; 3914.125;    0.000;    0.000
454.705; 3971.125;    0.000;    0.000
454.843; 3987.125;    0.000;    0.000
454.981; 4001.125;    0.000;    0.000
455.120; 4002.125;    0.000;    0.000
455.258; 4162.125;    0.000;    0.000
455.397; 4177.125;    0.000;    0.000
455.535; 4135.125;    0.000;    0.000
455.674; 4204.125;    0.000;    0.000
455.812; 4320.125;    0.000;    0.000
455.950; 4184.125;    0.000;    0.000
456.089; 4352.125;    0.000;    0.000
456.227; 4349.125;    0.000;    0.000
456.366; 4455.125;    0.000;    0.000
456.504; 4525.125;    0.000;    0.000
456.642; 4499.125;    0.000;    0.000
456.781; 4527.125;    0.000;    0.000
456.919; 4444.125;    0.000;    0.000
457.057; 4359.125;    0.000;    0.000
457.196; 4402.125;    0.000;    0.000
457.334; 4491.125;    0.000;    0.000
457.472; 4627.125;    0.000;    0.000
457.610; 4883.125;    0.000;    0.000
457.749; 5353.125;    0.000;    0.000
457.887; 5960.125;    0.000;    0.000
458.025; 6369.125;    0.000;    0.000
