
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

691.496;  151.075;    0.000;    0.000
691.696;  165.075;    0.000;    0.000
691.896;  112.075;    0.000;    0.000
692.096;  194.075;    0.000;    0.000
692.296;  131.075;    0.000;    0.000
692.496;  178.075;    0.000;    0.000
692.695;  131.075;    0.000;    0.000
692.895;  185.075;    0.000;    0.000
693.095;  122.075;    0.000;    0.000
693.295;  184.075;    0.000;    0.000
693.495;  132.075;    0.000;    0.000
693.695;  124.075;    0.000;    0.000
693.894;  165.075;    0.000;    0.000
694.094;  150.075;    0.000;    0.000
694.294;  139.075;    0.000;    0.000
694.494;  597.075;    0.000;    0.000
694.693; 4671.075;    0.000;    0.000
694.893; 4971.075;    0.000;    0.000
695.093; 5256.075;    0.000;    0.000
695.293; 5168.075;    0.000;    0.000
695.492; 5263.075;    0.000;    0.000
695.692; 5256.075;    0.000;    0.000
695.891; 5312.075;    0.000;    0.000
696.091; 5539.075;    0.000;    0.000
696.291; 5445.075;    0.000;    0.000
696.490; 5308.075;    0.000;    0.000
696.690; 5363.075;    0.000;    0.000
696.889; 5371.075;    0.000;    0.000
697.089; 5360.075;    0.000;    0.000
697.288; 5383.075;    0.000;    0.000
697.488; 5325.075;    0.000;    0.000
697.687; 5242.075;    0.000;    0.000
697.887; 5408.075;    0.000;    0.000
698.086; 5439.075;    0.000;    0.000
698.286; 5508.075;    0.000;    0.000
698.485; 5423.075;    0.000;    0.000
698.684; 5330.075;    0.000;    0.000
698.884; 5537.075;    0.000;    0.000
699.083; 5500.075;    0.000;    0.000
699.282; 5629.075;    0.000;    0.000
699.482; 5920.075;    0.000;    0.000
699.681; 6334.075;    0.000;    0.000
699.880; 6465.075;    0.000;    0.000
700.080; 6213.075;    0.000;    0.000
700.279; 5981.075;    0.000;    0.000
700.478; 6249.075;    0.000;    0.000
700.677; 5944.075;    0.000;    0.000
700.877; 5901.075;    0.000;    0.000
701.076; 5969.075;    0.000;    0.000
701.275; 5803.075;    0.000;    0.000
701.474; 5749.075;    0.000;    0.000
701.673; 5629.075;    0.000;    0.000
