Titanio_posicion1_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

691.496;  162.275;    0.000;    0.000
691.696;  175.275;    0.000;    0.000
691.896;  104.275;    0.000;    0.000
692.096;  156.275;    0.000;    0.000
692.296;  138.275;    0.000;    0.000
692.496;  168.275;    0.000;    0.000
692.695;  120.275;    0.000;    0.000
692.895;  155.275;    0.000;    0.000
693.095;  155.275;    0.000;    0.000
693.295;  202.275;    0.000;    0.000
693.495;  155.275;    0.000;    0.000
693.695;  125.275;    0.000;    0.000
693.894;  132.275;    0.000;    0.000
694.094;  136.275;    0.000;    0.000
694.294;  162.275;    0.000;    0.000
694.494;  564.275;    0.000;    0.000
694.693; 4201.275;    0.000;    0.000
694.893; 4655.275;    0.000;    0.000
695.093; 4617.275;    0.000;    0.000
695.293; 4680.275;    0.000;    0.000
695.492; 4653.275;    0.000;    0.000
695.692; 4843.275;    0.000;    0.000
695.891; 4892.275;    0.000;    0.000
696.091; 4917.275;    0.000;    0.000
696.291; 4879.275;    0.000;    0.000
696.490; 4919.275;    0.000;    0.000
696.690; 4872.275;    0.000;    0.000
696.889; 4789.275;    0.000;    0.000
697.089; 4733.275;    0.000;    0.000
697.288; 4944.275;    0.000;    0.000
697.488; 4854.275;    0.000;    0.000
697.687; 4899.275;    0.000;    0.000
697.887; 4929.275;    0.000;    0.000
698.086; 4843.275;    0.000;    0.000
698.286; 5051.275;    0.000;    0.000
698.485; 4930.275;    0.000;    0.000
698.684; 5026.275;    0.000;    0.000
698.884; 4897.275;    0.000;    0.000
699.083; 4996.275;    0.000;    0.000
699.282; 5024.275;    0.000;    0.000
699.482; 5156.275;    0.000;    0.000
699.681; 5660.275;    0.000;    0.000
699.880; 5767.275;    0.000;    0.000
700.080; 5583.275;    0.000;    0.000
700.279; 5353.275;    0.000;    0.000
700.478; 5545.275;    0.000;    0.000
700.677; 5453.275;    0.000;    0.000
700.877; 5366.275;    0.000;    0.000
701.076; 5436.275;    0.000;    0.000
701.275; 5231.275;    0.000;    0.000
701.474; 5211.275;    0.000;    0.000
701.673; 5141.275;    0.000;    0.000
