
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV1
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

236.381;  136.875;    0.000;    0.000
236.451;  173.875;    0.000;    0.000
236.520;  177.875;    0.000;    0.000
236.590;  203.875;    0.000;    0.000
236.660;  181.875;    0.000;    0.000
236.730;  192.875;    0.000;    0.000
236.799;  193.875;    0.000;    0.000
236.869;  203.875;    0.000;    0.000
236.939;  206.875;    0.000;    0.000
237.009;  209.875;    0.000;    0.000
237.078;  178.875;    0.000;    0.000
237.148;  163.875;    0.000;    0.000
237.218;  200.875;    0.000;    0.000
237.287;  213.875;    0.000;    0.000
237.357;  181.875;    0.000;    0.000
237.427;  191.875;    0.000;    0.000
237.496;  890.875;    0.000;    0.000
237.566;  838.875;    0.000;    0.000
237.636;  829.875;    0.000;    0.000
237.705;  841.875;    0.000;    0.000
237.775;  842.875;    0.000;    0.000
237.845;  851.875;    0.000;    0.000
237.914;  805.875;    0.000;    0.000
237.984;  895.875;    0.000;    0.000
238.054;  799.875;    0.000;    0.000
238.123;  811.875;    0.000;    0.000
238.193;  784.875;    0.000;    0.000
238.263;  821.875;    0.000;    0.000
238.332;  790.875;    0.000;    0.000
238.402;  798.875;    0.000;    0.000
238.471;  842.875;    0.000;    0.000
238.541;  804.875;    0.000;    0.000
238.611;  837.875;    0.000;    0.000
238.680;  833.875;    0.000;    0.000
238.750;  805.875;    0.000;    0.000
238.819;  851.875;    0.000;    0.000
238.889;  774.875;    0.000;    0.000
238.958;  775.875;    0.000;    0.000
239.028;  807.875;    0.000;    0.000
239.097;  819.875;    0.000;    0.000
239.167;  814.875;    0.000;    0.000
239.237;  771.875;    0.000;    0.000
239.306;  784.875;    0.000;    0.000
239.376;  802.875;    0.000;    0.000
239.445;  796.875;    0.000;    0.000
239.515;  765.875;    0.000;    0.000
239.584;  768.875;    0.000;    0.000
239.654;  722.875;    0.000;    0.000
239.723;  795.875;    0.000;    0.000
239.793;  738.875;    0.000;    0.000
239.862;  817.875;    0.000;    0.000
239.932;  766.875;    0.000;    0.000
240.001;  731.875;    0.000;    0.000
240.070;  774.875;    0.000;    0.000
