
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

450.961;  180.850;    0.000;    0.000
451.100;  224.850;    0.000;    0.000
451.239;  193.850;    0.000;    0.000
451.377;  228.850;    0.000;    0.000
451.516;  200.850;    0.000;    0.000
451.655;  188.850;    0.000;    0.000
451.794;  230.850;    0.000;    0.000
451.932;  237.850;    0.000;    0.000
452.071;  216.850;    0.000;    0.000
452.210;  242.850;    0.000;    0.000
452.348;  226.850;    0.000;    0.000
452.487;  251.850;    0.000;    0.000
452.626;  205.850;    0.000;    0.000
452.764;  238.850;    0.000;    0.000
452.903;  239.850;    0.000;    0.000
453.042;  695.850;    0.000;    0.000
453.180;29032.850;    0.000;    0.000
453.319;38611.852;    0.000;    0.000
453.458;35617.852;    0.000;    0.000
453.596;23626.850;    0.000;    0.000
453.735;14376.850;    0.000;    0.000
453.873;11224.850;    0.000;    0.000
454.012;10602.850;    0.000;    0.000
454.150;11019.850;    0.000;    0.000
454.289;12377.850;    0.000;    0.000
454.427;13340.850;    0.000;    0.000
454.566;14640.850;    0.000;    0.000
454.704;21645.850;    0.000;    0.000
454.843;29666.850;    0.000;    0.000
454.981;28297.850;    0.000;    0.000
455.120;21844.850;    0.000;    0.000
455.258;17268.850;    0.000;    0.000
455.397;15511.850;    0.000;    0.000
455.535;14279.850;    0.000;    0.000
455.674;12775.850;    0.000;    0.000
455.812;11968.850;    0.000;    0.000
455.951;12208.850;    0.000;    0.000
456.089;14390.850;    0.000;    0.000
456.227;17702.850;    0.000;    0.000
456.366;18248.850;    0.000;    0.000
456.504;15566.850;    0.000;    0.000
456.642;13382.850;    0.000;    0.000
456.781;13479.850;    0.000;    0.000
456.919;16905.850;    0.000;    0.000
457.057;23160.850;    0.000;    0.000
457.196;25931.850;    0.000;    0.000
457.334;21009.850;    0.000;    0.000
457.472;14746.850;    0.000;    0.000
457.610;12859.850;    0.000;    0.000
457.749;12356.850;    0.000;    0.000
457.887;12738.850;    0.000;    0.000
458.025;12821.850;    0.000;    0.000
458.163;12725.850;    0.000;    0.000
458.301;12830.850;    0.000;    0.000
