Titanio_posicion2_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV1
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

236.381;  162.300;    0.000;    0.000
236.451;  176.300;    0.000;    0.000
236.520;  206.300;    0.000;    0.000
236.590;  220.300;    0.000;    0.000
236.660;  156.300;    0.000;    0.000
236.730;  196.300;    0.000;    0.000
236.799;  191.300;    0.000;    0.000
236.869;  176.300;    0.000;    0.000
236.939;  189.300;    0.000;    0.000
237.009;  179.300;    0.000;    0.000
237.078;  175.300;    0.000;    0.000
237.148;  154.300;    0.000;    0.000
237.218;  183.300;    0.000;    0.000
237.287;  199.300;    0.000;    0.000
237.357;  184.300;    0.000;    0.000
237.427;  206.300;    0.000;    0.000
237.496; 1422.300;    0.000;    0.000
237.566; 1342.300;    0.000;    0.000
237.636; 1308.300;    0.000;    0.000
237.705; 1321.300;    0.000;    0.000
237.775; 1328.300;    0.000;    0.000
237.845; 1280.300;    0.000;    0.000
237.914; 1328.300;    0.000;    0.000
237.984; 1287.300;    0.000;    0.000
238.054; 1325.300;    0.000;    0.000
238.123; 1323.300;    0.000;    0.000
238.193; 1305.300;    0.000;    0.000
238.263; 1359.300;    0.000;    0.000
238.332; 1326.300;    0.000;    0.000
238.402; 1269.300;    0.000;    0.000
238.471; 1320.300;    0.000;    0.000
238.541; 1257.300;    0.000;    0.000
238.611; 1250.300;    0.000;    0.000
238.680; 1318.300;    0.000;    0.000
238.750; 1261.300;    0.000;    0.000
238.819; 1241.300;    0.000;    0.000
238.889; 1283.300;    0.000;    0.000
238.958; 1324.300;    0.000;    0.000
239.028; 1248.300;    0.000;    0.000
239.097; 1311.300;    0.000;    0.000
239.167; 1259.300;    0.000;    0.000
239.237; 1238.300;    0.000;    0.000
239.306; 1255.300;    0.000;    0.000
239.376; 1289.300;    0.000;    0.000
239.445; 1312.300;    0.000;    0.000
239.515; 1282.300;    0.000;    0.000
239.584; 1300.300;    0.000;    0.000
239.654; 1290.300;    0.000;    0.000
239.723; 1267.300;    0.000;    0.000
239.793; 1287.300;    0.000;    0.000
239.862; 1264.300;    0.000;    0.000
239.932; 1277.300;    0.000;    0.000
