Titanio_posicion2_Burst5-n5
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

450.961;  163.275;    0.000;    0.000
451.100;  220.275;    0.000;    0.000
451.239;  192.275;    0.000;    0.000
451.377;  234.275;    0.000;    0.000
451.516;  169.275;    0.000;    0.000
451.655;  196.275;    0.000;    0.000
451.794;  219.275;    0.000;    0.000
451.932;  249.275;    0.000;    0.000
452.071;  210.275;    0.000;    0.000
452.210;  229.275;    0.000;    0.000
452.348;  231.275;    0.000;    0.000
452.487;  220.275;    0.000;    0.000
452.626;  207.275;    0.000;    0.000
452.764;  254.275;    0.000;    0.000
452.903;  231.275;    0.000;    0.000
453.042;  868.275;    0.000;    0.000
453.180;37825.275;    0.000;    0.000
453.319;49194.275;    0.000;    0.000
453.458;43392.275;    0.000;    0.000
453.596;28226.275;    0.000;    0.000
453.735;18063.275;    0.000;    0.000
453.873;14315.275;    0.000;    0.000
454.012;13460.275;    0.000;    0.000
454.150;13651.275;    0.000;    0.000
454.289;15516.275;    0.000;    0.000
454.427;16824.275;    0.000;    0.000
454.566;20368.275;    0.000;    0.000
454.705;33657.275;    0.000;    0.000
454.843;48440.275;    0.000;    0.000
454.981;46733.275;    0.000;    0.000
455.120;33663.275;    0.000;    0.000
455.258;23851.275;    0.000;    0.000
455.397;19867.275;    0.000;    0.000
455.535;17751.275;    0.000;    0.000
455.674;15971.275;    0.000;    0.000
455.812;15096.275;    0.000;    0.000
455.950;16030.275;    0.000;    0.000
456.089;20878.275;    0.000;    0.000
456.227;28114.275;    0.000;    0.000
456.366;29328.275;    0.000;    0.000
456.504;24193.275;    0.000;    0.000
456.642;18750.275;    0.000;    0.000
456.781;19272.275;    0.000;    0.000
456.919;26490.275;    0.000;    0.000
457.057;39499.275;    0.000;    0.000
457.196;44957.275;    0.000;    0.000
457.334;34930.275;    0.000;    0.000
457.472;21921.275;    0.000;    0.000
457.610;16914.275;    0.000;    0.000
457.749;15620.275;    0.000;    0.000
457.887;15725.275;    0.000;    0.000
458.025;15284.275;    0.000;    0.000
458.163;14851.275;    0.000;    0.000
