
Integration time [ms]:   0.300
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

450.961;  236.000;  204.125;    0.000
451.100;  203.000;  219.125;    0.000
451.239;  239.000;  196.125;    0.000
451.377;  254.000;  252.125;    0.000
451.516;  203.000;  215.125;    0.000
451.655;  245.000;  214.125;    0.000
451.794;  221.000;  241.125;    0.000
451.932;  221.000;  242.125;    0.000
452.071;  184.000;  204.125;    0.000
452.210;  211.000;  243.125;    0.000
452.348;  236.000;  241.125;    0.000
452.487;  250.000;  246.125;    0.000
452.626;  242.000;  235.125;    0.000
452.764;  245.000;  230.125;    0.000
452.903;  221.000;  199.125;    0.000
453.042;  293.000;  178.125;    0.000
453.180; 3946.000;  291.125;    0.000
453.319; 3956.000;  335.125;    0.000
453.458; 4014.000;  245.125;    0.000
453.596; 4040.000;  325.125;    0.000
453.735; 4086.000;  291.125;    0.000
453.873; 4146.000;  295.125;    0.000
454.012; 4133.000;  291.125;    0.000
454.150; 4316.000;  292.125;    0.000
454.289; 4345.000;  328.125;    0.000
454.427; 4364.000;  295.125;    0.000
454.566; 4338.000;  295.125;    0.000
454.704; 4300.000;  301.125;    0.000
454.843; 4413.000;  278.125;    0.000
454.981; 4444.000;  306.125;    0.000
455.120; 4463.000;  237.125;    0.000
455.258; 4592.000;  325.125;    0.000
455.397; 4491.000;  276.125;    0.000
455.535; 4608.000;  269.125;    0.000
455.674; 4707.000;  259.125;    0.000
455.812; 4711.000;  264.125;    0.000
455.951; 4617.000;  286.125;    0.000
456.089; 4733.000;  302.125;    0.000
456.227; 4829.000;  230.125;    0.000
456.366; 4867.000;  303.125;    0.000
456.504; 4937.000;  316.125;    0.000
456.642; 4952.000;  309.125;    0.000
456.781; 5064.000;  299.125;    0.000
456.919; 5070.000;  281.125;    0.000
457.057; 4991.000;  253.125;    0.000
457.196; 5116.000;  268.125;    0.000
457.334; 5225.000;  292.125;    0.000
457.472; 5311.000;  287.125;    0.000
457.610; 5448.000;  300.125;    0.000
457.749; 5547.000;  342.125;    0.000
457.887; 5479.000;  310.125;    0.000
458.025; 5548.000;  310.125;    0.000
