
Integration time [ms]:   0.300
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

691.496;   11.975;  155.525;    0.000
691.696;   37.975;  186.525;    0.000
691.896;  -15.025;  113.525;    0.000
692.096;   45.975;  169.525;    0.000
692.296;  -20.025;  119.525;    0.000
692.496;    9.975;  182.525;    0.000
692.695;  -41.025;  119.525;    0.000
692.895;   41.975;  183.525;    0.000
693.095;   -3.025;  119.525;    0.000
693.295;   23.975;  156.525;    0.000
693.495;    6.975;  145.525;    0.000
693.695;   14.975;  144.525;    0.000
693.894;   10.975;  174.525;    0.000
694.094;   11.975;  148.525;    0.000
694.294;   15.975;  114.525;    0.000
694.494;  382.975;  137.525;    0.000
694.693; 3510.975;  112.525;    0.000
694.893; 3956.975;   85.525;    0.000
695.093; 3983.975;  152.525;    0.000
695.293; 3897.975;  159.525;    0.000
695.492; 3970.975;  131.525;    0.000
695.692; 4118.975;  134.525;    0.000
695.891; 4003.975;  161.525;    0.000
696.091; 4059.975;  180.525;    0.000
696.291; 4066.975;  120.525;    0.000
696.490; 4064.975;  146.525;    0.000
696.690; 4032.975;  145.525;    0.000
696.889; 4055.975;  171.525;    0.000
697.089; 4077.975;   98.525;    0.000
697.288; 4100.975;  172.525;    0.000
697.488; 4051.975;  137.525;    0.000
697.687; 4123.975;  171.525;    0.000
697.887; 4113.975;  142.525;    0.000
698.086; 4096.975;  159.525;    0.000
698.286; 4155.975;  122.525;    0.000
698.485; 4211.975;  121.525;    0.000
698.684; 4111.975;   94.525;    0.000
698.884; 4174.975;  131.525;    0.000
699.083; 4179.975;  112.525;    0.000
699.282; 4125.975;  119.525;    0.000
699.482; 4091.975;  117.525;    0.000
699.681; 4229.975;  115.525;    0.000
699.880; 4228.975;  166.525;    0.000
700.080; 4211.975;  194.525;    0.000
700.279; 4200.975;   98.525;    0.000
700.478; 4247.975;  159.525;    0.000
700.677; 4218.975;  134.525;    0.000
700.877; 4341.975;  171.525;    0.000
701.076; 4213.975;  141.525;    0.000
701.275; 4211.975;  119.525;    0.000
701.474; 4323.975;  132.525;    0.000
701.673; 4254.975;  141.525;    0.000
