
Integration time [ms]:   0.300
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV2
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

353.533;  208.575;  178.050;    0.000
353.597;  230.575;  251.050;    0.000
353.660;  215.575;  213.050;    0.000
353.723;  227.575;  185.050;    0.000
353.786;  184.575;  191.050;    0.000
353.850;  224.575;  238.050;    0.000
353.913;  215.575;  181.050;    0.000
353.976;  210.575;  190.050;    0.000
354.039;  188.575;  184.050;    0.000
354.102;  174.575;  231.050;    0.000
354.166;  216.575;  188.050;    0.000
354.229;  192.575;  224.050;    0.000
354.292;  169.575;  186.050;    0.000
354.355;  216.575;  175.050;    0.000
354.418;  209.575;  191.050;    0.000
354.481;  222.575;  181.050;    0.000
354.545;  856.575;  193.050;    0.000
354.608;  847.575;  210.050;    0.000
354.671;  832.575;  183.050;    0.000
354.734;  921.575;  189.050;    0.000
354.797;  881.575;  168.050;    0.000
354.860;  836.575;  178.050;    0.000
354.923;  866.575;  236.050;    0.000
354.986;  972.575;  181.050;    0.000
355.050;  903.575;  168.050;    0.000
355.113;  887.575;  201.050;    0.000
355.176;  954.575;  206.050;    0.000
355.239;  939.575;  213.050;    0.000
355.302;  948.575;  198.050;    0.000
355.365; 1002.575;  199.050;    0.000
355.428; 1036.575;  200.050;    0.000
355.491; 1045.575;  232.050;    0.000
355.554; 1050.575;  184.050;    0.000
355.617; 1028.575;  214.050;    0.000
355.680; 1063.575;  191.050;    0.000
355.743; 1056.575;  161.050;    0.000
355.806; 1097.575;  153.050;    0.000
355.869; 1143.575;  221.050;    0.000
355.932; 1056.575;  152.050;    0.000
355.995; 1114.575;  195.050;    0.000
356.058; 1126.575;  172.050;    0.000
356.121; 1181.575;  186.050;    0.000
356.184; 1138.575;  196.050;    0.000
356.247; 1140.575;  183.050;    0.000
356.310; 1191.575;  159.050;    0.000
356.373; 1185.575;  183.050;    0.000
356.436; 1179.575;  176.050;    0.000
356.498; 1149.575;  191.050;    0.000
356.561; 1134.575;  145.050;    0.000
356.624; 1208.575;  187.050;    0.000
356.687; 1131.575;  181.050;    0.000
356.750; 1124.575;  227.050;    0.000
356.813; 1135.575;  147.050;    0.000
