
Integration time [ms]:   0.300
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

691.496;  -43.900;  155.525;    0.000
691.696;   19.100;  186.525;    0.000
691.896;  -40.900;  113.525;    0.000
692.096;   -0.900;  169.525;    0.000
692.296;  -80.900;  119.525;    0.000
692.496;    2.100;  182.525;    0.000
692.695;  -44.900;  119.525;    0.000
692.895;   25.100;  183.525;    0.000
693.095;  -24.900;  119.525;    0.000
693.295;    9.100;  156.525;    0.000
693.495;   21.100;  145.525;    0.000
693.695;   25.100;  144.525;    0.000
693.894;  -21.900;  174.525;    0.000
694.094;    1.100;  148.525;    0.000
694.294;  -13.900;  114.525;    0.000
694.494;  252.100;  137.525;    0.000
694.693; 2852.100;  112.525;    0.000
694.893; 3189.100;   85.525;    0.000
695.093; 3168.100;  152.525;    0.000
695.293; 3187.100;  159.525;    0.000
695.492; 3324.100;  131.525;    0.000
695.692; 3254.100;  134.525;    0.000
695.891; 3152.100;  161.525;    0.000
696.091; 3274.100;  180.525;    0.000
696.291; 3275.100;  120.525;    0.000
696.490; 3268.100;  146.525;    0.000
696.690; 3295.100;  145.525;    0.000
696.889; 3418.100;  171.525;    0.000
697.089; 3327.100;   98.525;    0.000
697.288; 3441.100;  172.525;    0.000
697.488; 3258.100;  137.525;    0.000
697.687; 3285.100;  171.525;    0.000
697.887; 3335.100;  142.525;    0.000
698.086; 3305.100;  159.525;    0.000
698.286; 3320.100;  122.525;    0.000
698.485; 3347.100;  121.525;    0.000
698.684; 3368.100;   94.525;    0.000
698.884; 3377.100;  131.525;    0.000
699.083; 3250.100;  112.525;    0.000
699.282; 3360.100;  119.525;    0.000
699.482; 3391.100;  117.525;    0.000
699.681; 3420.100;  115.525;    0.000
699.880; 3350.100;  166.525;    0.000
700.080; 3509.100;  194.525;    0.000
700.279; 3320.100;   98.525;    0.000
700.478; 3397.100;  159.525;    0.000
700.677; 3418.100;  134.525;    0.000
700.877; 3487.100;  171.525;    0.000
701.076; 3370.100;  141.525;    0.000
701.275; 3366.100;  119.525;    0.000
701.474; 3432.100;  132.525;    0.000
701.673; 3381.100;  141.525;    0.000
