
Integration time [ms]:   0.300
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

450.961;  196.675;  204.125;    0.000
451.100;  239.675;  219.125;    0.000
451.239;  198.675;  196.125;    0.000
451.377;  254.675;  252.125;    0.000
451.516;  251.675;  215.125;    0.000
451.655;  224.675;  214.125;    0.000
451.794;  201.675;  241.125;    0.000
451.932;  223.675;  242.125;    0.000
452.071;  211.675;  204.125;    0.000
452.210;  173.675;  243.125;    0.000
452.348;  226.675;  241.125;    0.000
452.487;  226.675;  246.125;    0.000
452.626;  203.675;  235.125;    0.000
452.764;  225.675;  230.125;    0.000
452.903;  234.675;  199.125;    0.000
453.042;  281.675;  178.125;    0.000
453.180; 2297.675;  291.125;    0.000
453.319; 2347.675;  335.125;    0.000
453.458; 2392.675;  245.125;    0.000
453.596; 2401.675;  325.125;    0.000
453.735; 2410.675;  291.125;    0.000
453.873; 2442.675;  295.125;    0.000
454.012; 2379.675;  291.125;    0.000
454.150; 2488.675;  292.125;    0.000
454.289; 2466.675;  328.125;    0.000
454.427; 2561.675;  295.125;    0.000
454.566; 2515.675;  295.125;    0.000
454.704; 2593.675;  301.125;    0.000
454.843; 2636.675;  278.125;    0.000
454.981; 2583.675;  306.125;    0.000
455.120; 2624.675;  237.125;    0.000
455.258; 2659.675;  325.125;    0.000
455.397; 2686.675;  276.125;    0.000
455.535; 2742.675;  269.125;    0.000
455.674; 2681.675;  259.125;    0.000
455.812; 2692.675;  264.125;    0.000
455.951; 2859.675;  286.125;    0.000
456.089; 2825.675;  302.125;    0.000
456.227; 2791.675;  230.125;    0.000
456.366; 2902.675;  303.125;    0.000
456.504; 2966.675;  316.125;    0.000
456.642; 2927.675;  309.125;    0.000
456.781; 2902.675;  299.125;    0.000
456.919; 2905.675;  281.125;    0.000
457.057; 3129.675;  253.125;    0.000
457.196; 2937.675;  268.125;    0.000
457.334; 3115.675;  292.125;    0.000
457.472; 3077.675;  287.125;    0.000
457.610; 3096.675;  300.125;    0.000
457.749; 3232.675;  342.125;    0.000
457.887; 3290.675;  310.125;    0.000
458.025; 3171.675;  310.125;    0.000
