
Integration time [ms]:   0.300
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV2
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

353.533;  214.725;  235.675;    0.000
353.597;  254.725;  239.675;    0.000
353.660;  195.725;  203.675;    0.000
353.723;  192.725;  225.675;    0.000
353.786;  218.725;  178.675;    0.000
353.850;  201.725;  199.675;    0.000
353.913;  203.725;  179.675;    0.000
353.976;  214.725;  209.675;    0.000
354.039;  200.725;  188.675;    0.000
354.102;  233.725;  219.675;    0.000
354.166;  203.725;  237.675;    0.000
354.229;  202.725;  179.675;    0.000
354.292;  159.725;  210.675;    0.000
354.355;  202.725;  214.675;    0.000
354.418;  177.725;  173.675;    0.000
354.481;  226.725;  170.675;    0.000
354.545;  781.725;  229.675;    0.000
354.608;  808.725;  233.675;    0.000
354.671;  781.725;  183.675;    0.000
354.734;  835.725;  208.675;    0.000
354.797;  823.725;  263.675;    0.000
354.860;  855.725;  208.675;    0.000
354.923;  828.725;  202.675;    0.000
354.986;  837.725;  207.675;    0.000
355.050;  908.725;  180.675;    0.000
355.113;  890.725;  189.675;    0.000
355.176;  856.725;  214.675;    0.000
355.239;  882.725;  199.675;    0.000
355.302;  935.725;  229.675;    0.000
355.365;  920.725;  220.675;    0.000
355.428;  969.725;  196.675;    0.000
355.491;  990.725;  243.675;    0.000
355.554;  949.725;  191.675;    0.000
355.617;  986.725;  200.675;    0.000
355.680; 1006.725;  190.675;    0.000
355.743; 1041.725;  236.675;    0.000
355.806; 1019.725;  193.675;    0.000
355.869; 1045.725;  223.675;    0.000
355.932; 1019.725;  208.675;    0.000
355.995; 1049.725;  231.675;    0.000
356.058; 1063.725;  202.675;    0.000
356.121; 1130.725;  198.675;    0.000
356.184; 1067.725;  209.675;    0.000
356.247; 1054.725;  224.675;    0.000
356.310; 1039.725;  149.675;    0.000
356.373; 1090.725;  211.675;    0.000
356.436; 1091.725;  195.675;    0.000
356.498; 1106.725;  176.675;    0.000
356.561; 1173.725;  186.675;    0.000
356.624; 1126.725;  184.675;    0.000
356.687; 1057.725;  179.675;    0.000
356.750; 1108.725;  213.675;    0.000
356.813; 1167.725;  172.675;    0.000
