
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: NIR
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

691.496;  -17.125;  163.125;    0.000
691.696;    2.875;  208.125;    0.000
691.896;  -10.125;  111.125;    0.000
692.096;  -20.125;  178.125;    0.000
692.296;  -57.125;   93.125;    0.000
692.496;  -17.125;  161.125;    0.000
692.695;  -21.125;  135.125;    0.000
692.895;   14.875;  179.125;    0.000
693.095;  -30.125;  158.125;    0.000
693.295;   12.875;  168.125;    0.000
693.495;   24.875;  170.125;    0.000
693.695;   12.875;  155.125;    0.000
693.894;    0.875;  151.125;    0.000
694.094;    6.875;  164.125;    0.000
694.294;  -44.125;  129.125;    0.000
694.494;  369.875;  170.125;    0.000
694.693; 3559.875;  137.125;    0.000
694.893; 3841.875;  163.125;    0.000
695.093; 3932.875;  121.125;    0.000
695.293; 3953.875;  144.125;    0.000
695.492; 3928.875;   88.125;    0.000
695.692; 3921.875;  148.125;    0.000
695.891; 4000.875;  125.125;    0.000
696.091; 3983.875;  184.125;    0.000
696.291; 4046.875;  153.125;    0.000
696.490; 4075.875;  131.125;    0.000
696.690; 4078.875;  123.125;    0.000
696.889; 4185.875;  180.125;    0.000
697.089; 4059.875;  147.125;    0.000
697.288; 4202.875;  164.125;    0.000
697.488; 4061.875;  133.125;    0.000
697.687; 4024.875;  153.125;    0.000
697.887; 4088.875;  119.125;    0.000
698.086; 4159.875;  143.125;    0.000
698.286; 4066.875;  125.125;    0.000
698.485; 4120.875;  120.125;    0.000
698.684; 4205.875;  116.125;    0.000
698.884; 4063.875;  131.125;    0.000
699.083; 4051.875;  115.125;    0.000
699.282; 4092.875;  144.125;    0.000
699.482; 4143.875;  109.125;    0.000
699.681; 4132.875;  115.125;    0.000
699.880; 4199.875;  125.125;    0.000
700.080; 4275.875;  139.125;    0.000
700.279; 4135.875;  111.125;    0.000
700.478; 4125.875;  146.125;    0.000
700.677; 4217.875;  131.125;    0.000
700.877; 4189.875;  156.125;    0.000
701.076; 4259.875;  153.125;    0.000
701.275; 4249.875;  123.125;    0.000
701.474; 4122.875;  150.125;    0.000
701.673; 4154.875;   97.125;    0.000
