
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: UV2
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

353.533;  237.400;  216.475;    0.000
353.597;  222.400;  244.475;    0.000
353.660;  200.400;  181.475;    0.000
353.723;  205.400;  203.475;    0.000
353.786;  204.400;  180.475;    0.000
353.850;  230.400;  213.475;    0.000
353.913;  195.400;  191.475;    0.000
353.976;  206.400;  195.475;    0.000
354.039;  178.400;  158.475;    0.000
354.102;  204.400;  199.475;    0.000
354.166;  225.400;  185.475;    0.000
354.229;  227.400;  188.475;    0.000
354.292;  193.400;  188.475;    0.000
354.355;  245.400;  226.475;    0.000
354.418;  184.400;  158.475;    0.000
354.481;  212.400;  185.475;    0.000
354.545;  735.400;  191.475;    0.000
354.608;  830.400;  247.475;    0.000
354.671;  782.400;  176.475;    0.000
354.734;  844.400;  198.475;    0.000
354.797;  886.400;  195.475;    0.000
354.860;  859.400;  212.475;    0.000
354.923;  831.400;  184.475;    0.000
354.986;  851.400;  169.475;    0.000
355.050;  902.400;  206.475;    0.000
355.113;  891.400;  210.475;    0.000
355.176;  925.400;  217.475;    0.000
355.239;  929.400;  201.475;    0.000
355.302;  921.400;  193.475;    0.000
355.365;  973.400;  234.475;    0.000
355.428;  991.400;  182.475;    0.000
355.491; 1044.400;  233.475;    0.000
355.554;  972.400;  167.475;    0.000
355.617;  994.400;  195.475;    0.000
355.680; 1014.400;  198.475;    0.000
355.743;  979.400;  186.475;    0.000
355.806; 1044.400;  171.475;    0.000
355.869; 1058.400;  244.475;    0.000
355.932; 1065.400;  164.475;    0.000
355.995; 1117.400;  220.475;    0.000
356.058; 1057.400;  172.475;    0.000
356.121; 1140.400;  228.475;    0.000
356.184; 1135.400;  225.475;    0.000
356.247; 1086.400;  161.475;    0.000
356.310; 1092.400;  195.475;    0.000
356.373; 1106.400;  191.475;    0.000
356.436; 1174.400;  147.475;    0.000
356.498; 1123.400;  183.475;    0.000
356.561; 1065.400;  137.475;    0.000
356.624; 1156.400;  186.475;    0.000
356.687; 1077.400;  158.475;    0.000
356.750; 1151.400;  194.475;    0.000
356.813; 1077.400;  186.475;    0.000
