
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: VIS
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

450.961;  182.100;  200.375;    0.000
451.100;  226.100;  241.375;    0.000
451.239;  222.100;  201.375;    0.000
451.377;  257.100;  262.375;    0.000
451.516;  213.100;  229.375;    0.000
451.655;  217.100;  211.375;    0.000
451.794;  219.100;  225.375;    0.000
451.932;  227.100;  247.375;    0.000
452.071;  205.100;  260.375;    0.000
452.210;  179.100;  235.375;    0.000
452.348;  227.100;  276.375;    0.000
452.487;  210.100;  259.375;    0.000
452.626;  192.100;  254.375;    0.000
452.764;  207.100;  233.375;    0.000
452.903;  186.100;  202.375;    0.000
453.042;  296.100;  211.375;    0.000
453.180; 3769.100;  240.375;    0.000
453.319; 3826.100;  238.375;    0.000
453.458; 3824.100;  215.375;    0.000
453.596; 3911.100;  252.375;    0.000
453.735; 3890.100;  240.375;    0.000
453.873; 4025.100;  257.375;    0.000
454.012; 3913.100;  228.375;    0.000
454.150; 4024.100;  270.375;    0.000
454.289; 4088.100;  233.375;    0.000
454.427; 4115.100;  243.375;    0.000
454.566; 4119.100;  257.375;    0.000
454.704; 4235.100;  243.375;    0.000
454.843; 4206.100;  190.375;    0.000
454.981; 4170.100;  271.375;    0.000
455.120; 4212.100;  210.375;    0.000
455.258; 4336.100;  235.375;    0.000
455.397; 4260.100;  214.375;    0.000
455.535; 4479.100;  214.375;    0.000
455.674; 4407.100;  184.375;    0.000
455.812; 4504.100;  228.375;    0.000
455.951; 4464.100;  204.375;    0.000
456.089; 4524.100;  220.375;    0.000
456.227; 4622.100;  196.375;    0.000
456.366; 4680.100;  261.375;    0.000
456.504; 4624.100;  249.375;    0.000
456.642; 4714.100;  245.375;    0.000
456.781; 4784.100;  183.375;    0.000
456.919; 4785.100;  203.375;    0.000
457.057; 4786.100;  177.375;    0.000
457.196; 4954.100;  191.375;    0.000
457.334; 4993.100;  233.375;    0.000
457.472; 4966.100;  214.375;    0.000
457.610; 5143.100;  230.375;    0.000
457.749; 5231.100;  247.375;    0.000
457.887; 5185.100;  220.375;    0.000
458.025; 5241.100;  195.375;    0.000
