LVL2_M1_P1.txt	LVL2_M1_P2.txt	LVL2_M1_P3.txt	LVL2_M2_P1.txt	LVL2_M2_P2.txt	LVL2_M2_P3.txt	LVL2_M3_P1.txt	LVL2_M3_P2.txt	LVL2_M3_P3.txt	LVL2_M4_P1.txt	LVL2_M4_P2.txt	LVL2_M4_P3.txt	LVL2_M5_P1.txt	LVL2_M5_P2.txt	LVL2_M5_P3.txt	LVL2_M6_P1.txt	LVL2_M6_P2.txt	LVL2_M6_P3.txt	LVL2_M7_P1.txt	LVL2_M7_P2.txt	LVL2_M7_P3.txt	LVL2_M8_P1.txt	LVL2_M8_P2.txt	LVL2_M8_P3.txt	LVL2_M9_P1.txt	LVL2_M9_P2.txt	LVL2_M9_P3.txt	LVL2_M10_P1.txt	LVL2_M10_P2.txt	LVL2_M10_P3.txt	LVL2_M11_P1.txt	LVL2_M11_P2.txt	LVL2_M11_P3.txt	LVL2_M12_P1.txt	LVL2_M12_P2.txt	LVL2_M12_P3.txt	LVL2_M13_P2.txt	LVL2_M13_P3.txt	LVL2_M14_P1.txt	LVL2_M14_P2.txt	LVL2_M14_P3.txt	LVL2_M15_P2.txt	LVL2_M15_P3.txt	LVL2_M16_P1.txt	LVL2_M16_P2.txt	LVL2_M16_P3.txt	LVL2_M17_P1.txt	LVL2_M17_P2.txt	LVL2_M17_P3.txt	LVL2_M18_P1.txt	LVL2_M18_P2.txt	LVL2_M18_P3.txt	LVL2_M19_P1.txt	LVL2_M19_P2.txt	LVL2_M19_P3.txt	LVL2_M20_P1.txt	LVL2_M20_P2.txt	LVL2_M20_P3.txt	LVL2_M21_P1.txt	LVL2_M21_P2.txt	LVL2_M22_P1.txt	LVL2_M22_P2.txt	LVL2_M22_P3.txt	LVL2_M23_P1.txt	LVL2_M23_P2.txt	LVL2_M23_P3.txt	LVL2_M24_P1.txt	LVL2_M24_P2.txt	LVL2_M24_P3.txt	LVL2_M26_P1.txt	LVL2_M26_P2.txt	LVL2_M26_P3.txt	LVL2_M27_P1.txt	LVL2_M27_P2.txt	LVL2_M27_P3.txt
0.000000e+00	0.000000e+00	3.994773e-07	1.469387e-06	2.832861e-07	0.000000e+00	2.667627e-07	0.000000e+00	6.231640e-07	7.054090e-07	5.076057e-07	0.000000e+00	0.000000e+00	3.873866e-07	3.713651e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.718817e-07	0.000000e+00	0.000000e+00	5.269891e-07	6.929274e-07	6.929274e-07	2.431996e-07	8.497860e-07	1.117322e-06	2.653333e-07	0.000000e+00	7.070864e-07	2.482273e-07	2.538779e-06	0.000000e+00	0.000000e+00	0.000000e+00	2.688202e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.452658e-08	0.000000e+00	6.953471e-08	0.000000e+00	7.184418e-07	0.000000e+00	0.000000e+00	2.342763e-07	0.000000e+00	0.000000e+00	6.748730e-07	3.939679e-06	0.000000e+00	1.321480e-06	8.093883e-06	2.312310e-07	0.000000e+00	0.000000e+00	0.000000e+00	4.517406e-07	8.940087e-08	0.000000e+00
4.106046e-07	0.000000e+00	1.634153e-07	0.000000e+00	0.000000e+00	3.241742e-07	2.343626e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.374848e-07	1.374848e-07	0.000000e+00	1.109061e-06	0.000000e+00	0.000000e+00	0.000000e+00	1.494347e-08	2.053572e-06	1.328918e-07	0.000000e+00	1.549211e-07	1.962138e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.816831e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.621604e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.722304e-07	0.000000e+00	2.703388e-07	0.000000e+00	1.972550e-06	0.000000e+00	2.349516e-06	1.701735e-06	7.534242e-07	9.721905e-07	2.061439e-07	6.251901e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.906910e-07	5.751199e-08	7.072598e-07	0.000000e+00	0.000000e+00	0.000000e+00	1.469107e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.515934e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.314734e-07	0.000000e+00	1.585262e-06	0.000000e+00	3.681026e-07	6.371415e-07	2.481941e-07	0.000000e+00	0.000000e+00	0.000000e+00	1.487879e-07	5.889923e-07	0.000000e+00	0.000000e+00	4.596713e-07	0.000000e+00	0.000000e+00	5.677269e-07	2.194438e-07	0.000000e+00	0.000000e+00	1.502049e-07	0.000000e+00	0.000000e+00	0.000000e+00	3.132541e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.374015e-07	0.000000e+00	2.713818e-06	2.883822e-06	1.898218e-06	2.425726e-06	3.749833e-06	1.233569e-06	4.730332e-07	5.570469e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	9.030413e-08	3.827891e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.955295e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.984705e-08	0.000000e+00	0.000000e+00	0.000000e+00	1.359157e-08	0.000000e+00	1.241361e-07	0.000000e+00	0.000000e+00	5.041777e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.096301e-07	0.000000e+00	7.098281e-08	7.523424e-07	0.000000e+00	0.000000e+00	0.000000e+00	2.471712e-07	0.000000e+00	0.000000e+00	6.152485e-08	0.000000e+00	0.000000e+00	0.000000e+00	7.290305e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.252645e-07	4.472860e-07	2.127487e-06	0.000000e+00	3.974130e-07	2.113444e-06	0.000000e+00	1.986992e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.449649e-07	2.564971e-08	2.044587e-08	0.000000e+00	2.770062e-07	1.941368e-07	7.133536e-08	3.678427e-07	3.761824e-07	3.074677e-07	0.000000e+00	1.827135e-07	3.871244e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	9.829609e-08	2.005710e-08	2.005710e-08	1.037978e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.982111e-07	3.798780e-07	0.000000e+00	8.699687e-07	5.078071e-07	1.380954e-07	5.218953e-08	1.539057e-07	0.000000e+00	1.067588e-07	3.225857e-07	9.032730e-07	1.958057e-07	9.814446e-08	2.617525e-07	0.000000e+00	2.275301e-07	1.077234e-07	5.343369e-07	6.332854e-08	4.214856e-09	8.030726e-07	0.000000e+00	0.000000e+00	1.066785e-07	5.026792e-07	0.000000e+00	5.785714e-07	0.000000e+00	1.538055e-07	0.000000e+00	9.801567e-07	0.000000e+00	0.000000e+00	3.825353e-07	0.000000e+00	0.000000e+00	5.253651e-07	0.000000e+00	0.000000e+00	0.000000e+00	5.175546e-07
0.000000e+00	0.000000e+00	0.000000e+00	2.310780e-07	0.000000e+00	0.000000e+00	0.000000e+00	6.361686e-07	2.017310e-07	2.259376e-07	0.000000e+00	1.425081e-07	3.424706e-07	3.965057e-07	5.740007e-07	2.028826e-07	3.037635e-07	0.000000e+00	4.422290e-07	5.367172e-07	1.834085e-07	0.000000e+00	0.000000e+00	2.452237e-07	3.012250e-07	2.862139e-07	2.862139e-07	1.353632e-06	0.000000e+00	2.935408e-07	0.000000e+00	0.000000e+00	1.914007e-07	6.531415e-07	4.849257e-07	4.004868e-07	7.756498e-07	6.256538e-07	4.311708e-07	4.608711e-07	5.379437e-07	0.000000e+00	1.805288e-07	7.077897e-07	1.072293e-06	0.000000e+00	4.853550e-07	2.936735e-07	0.000000e+00	2.349677e-07	6.099354e-07	1.019322e-06	2.488257e-07	3.358075e-07	1.019042e-06	0.000000e+00	0.000000e+00	4.672773e-07	8.132966e-07	6.644948e-07	1.238938e-06	6.890182e-08	0.000000e+00	0.000000e+00	1.139230e-06	0.000000e+00	1.429779e-07	1.492956e-07	0.000000e+00	0.000000e+00	9.608195e-07	1.020212e-07	0.000000e+00	2.295391e-07	7.824624e-07
0.000000e+00	0.000000e+00	0.000000e+00	4.900494e-08	0.000000e+00	0.000000e+00	0.000000e+00	2.426607e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.957855e-07	1.100718e-07	0.000000e+00	0.000000e+00	0.000000e+00	1.023276e-07	1.836674e-07	8.004291e-08	0.000000e+00	0.000000e+00	5.761389e-08	0.000000e+00	1.010630e-08	1.010630e-08	9.534178e-07	0.000000e+00	8.238863e-08	0.000000e+00	0.000000e+00	0.000000e+00	2.940809e-07	1.813198e-08	2.721921e-07	2.745352e-08	1.959144e-07	8.542329e-08	2.240693e-07	2.165512e-07	0.000000e+00	1.392248e-07	4.500945e-07	5.564354e-07	0.000000e+00	2.265539e-07	0.000000e+00	0.000000e+00	0.000000e+00	4.606694e-07	6.564158e-07	2.289440e-07	1.208757e-08	4.791298e-07	0.000000e+00	0.000000e+00	2.047238e-07	3.797212e-07	5.668343e-07	1.045630e-06	2.223344e-08	0.000000e+00	0.000000e+00	6.842831e-07	0.000000e+00	0.000000e+00	0.000000e+00	3.105471e-07	0.000000e+00	4.800345e-07	6.061276e-08	0.000000e+00	9.597520e-09	1.605433e-07
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.303148e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.047183e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.063791e-09	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.710502e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.144813e-07	0.000000e+00	3.037317e-07	0.000000e+00	0.000000e+00	0.000000e+00	4.195441e-08	0.000000e+00	0.000000e+00	1.275306e-07	2.641951e-07	1.697315e-07	0.000000e+00	8.019822e-09	0.000000e+00	8.751544e-09	0.000000e+00	3.003637e-07	2.778859e-07	2.103578e-07	0.000000e+00	5.249851e-08	0.000000e+00	0.000000e+00	0.000000e+00	8.147805e-08	3.400763e-07	7.133042e-07	0.000000e+00	0.000000e+00	0.000000e+00	5.498176e-07	0.000000e+00	0.000000e+00	0.000000e+00	6.647927e-07	0.000000e+00	1.139569e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	1.911122e-07	0.000000e+00	6.893871e-08	1.552183e-10	2.545523e-08	0.000000e+00	1.097270e-07	0.000000e+00	1.012232e-07	0.000000e+00	0.000000e+00	0.000000e+00	1.554005e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.438262e-07	4.780808e-08	2.235589e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.252628e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.261777e-07	0.000000e+00	5.190243e-07	0.000000e+00	0.000000e+00	0.000000e+00	5.913727e-08	0.000000e+00	1.696662e-07	2.803618e-07	3.199091e-07	5.936766e-08	0.000000e+00	3.481398e-08	0.000000e+00	3.720717e-07	0.000000e+00	2.711143e-07	4.077601e-08	3.105790e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.392724e-07	1.549008e-07	3.982263e-07	0.000000e+00	0.000000e+00	0.000000e+00	6.566067e-07	8.948176e-08	0.000000e+00	0.000000e+00	1.050929e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	4.762955e-07	0.000000e+00	2.198303e-07	2.712248e-07	3.535504e-07	0.000000e+00	2.776475e-07	0.000000e+00	3.770707e-07	2.413988e-07	0.000000e+00	1.959862e-07	3.494086e-07	0.000000e+00	0.000000e+00	2.416408e-07	1.896576e-07	0.000000e+00	3.468423e-07	2.125017e-07	6.172149e-07	4.329423e-09	2.779057e-08	0.000000e+00	0.000000e+00	0.000000e+00	4.012122e-07	0.000000e+00	6.833316e-08	3.203123e-07	0.000000e+00	0.000000e+00	1.182437e-07	1.097862e-07	6.247526e-07	1.080213e-07	0.000000e+00	0.000000e+00	1.754256e-07	7.113791e-08	4.068160e-07	4.409574e-07	4.943246e-07	1.181070e-07	2.299397e-07	2.005461e-07	1.980461e-07	5.736242e-07	5.152397e-08	2.848060e-07	0.000000e+00	3.474392e-07	0.000000e+00	0.000000e+00	3.205883e-07	0.000000e+00	4.027542e-08	3.798404e-07	0.000000e+00	9.563980e-08	4.199733e-08	0.000000e+00	1.605016e-07	6.463683e-07	4.234675e-07	0.000000e+00	0.000000e+00	1.087974e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
