Sulfato_de_Sodio	Sulfato_de_Magnesio
0	100
0	100
0	100
1.66	98.34
1.66	98.34
1.66	98.34
3.98	96.02
3.98	96.02
3.98	96.02
6.29	93.71
6.29	93.71
6.29	93.71
7.36	92.64
7.36	92.64
7.36	92.64
14.40	85.60
14.40	85.60
14.40	85.60
20.95	79.05
20.95	79.05
20.95	79.05
27.16	72.84
27.16	72.84
27.16	72.84
33.15	66.85
33.15	66.85
33.15	66.85
38.76	61.24
38.76	61.24
38.76	61.24
44.21	55.79
44.21	55.79
44.21	55.79
49.33	50.67
49.33	50.67
49.33	50.67
54.35	45.65
54.35	45.65
59.11	40.89
59.11	40.89
59.11	40.89
63.51	36.49
63.51	36.49
67.91	32.09
67.91	32.09
67.91	32.09
72.01	27.99
72.01	27.99
72.01	27.99
75.88	24.12
75.88	24.12
75.88	24.12
79.79	20.21
79.79	20.21
79.79	20.21
83.55	16.45
83.55	16.45
83.55	16.45
86.96	13.04
86.96	13.04
90.50	9.50
90.50	9.50
90.50	9.50
93.63	6.37
93.63	6.37
93.63	6.37
96.92	3.08
96.92	3.08
96.92	3.08
98.31	1.69
98.31	1.69
98.31	1.69
99.37	0.63
99.37	0.63
99.37	0.63
